Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabl,TargetSyl,PositionSource,Position Target,Process,TargetOrthography,Translation,Reference,Notes
Casamancese,korˈta,kuɾˈtaɾ,kor.ˈta,kuɾ.ˈtaɾ,kor,kuɾ,1,1,,cortar,cut,Biagui2012[12],
Casamancese,korˈta,kuɾˈtaɾ,kor.ˈta,kuɾ.ˈtaɾ,ˈta,ˈtaɾ,2,2,,cortar,cut,Biagui2012[12],
Casamancese,koˈsa,kuˈsaɾ,ko.ˈsa,ku.ˈsaɾ,ko,ku,1,1,,coçar,scratch,Biagui2012[106],
Casamancese,koˈsa,kuˈsaɾ,ko.ˈsa,ku.ˈsaɾ,ˈsa,ˈsaɾ,2,2,,coçar,scratch,Biagui2012[106],
Casamancese,koˈba,kɐˈvaɾ,ko.ˈba,kɐ.ˈvaɾ,ko,kɐ,1,1,,cavar,dig,Biagui2012[13],
Casamancese,koˈba,kɐˈvaɾ,ko.ˈba,kɐ.ˈvaɾ,ˈba,ˈvaɾ,2,2,,cavar,dig,Biagui2012[13],
Casamancese,jeˈnda,ɐ̃ˈdaɾ,je.ˈnda,ɐ̃.ˈdaɾ,je,ɐ̃,1,1,,andar,walk,Biagui2012[13],
Casamancese,jeˈnda,ɐ̃ˈdaɾ,je.ˈnda,ɐ̃.ˈdaɾ,ˈnda,ˈdaɾ,2,2,,andar,walk,Biagui2012[13],
Casamancese,beŋ,vɐ̃j,beŋ,vɐ̃j,beŋ,vɐ̃j,1,1,,vem,come,Biagui2012[158],
Casamancese,foj,mẽˈtiɾ,foj,mẽ.ˈtiɾ,,,,,,mentir,lie,Biagui2012[157],
Casamancese,siˈnta,sẽˈtaɾ,si.ˈnta,sẽ.ˈtaɾ,si,sẽ,1,1,,sentar,sit,Biagui2012[202],
Casamancese,siˈnta,sẽˈtaɾ,si.ˈnta,sẽ.ˈtaɾ,ˈnta,ˈtaɾ,2,2,,sentar,sit,Biagui2012[202],
Casamancese,labaˈnta,ɫɨvɐ̃ˈtaɾ,la.ba.ˈnta,ɫɨ.vɐ̃.ˈtaɾ,la,ɫɨ,1,1,,levantar,stand,Biagui2012[202],
Casamancese,labaˈnta,ɫɨvɐ̃ˈtaɾ,la.ba.ˈnta,ɫɨ.vɐ̃.ˈtaɾ,ba,vɐ̃,2,2,,levantar,stand,Biagui2012[202],
Casamancese,labaˈnta,ɫɨvɐ̃ˈtaɾ,la.ba.ˈnta,ɫɨ.vɐ̃.ˈtaɾ,ˈnta,ˈtaɾ,3,3,,levantar,stand,Biagui2012[202],
Casamancese,kaj,kɐˈiɾ,kaj,kɐ.ˈiɾ,kaj,kɐ,1,1,,cair,fall,Biagui2012[157],
Casamancese,kaj,kɐˈiɾ,kaj,kɐ.ˈiɾ,-,ˈiɾ,-,2,,cair,fall,Biagui2012[157],
Casamancese,ˈda,ˈdaɾ,ˈda,ˈdaɾ,ˈda,ˈdaɾ,1,1,,dar,give,Biagui2012[77],
Casamancese,mperˈta,ɐpɨɾˈtaɾ,mper.ˈta,ɐ.pɨɾ.ˈtaɾ,-,ɐ,-,1,,apertar,squeeze,Biagui2012[59],
Casamancese,mperˈta,ɐpɨɾˈtaɾ,mper.ˈta,ɐ.pɨɾ.ˈtaɾ,mper,pɨɾ,2,2,,apertar,squeeze,Biagui2012[59],
Casamancese,mperˈta,ɐpɨɾˈtaɾ,mper.ˈta,ɐ.pɨɾ.ˈtaɾ,ˈta,ˈtaɾ,3,3,,apertar,squeeze,Biagui2012[59],
Casamancese,ferˈga,ʃfɾɨˈgaɾ,fer.ˈga,ʃ.fɾɨ.ˈgaɾ,-,ʃ,1,1,,esfregar,rub,Biagui2012[33],
Casamancese,ferˈga,ʃfɾɨˈgaɾ,fer.ˈga,ʃ.fɾɨ.ˈgaɾ,fer,fɾɨ,2,2,,esfregar,rub,Biagui2012[33],
Casamancese,ferˈga,ʃfɾɨˈgaɾ,fer.ˈga,ʃ.fɾɨ.ˈgaɾ,ˈga,ˈgaɾ,3,3,,esfregar,rub,Biagui2012[33],
Casamancese,laˈba,ɫɐˈvaɾ,la.ˈba,ɫɐ.ˈvaɾ,la,ɫɐ,1,1,,lavar,wash,Biagui2012[96],
Casamancese,laˈba,ɫɐˈvaɾ,la.ˈba,ɫɐ.ˈvaɾ,ˈba,ˈvaɾ,2,2,,lavar,wash,Biagui2012[96],
Casamancese,piˈŋca,ẽpuˈʁaɾ,pi.ˈŋca,ẽ.pu.ˈʁaɾ,,,,,,empurrar,push,Biagui2012[28],
Casamancese,koˈse,kuˈzeɾ,ko.ˈse,ku.ˈzeɾ,ko,ku,1,1,,coser,sew,Biagui2012[193],
Casamancese,koˈse,kuˈzeɾ,ko.ˈse,ku.ˈzeɾ,ˈse,ˈzeɾ,2,2,,coser,sew,Biagui2012[193],
Casamancese,faˈla,fɐˈɫaɾ,fa.ˈla,fɐ.ˈɫaɾ,fa,fɐ,1,1,,falar,say,Biagui2012[23],
Casamancese,faˈla,fɐˈɫaɾ,fa.ˈla,fɐ.ˈɫaɾ,ˈla,ˈɫaɾ,2,2,,falar,say,Biagui2012[23],
Casamancese,kaˈnta,kɐ̃ˈtaɾ,ka.ˈnta,kɐ̃.ˈtaɾ,ka,kɐ̃,1,1,,cantar,sing,Biagui2012[100],
Casamancese,kaˈnta,kɐ̃ˈtaɾ,ka.ˈnta,kɐ̃.ˈtaɾ,ˈnta,ˈtaɾ,2,2,,cantar,sing,Biagui2012[100],
Casamancese,ɟuˈga,ʒuˈgaɾ,ɟu.ˈga,ʒu.ˈgaɾ,ɟu,ʒu,1,1,,jogar,play,Biagui2012[111],
Casamancese,ɟuˈga,ʒuˈgaɾ,ɟu.ˈga,ʒu.ˈgaɾ,ˈga,ˈgaɾ,2,2,,jogar,play,Biagui2012[111],
Casamancese,boˈja,bojˈaɾ,bo.ˈja,boj.ˈaɾ,bo,boj,1,1,,boiar,float,Biagui2012[75],
Casamancese,boˈja,bojˈaɾ,bo.ˈja,boj.ˈaɾ,ˈja,ˈaɾ,2,2,,boiar,float,Biagui2012[75],
Casamancese,ˈluŋa,ˈɫuɐ,ˈlu.ŋa,ˈɫu.ɐ,ˈlu,ˈɫu,1,1,,lua,moon,Biagui2012[34],
Casamancese,ˈluŋa,ˈɫuɐ,ˈlu.ŋa,ˈɫu.ɐ,ŋa,ɐ,2,2,,lua,moon,Biagui2012[34],
Casamancese,jagu,ˈagwɐ,ja.gu,ˈa.gwɐ,ja,ˈa,1,1,,água,water,Biagui2012[24],
Casamancese,jagu,ˈagwɐ,ja.gu,ˈa.gwɐ,gu,gwɐ,2,2,,água,water,Biagui2012[24],
Casamancese,laˈguwa,ɫɐˈgoɐ,la.ˈgu.wa,ɫɐ.ˈgo.ɐ,la,ɫɐ,1,1,,lagoa,lagoon,Biagui2012[30],
Casamancese,laˈguwa,ɫɐˈgoɐ,la.ˈgu.wa,ɫɐ.ˈgo.ɐ,ˈgu,ˈgo,2,2,,lagoa,lagoon,Biagui2012[30],
Casamancese,laˈguwa,ɫɐˈgoɐ,la.ˈgu.wa,ɫɐ.ˈgo.ɐ,wa,ɐ,3,3,,lagoa,lagoon,Biagui2012[30],
Casamancese,ˈnubis,ˈnuvɐ̃jʃ,ˈnu.bis,ˈnu.vɐ̃jʃ,ˈnu,ˈnu,1,1,,nuvem,cloud,Biagui2012[38],
Casamancese,ˈnubis,ˈnuvɐ̃jʃ,ˈnu.bis,ˈnu.vɐ̃jʃ,bis,vɐ̃jʃ,2,2,,nuvem,cloud,Biagui2012[38],
Casamancese,ˈfugu,ˈfogu,ˈfu.gu,ˈfo.gu,ˈfu,ˈfo,1,1,,fogo,fire,Biagui2012[106],
Casamancese,ˈfugu,ˈfogu,ˈfu.gu,ˈfo.gu,gu,gu,2,2,,fogo,fire,Biagui2012[106],
Casamancese,ˈsĩsa,ˈsĩzɐʃ,ˈsĩ.sa,ˈsĩ.zɐʃ,ˈsĩ,ˈsĩ,1,1,,cinza,ashes,Biagui2012[22],
Casamancese,ˈsĩsa,ˈsĩzɐʃ,ˈsĩ.sa,ˈsĩ.zɐʃ,sa,zɐʃ,2,2,,cinza,ashes,Biagui2012[22],
Casamancese,ˈstrada,ʃˈtɾadɐ,ˈs.tra.da,ʃ.ˈtɾa.dɐ,ˈs,ʃ,1,1,,estrada,street,Biagui2012[45],
Casamancese,ˈstrada,ʃˈtɾadɐ,ˈs.tra.da,ʃ.ˈtɾa.dɐ,tra,ˈtɾa,2,2,,estrada,street,Biagui2012[45],
Casamancese,ˈstrada,ʃˈtɾadɐ,ˈs.tra.da,ʃ.ˈtɾa.dɐ,da,dɐ,3,3,,estrada,street,Biagui2012[45],
Casamancese,burˈmeɟu,vɨɾˈmɐʎu,bur.ˈme.ɟu,vɨɾ.ˈmɐ.ʎu,bur,vɨɾ,1,1,,vermelho,red,Biagui2012[103],
Casamancese,burˈmeɟu,vɨɾˈmɐʎu,bur.ˈme.ɟu,vɨɾ.ˈmɐ.ʎu,ˈme,ˈmɐ,2,2,,vermelho,red,Biagui2012[103],
Casamancese,burˈmeɟu,vɨɾˈmɐʎu,bur.ˈme.ɟu,vɨɾ.ˈmɐ.ʎu,ɟu,ʎu,3,3,,vermelho,red,Biagui2012[103],
Casamancese,ˈberdu,ˈveɾdɨ,ˈber.du,ˈveɾ.dɨ,ˈber,ˈveɾ,1,1,,verde,green,Biagui2012[335],
Casamancese,ˈberdu,ˈveɾdɨ,ˈber.du,ˈveɾ.dɨ,du,dɨ,2,2,,verde,green,Biagui2012[335],
Casamancese,ˈbraŋku,ˈbɾɐ̃ku,ˈbra.ŋku,ˈbɾɐ̃.ku,ˈbra,ˈbɾɐ̃,1,1,,branco,white,Biagui2012[103],
Casamancese,ˈbraŋku,ˈbɾɐ̃ku,ˈbra.ŋku,ˈbɾɐ̃.ku,ŋku,ku,2,2,,branco,white,Biagui2012[103],
Casamancese,ˈpretu,ˈpɾetu,ˈpre.tu,ˈpɾe.tu,ˈpre,ˈpre,1,1,,preto,black,Biagui2012[39],
Casamancese,ˈpretu,ˈpɾetu,ˈpre.tu,ˈpɾe.tu,tu,tu,2,2,,preto,black,Biagui2012[39],
Casamancese,ˈcinti,ˈmoɾnu,ˈci.nti,ˈmoɾ.nu,,,,,,morno,warm,Biagui2012[54],
Casamancese,jiˈŋci,ẽˈʃidu,ji.ˈŋci,ẽ.ˈʃi.du,ji,ẽ,1,1,,enchido,full,Biagui2012[29],
Casamancese,jiˈŋci,ẽˈʃidu,ji.ˈŋci,ẽ.ˈʃi.du,ˈŋci,ˈʃi,2,2,,enchido,full,Biagui2012[29],
Casamancese,jiˈŋci,ẽˈʃidu,ji.ˈŋci,ẽ.ˈʃi.du,-,du,-,3,,enchido,full,Biagui2012[29],
Casamancese,ˈnobu,ˈnovu,ˈno.bu,ˈno.vu,ˈno,ˈno,1,1,,novo,new,Biagui2012[104],
Casamancese,ˈnobu,ˈnovu,ˈno.bu,ˈno.vu,bu,vu,2,2,,novo,new,Biagui2012[104],
Casamancese,ˈbeɟu,ˈvɐʎu,ˈbe.ɟu,ˈvɐ.ʎu,ˈbe,ˈvɐ,1,1,,velho,old,Biagui2012[124],
Casamancese,ˈbeɟu,ˈvɐʎu,ˈbe.ɟu,ˈvɐ.ʎu,ɟu,ʎu,2,2,,velho,old,Biagui2012[124],
Casamancese,ˈbõ,bõ,ˈbõ,bõ,ˈbõ,bõ,1,1,,bom,good,Biagui2012[77],
Casamancese,ˈfedi,ˈmaw,,ˈmaw,,,,,,mau,bad,Biagui2012[218],
Casamancese,ˈlisu,ˈɫizu,ˈli.su,ˈɫi.zu,ˈli,ˈɫi,1,1,,liso,smooth,Biagui2012[338],
Casamancese,ˈlisu,ˈɫizu,ˈli.su,ˈɫi.zu,su,zu,2,2,,liso,smooth,Biagui2012[338],
Casamancese,mo'ɟa,muˈʎaɾ,mo.'ɟa,mu.ˈʎaɾ,mo,mu,1,1,,molhar,wet,Biagui2012[261],
Casamancese,mo'ɟa,muˈʎaɾ,mo.'ɟa,mu.ˈʎaɾ,ɟa,ˈʎaɾ,2,2,,molhar,wet,Biagui2012[261],
Casamancese,seku,ˈseku,ˈse.ku,ˈse.ku,ˈse,ˈse,1,2,,seco,dry,Biagui2012[261],
Casamancese,seku,ˈseku,ˈse.ku,ˈse.ku,ku,ku,1,2,,seco,dry,Biagui2012[261],
Casamancese,ˈpertu,ˈpeɾtu,ˈper.tu,ˈpeɾ.tu,ˈper,ˈper,1,2,,perto,near,Biagui2012[339],
Casamancese,ˈpertu,ˈpeɾtu,ˈper.tu,ˈpeɾ.tu,tu,tu,1,2,,perto,near,Biagui2012[339],
Casamancese,ˈloŋɟi,ˈɫõʒɨ,ˈlo.ŋɟi,ˈɫõ.ʒɨ,ˈlo,ˈɫõ,1,2,,longe,far,Biagui2012[338],
Casamancese,ˈloŋɟi,ˈɫõʒɨ,ˈlo.ŋɟi,ˈɫõ.ʒɨ,ŋɟi,ʒɨ,1,2,,longe,far,Biagui2012[338],
Casamancese,siˈkerdu,ʃˈkeɾdɐ,si.ˈker.du,ʃ.ˈkeɾ.dɐ,si,ʃ,1,1,,esquerda,left,Biagui2012[236],
Casamancese,siˈkerdu,ʃˈkeɾdɐ,si.ˈker.du,ʃ.ˈkeɾ.dɐ,ˈker,ˈkeɾ,2,2,,esquerda,left,Biagui2012[236],
Casamancese,siˈkerdu,ʃˈkeɾdɐ,si.ˈker.du,ʃ.ˈkeɾ.dɐ,du,dɐ,3,3,,esquerda,left,Biagui2012[236],
Casamancese,i,i,i,i,i,i,1,1,,e,and,Biagui2012[272],
Casamancese,si,sɨ,si,sɨ,si,sɨ,1,1,,se,if,Biagui2012[276],
Casamancese,paˈbija,puɾkɨ,pa.ˈbi.ja,puɾ.kɨ,,,,,,porque,because,Biagui2012[272],
Casamancese,wo'ɟa,oˈʎaɾ,wo.'ɟa,o.ˈʎaɾ,o,wo,1,1,,ver,look,Biagui2012[24],
Casamancese,wo'ɟa,oˈʎaɾ,wo.'ɟa,o.ˈʎaɾ,ˈʎaɾ,ɟa,2,2,,ver,look,Biagui2012[24],
Casamancese,ˈnomi,ˈnomɨ,ˈno.mi,ˈno.mɨ,ˈno,ˈno,1,1,,nome,name,Biagui2012[20],
Casamancese,ˈnomi,ˈnomɨ,ˈno.mi,ˈno.mɨ,mi,mɨ,2,2,,nome,name,Biagui2012[20],
Casamancese,ˈpaɟa,ˈpaʎɐ,ˈpa.ɟa,ˈpa.ʎɐ,ˈpa,ˈpa,1,1,,palha,straw,Biagui2012[31],
Casamancese,ˈpaɟa,ˈpaʎɐ,ˈpa.ɟa,ˈpa.ʎɐ,ɟa,ʎɐ,2,2,,palha,straw,Biagui2012[31],
Casamancese,ˈaɲɟu,ˈɐ̃ʒu,ˈa.ɲɟu,ˈɐ̃.ʒu,ˈa,ˈɐ̃,1,1,,anjo,angel,Biagui2012[12],
Casamancese,po,ˈpaw,po,ˈpaw,po,ˈpaw,1,1,,pau,stick,Biagui2012[317],
Casamancese,ˈaɲɟu,ˈɐ̃ʒu,ˈa.ɲɟu,ˈɐ̃.ʒu,ɲɟu,ʒu,2,2,,anjo,angel,Biagui2012[12],
Casamancese,ˈɫaɾgumɐ,ˈɫagɾimɐ,ˈɫaɾ.gu.mɐ,ˈɫa.gɾi.mɐ,ˈɫaɾ,ˈɫa,1,1,,lágrima,tear,Biagui2012[12],
Casamancese,ˈɫaɾgumɐ,ˈɫagɾimɐ,ˈɫaɾ.gu.mɐ,ˈɫa.gɾi.mɐ,gu,gɾi,2,2,,lágrima,tear,Biagui2012[12],
Casamancese,ˈɫaɾgumɐ,ˈɫagɾimɐ,ˈɫaɾ.gu.mɐ,ˈɫa.gɾi.mɐ,mɐ,mɐ,3,3,,lágrima,tear,Biagui2012[12],
Casamancese,ˈmakina,ˈmakinɐ,ˈma.ki.na,ˈma.ki.nɐ,ˈma,ˈma,1,1,,máquina,machine,Biagui2012[12],
Casamancese,ˈmakina,ˈmakinɐ,ˈma.ki.na,ˈma.ki.nɐ,ki,ki,2,2,,máquina,machine,Biagui2012[12],
Casamancese,ˈmakina,ˈmakinɐ,ˈma.ki.na,ˈma.ki.nɐ,na,nɐ,3,3,,máquina,machine,Biagui2012[12],
Casamancese,ˈlama,ˈɫɐmɐ,ˈla.ma,ˈɫɐ.mɐ,ˈla,ˈɫɐ,1,1,,lama,mud,Biagui2012[13],
Casamancese,ˈlama,ˈɫɐmɐ,ˈla.ma,ˈɫɐ.mɐ,ma,mɐ,2,2,,lama,mud,Biagui2012[13],
Casamancese,ˈfɛru,ˈfeʁu,ˈfɛ.ru,ˈfe.ʁu,ˈfɛ,ˈfe,1,1,,ferro,iron,Biagui2012[21],
Casamancese,ˈfɛru,ˈfeʁu,ˈfɛ.ru,ˈfe.ʁu,ru,ʁu,2,2,,ferro,iron,Biagui2012[21],
Casamancese,ˈmala,ˈmaɫɐ,ˈma.la,ˈma.ɫɐ,ˈma,ˈma,1,1,,mala,suitcase,Biagui2012[19],
Casamancese,ˈmala,ˈmaɫɐ,ˈma.la,ˈma.ɫɐ,la,ɫɐ,2,2,,mala,suitcase,Biagui2012[19],
Casamancese,ˈsuɲu,ˈsoɲu,ˈsu.ɲu,ˈso.ɲu,ˈsu,ˈso,1,1,,sonho,dream,Biagui2012[19],
Casamancese,ˈsuɲu,ˈsoɲu,ˈsu.ɲu,ˈso.ɲu,ɲu,ɲu,2,2,,sonho,dream,Biagui2012[19],
Casamancese,liˈmpa,ɫĩˈpaɾ,li.ˈmpa,ɫĩ.ˈpaɾ,li,ɫĩ,1,1,,limpar,clean,Biagui2012[19],
Casamancese,liˈmpa,ɫĩˈpaɾ,li.ˈmpa,ɫĩ.ˈpaɾ,ˈmpa,ˈpaɾ,2,2,,limpar,clean,Biagui2012[19],
Casamancese,lãˈsol,ɫẽˈsɔɫ,lã.ˈsol,ɫẽ.ˈsɔɫ,lã,ɫẽ,1,1,,lençol,sheet,Biagui2012[21],
Casamancese,lãˈsol,ɫẽˈsɔɫ,lã.ˈsol,ɫẽ.ˈsɔɫ,ˈsol,ˈsɔɫ,2,2,,lençol,sheet,Biagui2012[21],
Casamancese,saŋ,ˈsɐ̃w,saŋ,ˈsɐ̃w,saŋ,ˈsɐ̃w,1,1,,são,healthy,Biagui2012[158],
Casamancese,firˈmiɲga,fõˈɾigɐ,fir.ˈmi.ɲga,fõ.ˈɾi.gɐ,fir,fõ,1,1,,formiga,ant,Biagui2012[24],
Casamancese,firˈmiɲga,fõˈɾigɐ,fir.ˈmi.ɲga,fõ.ˈɾi.gɐ,ˈmi,ˈɾi,2,2,,formiga,ant,Biagui2012[24],
Casamancese,firˈmiɲga,fõˈɾigɐ,fir.ˈmi.ɲga,fõ.ˈɾi.gɐ,ɲga,gɐ,3,3,,formiga,ant,Biagui2012[24],
Casamancese,murˈsegu,muɾˈsegu,mur.ˈse.gu,muɾ.ˈse.gu,mur,mur,1,1,,morcego,bat,Biagui2012[24],
Casamancese,murˈsegu,muɾˈsegu,mur.ˈse.gu,muɾ.ˈse.gu,ˈse,ˈse,2,2,,morcego,bat,Biagui2012[24],
Casamancese,murˈsegu,muɾˈsegu,mur.ˈse.gu,muɾ.ˈse.gu,gu,gu,3,3,,morcego,bat,Biagui2012[24],
Casamancese,ˈkurpu,ˈkoɾpu,ˈkur.pu,ˈkoɾ.pu,ˈkur,ˈkoɾ,1,1,,corpo,body,Biagui2012[25],
Casamancese,ˈkurpu,ˈkoɾpu,ˈkur.pu,ˈkoɾ.pu,pu,pu,2,2,,corpo,body,Biagui2012[25],
Casamancese,jerˈmõ,iɾˈmɐ̃w,jer.ˈmõ,iɾ.ˈmɐ̃w,jer,iɾ,1,1,,irmão,brother,Biagui2012[24],
Casamancese,jerˈmõ,iɾˈmɐ̃w,jer.ˈmõ,iɾ.ˈmɐ̃w,ˈmõ,ˈmɐ̃w,2,2,,irmão,brother,Biagui2012[24],
Casamancese,ˈkasa,ˈkazɐ,ˈka.sa,ˈka.zɐ,ˈka,ˈka,1,1,,casa,house,Biagui2012[26],
Casamancese,ˈkasa,ˈkazɐ,ˈka.sa,ˈka.zɐ,sa,zɐ,2,2,,casa,house,Biagui2012[26],
Casamancese,ˈkama,ˈkɐmɐ,ˈka.ma,ˈkɐ.mɐ,ˈka,ˈkɐ,1,1,,cama,bed,Biagui2012[27],
Casamancese,ˈkama,ˈkɐmɐ,ˈka.ma,ˈkɐ.mɐ,ma,mɐ,2,2,,cama,bed,Biagui2012[27],
Casamancese,kaˈdera,kɐˈdɐjɾɐ,ka.ˈde.ra,kɐ.ˈdɐj.ɾɐ,ka,kɐ,1,1,,cadeira,chair,Biagui2012[27],
Casamancese,kaˈdera,kɐˈdɐjɾɐ,ka.ˈde.ra,kɐ.ˈdɐj.ɾɐ,ˈde,ˈdɐj,2,2,,cadeira,chair,Biagui2012[27],
Casamancese,kaˈdera,kɐˈdɐjɾɐ,ka.ˈde.ra,kɐ.ˈdɐj.ɾɐ,ra,ɾɐ,3,3,,cadeira,chair,Biagui2012[27],
Casamancese,diˈɲeru,diˈɲɐjɾu,di.ˈɲe.ru,di.ˈɲɐj.ɾu,di,di,1,1,,dinheiro,money,Biagui2012[29],
Casamancese,diˈɲeru,diˈɲɐjɾu,di.ˈɲe.ru,di.ˈɲɐj.ɾu,ˈɲe,ˈɲɐj,2,2,,dinheiro,money,Biagui2012[29],
Casamancese,diˈɲeru,diˈɲɐjɾu,di.ˈɲe.ru,di.ˈɲɐj.ɾu,ru,ɾu,3,3,,dinheiro,money,Biagui2012[29],
Casamancese,aˈmigu,ɐˈmigu,a.ˈmi.gu,ɐ.ˈmi.gu,a,ɐ,1,1,,amigo,friend,Biagui2012[34],
Casamancese,aˈmigu,ɐˈmigu,a.ˈmi.gu,ɐ.ˈmi.gu,ˈmi,ˈmi,2,2,,amigo,friend,Biagui2012[34],
Casamancese,aˈmigu,ɐˈmigu,a.ˈmi.gu,ɐ.ˈmi.gu,gu,gu,3,3,,amigo,friend,Biagui2012[34],
Casamancese,ˈmaŋgu,ˈmɐ̃gɐ,ˈma.ŋgu,ˈmɐ̃.gɐ,ˈma,ˈmɐ̃,1,1,,manga,mango,Biagui2012[34],
Casamancese,ˈmaŋgu,ˈmɐ̃gɐ,ˈma.ŋgu,ˈmɐ̃.gɐ,ŋgu,gɐ,2,2,,manga,mango,Biagui2012[34],
Fa d’Ambo,ɔˈpɛ,ˈpɛ,ɔ.ˈpɛ,ˈpɛ,ˈpɛ,ˈpɛ,2,1,,pé,foot,Bandeira2017[366-412],
Fa d’Ambo,ɔˈlɛa,ɔˈɾɐʎa,ɔ.ˈlɛ.a,ɔ.ˈɾɐ.ʎa,ɔ,ɔ,1,1,,orelha,ear,Bandeira2017[366-412],
Fa d’Ambo,ɔˈlɛa,ɔˈɾɐʎa,ɔ.ˈlɛ.a,ɔ.ˈɾɐ.ʎa,ˈlɛ,ˈɾɐ,2,2,,orelha,ear,Bandeira2017[366-412],
Fa d’Ambo,ɔˈlɛa,ɔˈɾɐʎa,ɔ.ˈlɛ.a,ɔ.ˈɾɐ.ʎa,a,ʎa,3,3,,orelha,ear,Bandeira2017[366-412],
Fa d’Ambo,ˈɔsɔ,ˈosu,ˈɔ.sɔ,ˈo.su,ˈɔ,ˈo,1,1,,osso,bone,Bandeira2017[366-412],
Fa d’Ambo,ˈɔsɔ,ˈosu,ˈɔ.sɔ,ˈo.su,sɔ,su,2,2,,osso,bone,Bandeira2017[366-412],
Fa d’Ambo,oˈzojo,ʒuˈɐʎu,o.ˈzo.jo,ʒu.ˈɐ.ʎu,o,-,1,-,,joelho,knee,Bandeira2017[366-412],
Fa d’Ambo,oˈzojo,ʒuˈɐʎu,o.ˈzo.jo,ʒu.ˈɐ.ʎu,ˈzo,ʒu,2,1,,joelho,knee,Bandeira2017[366-412],
Fa d’Ambo,oˈzojo,ʒuˈɐʎu,o.ˈzo.jo,ʒu.ˈɐ.ʎu,-,ˈɐ,-,2,,joelho,knee,Bandeira2017[366-412],
Fa d’Ambo,oˈzojo,ʒuˈɐʎu,o.ˈzo.jo,ʒu.ˈɐ.ʎu,jo,ʎu,3,3,,joelho,knee,Bandeira2017[366-412],
Fa d’Ambo,ˈpɛli,ˈpɛlɨ,ˈpɛ.li,ˈpɛ.lɨ,ˈpɛ,ˈpɛ,1,1,,pele,skin,Bandeira2017[366-412],
Fa d’Ambo,ˈpɛli,ˈpɛlɨ,ˈpɛ.li,ˈpɛ.lɨ,li,lɨ,2,2,,pele,skin,Bandeira2017[366-412],
Fa d’Ambo,ˈpulusu,ˈpuɫsu,ˈpu.lu.su,ˈpuɫ.su,ˈpu,ˈpuɫ,1,1,,pulso,pulse,Bandeira2017[366-412],
Fa d’Ambo,ˈpulusu,ˈpuɫsu,ˈpu.lu.su,ˈpuɫ.su,lu,-,2,-,,pulso,pulse,Bandeira2017[366-412],
Fa d’Ambo,ˈpulusu,ˈpuɫsu,ˈpu.lu.su,ˈpuɫ.su,su,su,3,2,,pulso,pulse,Bandeira2017[366-412],
Fa d’Ambo,puluˈmõ,puɫˈmɐ̃w̃,pu.lu.ˈmõ,puɫ.ˈmɐ̃w̃,pu,puɫ,1,1,,pulmão,lung,Bandeira2017[366-412],
Fa d’Ambo,puluˈmõ,puɫˈmɐ̃w̃,pu.lu.ˈmõ,puɫ.ˈmɐ̃w̃,lu,-,2,-,,pulmão,lung,Bandeira2017[366-412],
Fa d’Ambo,puluˈmõ,puɫˈmɐ̃w̃,pu.lu.ˈmõ,puɫ.ˈmɐ̃w̃,ˈmõ,ˈmɐ̃w̃,3,2,,pulmão,lung,Bandeira2017[366-412],
Fa d’Ambo,ˈliʃi,nɐˈɾiʃ,ˈli.ʃi,nɐ.ˈɾiʃ,-,nɐ,-,1,,nariz,nose,Bandeira2017[366-412],
Fa d’Ambo,ˈliʃi,nɐˈɾiʃ,ˈli.ʃi,nɐ.ˈɾiʃ,ˈli,ˈɾiʃ,1,2,,nariz,nose,Bandeira2017[366-412],
Fa d’Ambo,ˈliʃi,nɐˈɾiʃ,ˈli.ʃi,nɐ.ˈɾiʃ,ʃi,-,2,-,,nariz,nose,Bandeira2017[366-412],
Fa d’Ambo,ˈsɐ̃gi,ˈsɐ̃ɡɨ,ˈsɐ̃.gi,ˈsɐ̃.ɡɨ,ˈsɐ̃,ˈsɐ̃,1,1,,sangue,blood,Bandeira2017[366-412],
Fa d’Ambo,ˈsɐ̃gi,ˈsɐ̃ɡɨ,ˈsɐ̃.gi,ˈsɐ̃.ɡɨ,ɡi,ɡɨ,2,2,,sangue,blood,Bandeira2017[366-412],
Fa d’Ambo,ˈuɲa,ˈuɲa,ˈu.ɲa,ˈu.ɲa,ˈu,ˈu,1,1,,unha,nail,Bandeira2017[366-412],
Fa d’Ambo,ˈuɲa,ˈuɲa,ˈu.ɲa,ˈu.ɲa,ɲa,ɲa,2,2,,unha,nail,Bandeira2017[366-412],
Fa d’Ambo,ˈwe,ˈoʎu,ˈwe,ˈo.ʎu,,,,,,olho,eye,Bandeira2017[366-412],
Fa d’Ambo,ˈbisu,ˈbiʃu,ˈbi.su,ˈbi.ʃu,ˈbi,ˈbi,1,1,,bicho,worm,Bandeira2017[366-412],
Fa d’Ambo,ˈbisu,ˈbiʃu,ˈbi.su,ˈbi.ʃu,su,ʃu,2,2,,bicho,worm,Bandeira2017[366-412],
Fa d’Ambo,ˈbwe,ˈboj,ˈbwe,ˈboj,ˈbwe,ˈboj,1,1,,boi,bull,Bandeira2017[366-412],
Fa d’Ambo,ˈxaba,ˈkabɾɐ,ˈxa.ba,ˈka.bɾɐ,ˈxa,ˈka,1,1,,cabra,goat,Bandeira2017[366-412],
