Language,Cannanore (Kannur),Clements2012
Area,Southern India,Clements2012
Lexifier,Portuguese,Clements2012
FirstMajorSettlement,1505,Clements2012
EndOfInfluence,1663,Clements2012
ContactConditions,Comercial,Clements2012
LanguageContact,"Dutch, Mayalam, Marathi, English",Clements2012
NumberOfLanguages,4,Clements2012
Bilingualism,Yes,Clements2012
Notes,,Clements2012
