Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,Source word length,TargetWord length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,TargetOrthography,Translation,Reference,Notes
Kannur,lɔnd̠ʒi,lõʒɨ,lɔn'd̠ʒi,ˈlõʒɨ,5,5,2,2,0,Equal,0,Equal,longe,far,Clements2012[37-41],
Kannur,mantegə,mɐ̃tɐjgɐ,man'te'gə,ˈmɐ̃'tɐjgɐ,7,8,3,3,-1,Target,0,Equal,manteiga,ghee,Clements2012[37-41],
Kannur,azeti,ɐzɐjtɨ,a'ze'ti,ɐˈzɐj'tɨ,5,6,3,3,-1,Target,0,Equal,azeite,oil,Clements2012[37-41],
Kannur,paj,paj,paj,paj,3,3,1,1,0,Equal,0,Equal,pai,father,Clements2012[37-41],
Kannur,mɛdə,medu ,mɛ'də,ˈmedu ,4,5,2,2,-1,Target,0,Equal,medo,fear,Clements2012[37-41],
Kannur,pænə,penɐ,pæ'nə,ˈpenɐ,4,4,2,2,0,Equal,0,Equal,pena,feather,Clements2012[37-41],
Kannur,pok,poku,pok,ˈpoku,3,4,1,2,-1,Target,-1,Target,pouco,few,Clements2012[37-41],
Kannur,pild̠ʒe,ɫutɐ,pil'd̠ʒe,ˈɫutɐ,5,4,2,2,1,Source,0,Equal,,fight,Clements2012[37-41],Not portuguese origin
Kannur,fogə,foɡu,fo'gə,ˈfoɡu,4,4,2,2,0,Equal,0,Equal,fogo,fire,Clements2012[37-41],
Kannur,peʃi,pejʃɨ,pe'ʃi,ˈpejʃɨ,4,5,2,2,-1,Target,0,Equal,peixe,fish,Clements2012[37-41],
Kannur,sinkə,sĩku,sin'kə,ˈsĩku,5,4,2,2,1,Source,0,Equal,cinco,five,Clements2012[37-41],
Kannur,fula,floɾ,fu'la,floɾ,4,4,2,1,0,Equal,1,Source,flor,flower,Clements2012[37-41],
Kannur,agwə,vuaɾ,a'gwə,vuˈaɾ,4,4,2,2,0,Equal,0,Equal,voar,fly,Clements2012[37-41],
Kannur,fog,nɨvuɐjɾu,fog,nɨ'vuˈɐj'ɾu,3,8,1,4,-5,Target,-3,Target,nevoeiro,fog,Clements2012[37-41],English origin
Kannur,pɛ,pɛ ,pɛ,ˈpɛ ,2,3,1,2,-1,Target,-1,Target,pé,foot,Clements2012[37-41],
Kannur,katɾə,kwatɾu ,ka'tɾə,ˈkwatɾu ,5,7,2,2,-2,Target,0,Equal,quatro,four,Clements2012[37-41],
Kannur,fɾiːz,kõʒɨɫaɾ ,fɾiːz,kõ'ʒɨˈɫaɾ ,5,9,1,3,-4,Target,-2,Target,,freeze,Clements2012[37-41],English origin
Kannur,fɾutɛ,fɾutɐ,fɾu'tɛ,ˈfɾutɐ,5,5,2,2,0,Equal,0,Equal,fruta,fruit,Clements2012[37-41],
Kannur,int̠ʃid,ʃɐju,int̠'ʃid,ˈʃɐju,5,4,2,2,1,Source,0,Equal,cheio,full,Clements2012[37-41],
Kannur,da,daɾ,da,daɾ,2,3,1,1,-1,Target,0,Equal,dar,give,Clements2012[37-41],
Kannur,bɔ̃,bõ ,bɔ̃,bõ ,3,4,1,1,-1,Target,0,Equal,bom,good,Clements2012[37-41],
Kannur,gɾasə,ʁɛɫvɐ,gɾa'sə,ˈʁɛɫvɐ,5,5,2,2,0,Equal,0,Equal,,grass,Clements2012[37-41],English or Dutch origin
Kannur,ʋɛɾdi,veɾdɨ,ʋɛɾ'di,ˈveɾdɨ,5,5,2,2,0,Equal,0,Equal,verde,green,Clements2012[37-41],
Kannur,tɾipə,tɾipɐ,tɾi'pə,ˈtɾipɐ,5,5,2,2,0,Equal,0,Equal,tripa,guts,Clements2012[37-41],
Kannur,kabeli,kɐbelu,ka'be'li,kɐˈbe'lu,6,6,3,3,0,Equal,0,Equal,cabelo,hair,Clements2012[37-41],
Kannur,mɔ̃,mɐ̃w̃,mɔ̃,mɐ̃w̃,3,5,1,1,-2,Target,0,Equal,mão,hand,Clements2012[37-41],
Kannur,eli,eɫɨ,e'li,ˈeɫɨ,3,3,2,2,0,Equal,0,Equal,ele,he,Clements2012[37-41],
Kannur,kabesə,kɐbesɐ,ka'be'sə,kɐˈbe'sɐ,6,6,3,3,0,Equal,0,Equal,cabeça,head,Clements2012[37-41],
Kannur,oí,oviɾ,o'í,oˈviɾ,2,4,2,2,-2,Target,0,Equal,ouvir,hear,Clements2012[37-41],
Kannur,koɾso,kuɾɐsɐ̃w̃,koɾ'so,ku'ɾɐˈsɐ̃w̃,5,9,2,3,-4,Target,-1,Target,coração,heart,Clements2012[37-41],
Kannur,pezad,pɨzadu,pe'zad,pɨˈza'du,5,6,2,3,-1,Target,-1,Target,pesado,heavy,Clements2012[37-41],
Kannur,ɛki, ɐki,ɛ'ki, ɐˈki,3,4,2,2,-1,Target,0,Equal,aqui,here,Clements2012[37-41],
Kannur,dali,da-ʎɨ,da'li,ˈda-ʎɨ,4,5,2,2,-1,Target,0,Equal,dá-lhe,hit,Clements2012[37-41],
Kannur,tama,tumaɾ ,ta'ma,tuˈmaɾ ,4,6,2,2,-2,Target,0,Equal,tomar,hold (take),Clements2012[37-41],
Kannur,təma,tumaɾ ,tə'ma,tuˈmaɾ ,4,6,2,2,-2,Target,0,Equal,tomar,hold (take),Clements2012[37-41],
Kannur,kɛlɛj, kɨ ɫajɐ,kɛ'lɛj, kɨ ˈɫaj'ɐ,5,8,2,3,-3,Target,-1,Target,que laia,how,Clements2012[37-41],
Kannur,maɾidə,mɐɾidu,ma'ɾi'də,mɐˈɾi'du,6,6,3,3,0,Equal,0,Equal,marido,husband,Clements2012[37-41],
,jo,ew ,jo,ew ,2,3,1,1,-1,Target,0,Equal,eu,I,Clements2012[37-41],
Kannur,ajs,ʒeɫu ,ajs,ˈʒeɫu ,3,5,1,2,-2,Target,-1,Target,,ice,Clements2012[37-41],English or Dutch origin
Kannur,sə,sɨ,sə,sɨ,2,2,1,1,0,Equal,0,Equal,se,if,Clements2012[37-41],
Kannur,dɛntɾə,dẽtɾu,dɛn'tɾə,ˈdẽtɾu,6,6,2,2,0,Equal,0,Equal,dentro,inside,Clements2012[37-41],
Kannur,matæ,mɐtaɾ,ma'tæ,mɐˈtaɾ,4,5,2,2,-1,Target,0,Equal,matar,kill,Clements2012[37-41],
