Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Papia Kristang,mˈpodi,nɐ̃w̃'pɔdɨ,m.ˈpo.di,nɐ̃w̃.'pɔ.dɨ,di,dɨ,3,3,,não pode,cannot,Baxter1990[7-21],
Papia Kristang,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ka,kɐ,1,1,,carreta,"car, carriage",Baxter1990[7-21],
Papia Kristang,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ˈre,ˈʀe,2,2,,carreta,"car, carriage",Baxter1990[7-21],
Papia Kristang,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ta,tɐ,3,3,,carreta,"car, carriage",Baxter1990[7-21],
Papia Kristang,ˈkezu,ˈkɐjʒu,ˈke.zu,ˈkɐj.ʒu,ˈke,ˈkɐj,1,1,,queijo,cheese,Baxter1990[7-21],
Papia Kristang,ˈkezu,ˈkɐjʒu,ˈke.zu,ˈkɐj.ʒu,zu,ʒu,2,2,,queijo,cheese,Baxter1990[7-21],
Papia Kristang,ˈkrensa,kɾiˈɐ̃sɐ,ˈkren.sa,kɾi.ˈɐ̃.sɐ,ˈkren,kɾi,1,1,,criança,child,Baxter1990[7-21],
Papia Kristang,ˈkrensa,kɾiˈɐ̃sɐ,ˈkren.sa,kɾi.ˈɐ̃.sɐ,-,ˈɐ̃,-,2,,criança,child,Baxter1990[7-21],
Papia Kristang,ˈkrensa,kɾiˈɐ̃sɐ,ˈkren.sa,kɾi.ˈɐ̃.sɐ,sa,sɐ,2,3,,criança,child,Baxter1990[7-21],
Papia Kristang,beŋ,ˈvɐ̃j̃,beŋ,ˈvɐ̃j̃,beŋ,ˈvɐ̃j̃,1,1,,vem,come,Baxter1990[7-21],
