Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthography,Translation,Reference,Notes,SourceWordLenght,"
TargetWordLenght",SourceWordSyl,TargetWordSyl,WordDiff,WordBigger,SyllDiff,SylBigger
Papia Kristang,ˈda,ˈdaɾ,ˈda,ˈdaɾ,dar,give,Baxter2004,,2,3,1,1,-1,Target,0,Equal
Papia Kristang,bai,vaj,bai,vaj,vai,go,Baxter1990[7-21],,3,3,1,1,0,Equal,0,Equal
Papia Kristang,boŋ,ˈbõ,boŋ,ˈbõ,bom,good,Baxter1990[7-21],,3,3,1,1,0,Equal,0,Equal
Papia Kristang,ˈεbra,ˈɛɾvɐ,ˈε.bra,ˈɛɾ.vɐ,erva,grass,Baxter1990[7-21],,4,4,2,2,0,Equal,0,Equal
Papia Kristang,ˈmaŋ,ˈmɐ̃w̃,ˈmaŋ,ˈmɐ̃w̃,mão,hand,Baxter2004,,3,4,1,1,-1,Target,0,Equal
Papia Kristang,eli,ˈelɨ,e.li,ˈe.lɨ,ele,he,Baxter1990[7-21],,3,3,2,2,0,Equal,0,Equal
Papia Kristang,kaˈbesa,kɐˈbesɐ,ka.ˈbe.sa,kɐ.ˈbe.sɐ,cabeça,head,Baxter2004,,6,6,3,3,0,Equal,0,Equal
Papia Kristang,uˈbi,ˈoviɾ,u.ˈbi,o.ˈviɾ,ouvir,hear,Baxter1990[7-21],,3,4,2,2,-1,Target,0,Equal
Papia Kristang,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,coração,heart,Baxter1990[7-21],,6,8,2,3,-2,Target,-1,Target
Papia Kristang,ˈkɛnti,ˈkẽtɨ,ˈkɛn.ti,ˈkẽ.tɨ,quente,hot,Baxter2004,,5,5,2,2,0,Equal,0,Equal
Papia Kristang,jo,ew,jo,ew,eu,I,Baxter1990[7-21],,2,2,1,1,0,Equal,0,Equal
Papia Kristang,sanˈde,ɐsẽˈdeɾ,san.ˈde,ɐ.sẽ.ˈdeɾ,acender,ignite,Baxter1990[7-21],,5,7,2,3,-2,Target,-1,Target
Papia Kristang,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ferro,iron,Baxter1990[7-21],,4,4,2,2,0,Equal,0,Equal
Papia Kristang,saˈbe,sɐˈbeɾ,sa.ˈbe,sɐ.ˈbeɾ,saber,know,Baxter2004,,4,5,2,2,-1,Target,0,Equal
Papia Kristang,ri,ˈʀiɾ,ri,ˈʀiɾ,rir,laugh,Baxter1990[7-21],,2,3,1,1,-1,Target,0,Equal
Papia Kristang,ˈfola,ˈfoʎɐ,ˈfo.la,ˈfo.ʎɐ,folha,leaf,Baxter2004,,4,4,2,2,0,Equal,0,Equal
Papia Kristang,prenˈde,prẽˈdeɾ,pren.ˈde,prẽ.ˈdeɾ,prender,"learn, teach",Baxter1990[7-21],,6,7,2,2,-1,Target,0,Equal
Papia Kristang,saˈi,sɐˈiɾ,sa.ˈi,sɐ.ˈiɾ,sair,leave,Baxter1990[7-21],,3,4,2,2,-1,Target,0,Equal
Papia Kristang,ˈbesu,bɐjˈsu,ˈbe.su,bɐj.ˈsu,beiço,lip,Baxter1990[7-21],,4,5,2,2,-1,Target,0,Equal
Papia Kristang,oˈla,ɔˈʎaɾ,o.ˈla,ɔ.ˈʎaɾ,olhar,"look, see",Baxter1990[7-21],,3,4,2,2,-1,Target,0,Equal
Papia Kristang,ˈpjolu,ˈpjoʎu,ˈpjo.lu,ˈpjo.ʎu,piolho,louse,Baxter2004,,5,5,2,2,0,Equal,0,Equal
Papia Kristang,ˈomi,ˈɔmɐ̃j̃,ˈo.mi,ˈɔ.mɐ̃j̃,homem,man,Baxter2004,,3,5,2,2,-2,Target,0,Equal
Papia Kristang,ˈtantu,ˈtɐ̃tu,ˈtan.tu,ˈtɐ̃.tu,tanto,many,Baxter2004,,5,5,2,2,0,Equal,0,Equal
Papia Kristang,ˈlεti,ˈlɐjtɨ,ˈlε.ti,ˈlɐj.tɨ,leite,milk,Baxter1990[7-21],,4,5,2,2,-1,Target,0,Equal
Papia Kristang,ˈluŋa,ˈluɐ,ˈlu.ŋa,ˈlu.ɐ,lua,moon,Baxter2004,,4,3,2,2,1,Source,0,Equal
Papia Kristang,ˈnomi,ˈnomɨ,ˈno.mi,ˈno.mɨ,nome,name,Baxter2004,,4,4,2,2,0,Equal,0,Equal
Papia Kristang,ˈnubu,ˈnovu,ˈnu.bu,ˈno.vu,novo,new,Baxter1990[7-21],,4,4,2,2,0,Equal,0,Equal
Papia Kristang,aˈnuti,ˈnojtɨ,a.ˈnu.ti,ˈnoj.tɨ,noite,night,Baxter2004,,5,5,3,2,0,Equal,1,Source
Papia Kristang,ˈŋka,ˈnũkɐ,ˈŋ.ka,ˈnũ.kɐ,nunca,no,Baxter1990[7-21],,3,4,2,2,-1,Target,0,Equal
