Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,Process,SourceSylCount,TargetSylCount,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,PrevSylSource,NextSylSource,TargetOrthography,Translation,Reference,Notes
Papia Kristang,mˈpodi,nɐ̃w̃'pɔdɨ,m.ˈpo.di,nɐ̃w̃.'pɔ.dɨ,m,nɐ̃w̃,assimilation,3,3,1,1,Initial,Initial,0,ˈpo,não pode,cannot,Baxter1990[7-21],
Papia Kristang,mˈpodi,nɐ̃w̃'pɔdɨ,m.ˈpo.di,nɐ̃w̃.'pɔ.dɨ,ˈpo,pɔ,,3,3,2,2,Medial,Medial,m,di,não pode,cannot,Baxter1990[7-21],
Papia Kristang,mˈpodi,nɐ̃w̃'pɔdɨ,m.ˈpo.di,nɐ̃w̃.'pɔ.dɨ,di,dɨ,,3,3,3,3,Final,Final,ˈpo,3,não pode,cannot,Baxter1990[7-21],
Papia Kristang,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ka,kɐ,,3,3,1,1,Initial,Initial,0,ˈre,carreta,"car, carriage",Baxter1990[7-21],
Papia Kristang,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ˈre,ˈʀe,,3,3,2,2,Medial,Medial,ka,ta,carreta,"car, carriage",Baxter1990[7-21],
Papia Kristang,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ta,tɐ,,3,3,3,3,Final,Final,ˈre,3,carreta,"car, carriage",Baxter1990[7-21],
Papia Kristang,ˈkezu,ˈkɐjʒu,ˈke.zu,ˈkɐj.ʒu,ˈke,ˈkɐj,,2,2,1,1,Initial,Initial,0,zu,queijo,cheese,Baxter1990[7-21],
Papia Kristang,ˈkezu,ˈkɐjʒu,ˈke.zu,ˈkɐj.ʒu,zu,ʒu,,2,2,2,2,Final,Final,ˈke,2,queijo,cheese,Baxter1990[7-21],
Papia Kristang,ˈkrensa,kɾiˈɐ̃sɐ,ˈkren.sa,kɾi.ˈɐ̃.sɐ,ˈkren,kɾi,,2,3,1,1,Initial,Initial,0,-,criança,child,Baxter1990[7-21],
Papia Kristang,ˈkrensa,kɾiˈɐ̃sɐ,ˈkren.sa,kɾi.ˈɐ̃.sɐ,-,ˈɐ̃,,2,3,-,2,-,Medial,ˈkren,sa,criança,child,Baxter1990[7-21],
Papia Kristang,ˈkrensa,kɾiˈɐ̃sɐ,ˈkren.sa,kɾi.ˈɐ̃.sɐ,sa,sɐ,,2,3,2,3,Final,Final,-,2,criança,child,Baxter1990[7-21],
Papia Kristang,beŋ,ˈvɐ̃j̃,beŋ,ˈvɐ̃j̃,beŋ,ˈvɐ̃j̃,,1,1,1,1,Final,Final,0,1,vem,come,Baxter1990[7-21],
Papia Kristang,alguˈdaŋ,alguˈdɐ̃w̃,al.gu.ˈdaŋ,al.gu.ˈdɐ̃w̃,al,al,,3,3,1,1,Initial,Initial,0,gu,algodão,cotton,Baxter1990[7-21],
Papia Kristang,alguˈdaŋ,alguˈdɐ̃w̃,al.gu.ˈdaŋ,al.gu.ˈdɐ̃w̃,gu,gu,,3,3,2,2,Medial,Medial,al,ˈdaŋ,algodão,cotton,Baxter1990[7-21],
Papia Kristang,alguˈdaŋ,alguˈdɐ̃w̃,al.gu.ˈdaŋ,al.gu.ˈdɐ̃w̃,ˈdaŋ,ˈdɐ̃w̃,,3,3,3,3,Final,Final,gu,3,algodão,cotton,Baxter1990[7-21],
Papia Kristang,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,ˈsu,ˈsu,,2,2,1,1,Initial,Initial,0,zu,sujo,dirty,Baxter1990[7-21],
Papia Kristang,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,zu,ʒu,,2,2,2,2,Final,Final,ˈsu,2,sujo,dirty,Baxter1990[7-21],
Papia Kristang,faj,fɐˈzeɾ,faj,fɐ.ˈzeɾ,faj,fɐ,,1,2,1,1,Final,Initial,0,-,fazer,do,Baxter1990[7-21],
Papia Kristang,faj,fɐˈzeɾ,faj,fɐ.ˈzeɾ,-,ˈzeɾ,,1,2,-,2,-,Final,faj,1,fazer,do,Baxter1990[7-21],
Papia Kristang,kat̠ʃˈoru,kɐˈʃoʀu,ka.t̠ʃˈo.ru,kɐ.ˈʃo.ʀu,ka,kɐ,,3,3,1,1,Initial,Initial,0,t̠ʃˈo,cachorro,dog,Baxter1990[7-21],
Papia Kristang,kat̠ʃˈoru,kɐˈʃoʀu,ka.t̠ʃˈo.ru,kɐ.ˈʃo.ʀu,t̠ʃˈo,ˈʃo,,3,3,2,2,Medial,Medial,ka,ru,cachorro,dog,Baxter1990[7-21],
Papia Kristang,kat̠ʃˈoru,kɐˈʃoʀu,ka.t̠ʃˈo.ru,kɐ.ˈʃo.ʀu,ru,ʀu,,3,3,3,3,Final,Final,t̠ʃˈo,3,cachorro,dog,Baxter1990[7-21],
Papia Kristang,beˈbe,bɨˈbeɾ,be.ˈbe,bɨ.ˈbeɾ,be,bɨ,,2,2,1,1,Initial,Initial,0,ˈbe,beber,drink,Baxter2004,
Papia Kristang,beˈbe,bɨˈbeɾ,be.ˈbe,bɨ.ˈbeɾ,ˈbe,ˈbeɾ,,2,2,2,2,Final,Final,be,2,beber,drink,Baxter2004,
Papia Kristang,kuˈmi,kuˈmeɾ,ku.ˈmi,ku.ˈmeɾ,ku,ku,,2,2,1,1,Initial,Initial,0,ˈmi,comer,eat,Baxter1990[7-21],
Papia Kristang,kuˈmi,kuˈmeɾ,ku.ˈmi,ku.ˈmeɾ,ˈmi,ˈmeɾ,,2,2,2,2,Final,Final,ku,2,comer,eat,Baxter1990[7-21],
Papia Kristang,ˈobu,ˈovu,ˈo.bu,ˈo.vu,ˈo,ˈo,,2,2,1,1,Initial,Initial,0,bu,ovo,egg,Baxter1990[7-21],
Papia Kristang,ˈobu,ˈovu,ˈo.bu,ˈo.vu,bu,vu,assimilation,2,2,2,2,Final,Final,ˈo,2,ovo,egg,Baxter1990[7-21],
Papia Kristang,paˈga,ɐpɐˈgaɾ,pa.ˈga,ɐ.pɐ.ˈgaɾ,-,ɐ,,2,3,-,1,-,Initial,0,pa,apagar,extinguish,Baxter1990[7-21],
Papia Kristang,paˈga,ɐpɐˈgaɾ,pa.ˈga,ɐ.pɐ.ˈgaɾ,pa,pɐ,,2,3,1,2,Initial,Medial,-,ˈga,apagar,extinguish,Baxter1990[7-21],
Papia Kristang,paˈga,ɐpɐˈgaɾ,pa.ˈga,ɐ.pɐ.ˈgaɾ,ˈga,ˈgaɾ,,2,3,2,3,Final,Final,pa,2,apagar,extinguish,Baxter1990[7-21],
Papia Kristang,ˈolu,ˈoʎu,ˈo.lu,ˈo.ʎu,ˈo,ˈo,,2,2,1,1,Initial,Initial,0,lu,olho,eye,Baxter1990[7-21],
Papia Kristang,ˈolu,ˈoʎu,ˈo.lu,ˈo.ʎu,lu,ʎu,,2,2,2,2,Final,Final,ˈo,2,olho,eye,Baxter1990[7-21],
Papia Kristang,ˈpesi,ˈpɐjʃɨ,ˈpe.si,ˈpɐj.ʃɨ,ˈpe,ˈpɐj,,2,2,1,1,Initial,Initial,0,si,peixe,fish,Baxter1990[7-21],
Papia Kristang,ˈpesi,ˈpɐjʃɨ,ˈpe.si,ˈpɐj.ʃɨ,si,ʃɨ,,2,2,2,2,Final,Final,ˈpe,2,peixe,fish,Baxter1990[7-21],
Papia Kristang,abuˈa,vuˈaɾ,a.bu.ˈa,vu.ˈaɾ,a,-,,3,2,1,-,Initial,-,0,bu,voar,fly,Baxter2004,
Papia Kristang,abuˈa,vuˈaɾ,a.bu.ˈa,vu.ˈaɾ,bu,vu,assimilation,3,2,2,1,Medial,Initial,a,ˈa,voar,fly,Baxter2004,
Papia Kristang,abuˈa,vuˈaɾ,a.bu.ˈa,vu.ˈaɾ,ˈa,ˈaɾ,,3,2,3,2,Final,Final,bu,3,voar,fly,Baxter2004,
Papia Kristang,pɛw,pɛ,pɛw,pɛ,pɛw,pɛ,,1,1,1,1,Final,Final,0,1,pé,foot,Baxter2004,
Papia Kristang,ŋˈt̠ʃidu,ẽ'ʃidu,ŋ.ˈt̠ʃi.du,ẽ.'ʃi.du,ŋ,ẽ,,3,3,1,1,Initial,Initial,0,ˈt̠ʃi,enchido,full,Baxter1990[7-21],
Papia Kristang,ŋˈt̠ʃidu,ẽ'ʃidu,ŋ.ˈt̠ʃi.du,ẽ.'ʃi.du,ˈt̠ʃi,ʃi,,3,3,2,2,Medial,Medial,ŋ,du,enchido,full,Baxter1990[7-21],
Papia Kristang,ŋˈt̠ʃidu,ẽ'ʃidu,ŋ.ˈt̠ʃi.du,ẽ.'ʃi.du,du,du,,3,3,3,3,Final,Final,ˈt̠ʃi,3,enchido,full,Baxter1990[7-21],
Papia Kristang,ˈalu,ˈaʎu,ˈa.lu,ˈa.ʎu,ˈa,ˈa,,2,2,1,1,Initial,Initial,0,lu,alho,garlic,Baxter1990[7-21],
Papia Kristang,ˈalu,ˈaʎu,ˈa.lu,ˈa.ʎu,lu,ʎu,,2,2,2,2,Final,Final,ˈa,2,alho,garlic,Baxter1990[7-21],
Papia Kristang,ˈda,ˈdaɾ,ˈda,ˈdaɾ,ˈda,ˈdaɾ,,1,1,1,1,Final,Final,0,1,dar,give,Baxter2004,
Papia Kristang,bai,vaj,bai,vaj,bai,vaj,,1,1,1,1,Final,Final,0,1,vai,go,Baxter1990[7-21],
Papia Kristang,boŋ,ˈbõ,boŋ,ˈbõ,boŋ,ˈbõ,,1,1,1,1,Final,Final,0,1,bom,good,Baxter1990[7-21],
Papia Kristang,ˈεbra,ˈɛɾvɐ,ˈε.bra,ˈɛɾ.vɐ,ˈε,ˈɛɾ,,2,2,1,1,Initial,Initial,0,bra,erva,grass,Baxter1990[7-21],
Papia Kristang,ˈεbra,ˈɛɾvɐ,ˈε.bra,ˈɛɾ.vɐ,bra,ˈvɐ,metathesis,2,2,2,2,Final,Final,ˈε,2,erva,grass,Baxter1990[7-21],
Papia Kristang,ˈmaŋ,ˈmɐ̃w̃,ˈmaŋ,ˈmɐ̃w̃,ˈmaŋ,ˈmɐ̃w̃,,1,1,1,,Final,#N/A,0,1,mão,hand,Baxter2004,
Papia Kristang,eli,ˈelɨ,e.li,ˈe.lɨ,e,ˈe,,2,2,1,1,Initial,Initial,0,li,ele,he,Baxter1990[7-21],
Papia Kristang,eli,ˈelɨ,e.li,ˈe.lɨ,li,lɨ,,2,2,2,2,Final,Final,e,2,ele,he,Baxter1990[7-21],
Papia Kristang,kaˈbesa,kɐˈbesɐ,ka.ˈbe.sa,kɐ.ˈbe.sɐ,ka,kɐ,,3,3,1,1,Initial,Initial,0,ˈbe,cabeça,head,Baxter2004,
Papia Kristang,kaˈbesa,kɐˈbesɐ,ka.ˈbe.sa,kɐ.ˈbe.sɐ,ˈbe,ˈbe,,3,3,2,2,Medial,Medial,ka,sa,cabeça,head,Baxter2004,
Papia Kristang,kaˈbesa,kɐˈbesɐ,ka.ˈbe.sa,kɐ.ˈbe.sɐ,sa,sɐ,,3,3,3,3,Final,Final,ˈbe,3,cabeça,head,Baxter2004,
Papia Kristang,uˈbi,ˈoviɾ,u.ˈbi,o.ˈviɾ,u,o,,2,2,1,1,Initial,Initial,0,ˈbi,ouvir,hear,Baxter1990[7-21],
Papia Kristang,uˈbi,ˈoviɾ,u.ˈbi,o.ˈviɾ,ˈbi,ˈviɾ,,2,2,2,2,Final,Final,u,2,ouvir,hear,Baxter1990[7-21],
Papia Kristang,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,kor,ku,metathesis,2,3,1,1,Initial,Initial,0,-,coração,heart,Baxter1990[7-21],
Papia Kristang,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,,2,3,-,2,-,Medial,kor,ˈsaŋ,coração,heart,Baxter1990[7-21],
Papia Kristang,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,ˈsaŋ,ˈsɐ̃w̃,,2,3,2,3,Final,Final,-,2,coração,heart,Baxter1990[7-21],
Papia Kristang,ˈkɛnti,ˈkẽtɨ,ˈkɛn.ti,ˈkẽ.tɨ,ˈkɛn,ˈkẽ,,2,2,1,1,Initial,Initial,0,ti,quente,hot,Baxter2004,
Papia Kristang,ˈkɛnti,ˈkẽtɨ,ˈkɛn.ti,ˈkẽ.tɨ,ti,tɨ,,2,2,2,2,Final,Final,ˈkɛn,2,quente,hot,Baxter2004,
Papia Kristang,jo,ew,jo,ew,jo,ew,,1,1,1,1,Final,Final,0,1,eu,I,Baxter1990[7-21],
Papia Kristang,sanˈde,ɐsẽˈdeɾ,san.ˈde,ɐ.sẽ.ˈdeɾ,-,ɐ,,2,3,-,1,-,Initial,0,san,acender,ignite,Baxter1990[7-21],
Papia Kristang,sanˈde,ɐsẽˈdeɾ,san.ˈde,ɐ.sẽ.ˈdeɾ,san,sẽ,,2,3,1,2,Initial,Medial,-,ˈde,acender,ignite,Baxter1990[7-21],
Papia Kristang,sanˈde,ɐsẽˈdeɾ,san.ˈde,ɐ.sẽ.ˈdeɾ,ˈde,ˈdeɾ,,2,3,2,3,Final,Final,san,2,acender,ignite,Baxter1990[7-21],
Papia Kristang,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ˈfe,ˈfɛ,,2,2,1,1,Initial,Initial,0,ru,ferro,iron,Baxter1990[7-21],
Papia Kristang,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ru,ʀu,,2,2,2,2,Final,Final,ˈfe,2,ferro,iron,Baxter1990[7-21],
Papia Kristang,saˈbe,sɐˈbeɾ,sa.ˈbe,sɐ.ˈbeɾ,sa,sɐ,,2,2,1,1,Initial,Initial,0,ˈbe,saber,know,Baxter2004,
Papia Kristang,saˈbe,sɐˈbeɾ,sa.ˈbe,sɐ.ˈbeɾ,ˈbe,ˈbeɾ,,2,2,2,2,Final,Final,sa,2,saber,know,Baxter2004,
Papia Kristang,ri,ˈʀiɾ,ri,ˈʀiɾ,ri,ˈʀiɾ,,1,1,1,1,Final,Final,0,1,rir,laugh,Baxter1990[7-21],
Papia Kristang,ˈfola,ˈfoʎɐ,ˈfo.la,ˈfo.ʎɐ,ˈfo,ˈfo,,2,2,1,1,Initial,Initial,0,ˈla,folha,leaf,Baxter2004,
Papia Kristang,ˈfola,ˈfoʎɐ,ˈfo.la,ˈfo.ʎɐ,ˈla,ʎɐ,,2,2,2,2,Final,Final,ˈfo,2,folha,leaf,Baxter2004,
Papia Kristang,prenˈde,prẽˈdeɾ,pren.ˈde,prẽ.ˈdeɾ,pren,prẽ,,2,2,1,1,Initial,Initial,0,ˈde,prender,"learn, teach",Baxter1990[7-21],
Papia Kristang,prenˈde,prẽˈdeɾ,pren.ˈde,prẽ.ˈdeɾ,ˈde,ˈdeɾ,,2,2,2,2,Final,Final,pren,2,prender,"learn, teach",Baxter1990[7-21],
Papia Kristang,saˈi,sɐˈiɾ,sa.ˈi,sɐ.ˈiɾ,sa,sɐ,,2,2,1,1,Initial,Initial,0,ˈi,sair,leave,Baxter1990[7-21],
Papia Kristang,saˈi,sɐˈiɾ,sa.ˈi,sɐ.ˈiɾ,ˈi,ˈiɾ,,2,2,2,2,Final,Final,sa,2,sair,leave,Baxter1990[7-21],
Papia Kristang,ˈbesu,bɐjˈsu,ˈbe.su,bɐj.ˈsu,ˈbe,bɐj,,2,2,1,1,Initial,Initial,0,su,beiço,lip,Baxter1990[7-21],
Papia Kristang,ˈbesu,bɐjˈsu,ˈbe.su,bɐj.ˈsu,su,ˈsu,,2,2,2,2,Final,Final,ˈbe,2,beiço,lip,Baxter1990[7-21],
Papia Kristang,oˈla,ɔˈʎaɾ,o.ˈla,ɔ.ˈʎaɾ,o,ɔ,,2,2,1,1,Initial,Initial,0,ˈla,olhar,"look, see",Baxter1990[7-21],
Papia Kristang,oˈla,ɔˈʎaɾ,o.ˈla,ɔ.ˈʎaɾ,ˈla,ʎaɾ,,2,2,2,2,Final,Final,o,2,olhar,"look, see",Baxter1990[7-21],
Papia Kristang,ˈpjolu,ˈpjoʎu,ˈpjo.lu,ˈpjo.ʎu,ˈpjo,ˈpjo,,2,2,1,1,Initial,Initial,0,lu,piolho,louse,Baxter2004,
Papia Kristang,ˈpjolu,ˈpjoʎu,ˈpjo.lu,ˈpjo.ʎu,lu,ʎu,,2,2,2,2,Final,Final,ˈpjo,2,piolho,louse,Baxter2004,
Papia Kristang,ˈomi,ˈɔmɐ̃j̃,ˈo.mi,ˈɔ.mɐ̃j̃,ˈo,ˈɔ,,2,2,1,1,Initial,Initial,0,mi,homem,man,Baxter2004,
Papia Kristang,ˈomi,ˈɔmɐ̃j̃,ˈo.mi,ˈɔ.mɐ̃j̃,mi,mɐ̃j̃,,2,2,2,2,Final,Final,ˈo,2,homem,man,Baxter2004,
Papia Kristang,ˈtantu,ˈtɐ̃tu,ˈtan.tu,ˈtɐ̃.tu,ˈtan,ˈtɐ̃,,2,2,1,1,Initial,Initial,0,tu,tanto,many,Baxter2004,
Papia Kristang,ˈtantu,ˈtɐ̃tu,ˈtan.tu,ˈtɐ̃.tu,tu,tu,,2,2,2,2,Final,Final,ˈtan,2,tanto,many,Baxter2004,
Papia Kristang,ˈlεti,ˈlɐjtɨ,ˈlε.ti,ˈlɐj.tɨ,ˈlε,ˈlɐj,,2,2,1,1,Initial,Initial,0,ti,leite,milk,Baxter1990[7-21],
Papia Kristang,ˈlεti,ˈlɐjtɨ,ˈlε.ti,ˈlɐj.tɨ,ti,tɨ,,2,2,2,2,Final,Final,ˈlε,2,leite,milk,Baxter1990[7-21],
Papia Kristang,ˈluŋa,ˈluɐ,ˈlu.ŋa,ˈlu.ɐ,ˈlu,ˈlu,,2,2,1,1,Initial,Initial,0,ŋa,lua,moon,Baxter2004,
Papia Kristang,ˈluŋa,ˈluɐ,ˈlu.ŋa,ˈlu.ɐ,ŋa,ɐ,,2,2,2,2,Final,Final,ˈlu,2,lua,moon,Baxter2004,
Papia Kristang,ˈnomi,ˈnomɨ,ˈno.mi,ˈno.mɨ,ˈno,ˈno,,2,2,1,1,Initial,Initial,0,mi,nome,name,Baxter2004,
Papia Kristang,ˈnomi,ˈnomɨ,ˈno.mi,ˈno.mɨ,mi,mɨ,,2,2,2,2,Final,Final,ˈno,2,nome,name,Baxter2004,
Papia Kristang,ˈnubu,ˈnovu,ˈnu.bu,ˈno.vu,ˈnu,ˈno,,2,2,1,1,Initial,Initial,0,bu,novo,new,Baxter1990[7-21],
Papia Kristang,ˈnubu,ˈnovu,ˈnu.bu,ˈno.vu,bu,vu,,2,2,2,2,Final,Final,ˈnu,2,novo,new,Baxter1990[7-21],
Papia Kristang,aˈnuti,ˈnojtɨ,a.ˈnu.ti,ˈnoj.tɨ,a,-,,3,2,1,-,Initial,-,0,ˈnu,noite,night,Baxter2004,
Papia Kristang,aˈnuti,ˈnojtɨ,a.ˈnu.ti,ˈnoj.tɨ,ˈnu,ˈnoj,,3,2,2,1,Medial,Initial,a,ti,noite,night,Baxter2004,
Papia Kristang,aˈnuti,ˈnojtɨ,a.ˈnu.ti,ˈnoj.tɨ,ti,tɨ,,3,2,3,2,Final,Final,ˈnu,3,noite,night,Baxter2004,
Papia Kristang,ˈŋka,ˈnũkɐ,ˈŋ.ka,ˈnũ.kɐ,ˈŋ,ˈnũ,,2,2,1,1,Initial,Initial,0,ka,nunca,no,Baxter1990[7-21],
Papia Kristang,ˈŋka,ˈnũkɐ,ˈŋ.ka,ˈnũ.kɐ,ka,kɐ,,2,2,2,2,Final,Final,ˈŋ,2,nunca,no,Baxter1990[7-21],
Papia Kristang,nˈte,nɐ̃w̃ˈtɐ̃j̃,n.ˈte,nɐ̃w̃.ˈtɐ̃j̃,n,nɐ̃w̃,,2,2,1,1,Initial,Initial,0,ˈte,não tem,not have,Baxter1990[7-21],
Papia Kristang,nˈte,nɐ̃w̃ˈtɐ̃j̃,n.ˈte,nɐ̃w̃.ˈtɐ̃j̃,ˈte,ˈtɐ̃j̃,,2,2,2,2,Final,Final,n,2,não tem,not have,Baxter1990[7-21],
