Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,PositionSource Simple,PositionTarget Simple,Previous SourceSyllable,Next SourceSyllable,Previous TargetSyllable,Next TargetSyllable,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,numˈpodi,ˈnɐ̃w̃ˈpɔdɨ,num.ˈpo.di,ˈnɐ̃w̃.ˈpɔ.dɨ,num,ˈnɐ̃w̃,3,3,1,1,Initial,Initial,0,ˈpo,0,ˈpɔ,,não pode,cannot,Baxter1990[7-21],
Timor Pidgin,numˈpodi,ˈnɐ̃w̃ˈpɔdɨ,num.ˈpo.di,ˈnɐ̃w̃.ˈpɔ.dɨ,ˈpo,ˈpɔ,3,3,2,2,Medial,Medial,num,di,ˈnɐ̃w̃,dɨ,,não pode,cannot,Baxter1990[7-21],
Timor Pidgin,numˈpodi,ˈnɐ̃w̃ˈpɔdɨ,num.ˈpo.di,ˈnɐ̃w̃.ˈpɔ.dɨ,di,dɨ,3,3,3,3,Final,Final,ˈpo,3,ˈpɔ,3,,não pode,cannot,Baxter1990[7-21],
Timor Pidgin,ˈpusaˈbafu,puˈʃaɾˈbafu,ˈpu.saˈba.fu,pu.ˈʃaɾ.ˈba.fu,ˈpu,pu,3,4,1,1,Initial,Initial,0,sa,0,ˈʃaɾ,,puxa bafo,breathe,Baxter1990[7-21],
Timor Pidgin,ˈpusaˈbafu,puˈʃaɾˈbafu,ˈpu.saˈba.fu,pu.ˈʃaɾ.ˈba.fu,sa,ˈʃaɾ,3,4,2,2,Medial,Medial,ˈpu,ˈba,pu,ˈba,,puxa bafo,breathe,Baxter1990[7-21],
Timor Pidgin,ˈpusaˈbafu,puˈʃaɾˈbafu,ˈpu.saˈba.fu,pu.ˈʃaɾ.ˈba.fu,ˈba,ˈba,3,4,1,1,Initial,Initial,sa,fu,ˈʃaɾ,fu,,puxa bafo,breathe,Baxter1990[7-21],
Timor Pidgin,ˈpusaˈbafu,puˈʃaɾˈbafu,ˈpu.saˈba.fu,pu.ˈʃaɾ.ˈba.fu,fu,fu,3,4,2,2,Medial,Medial,ˈba,2,ˈba,2,,puxa bafo,breathe,Baxter1990[7-21],
Timor Pidgin,beŋ,ˈvɐ̃j̃,beŋ,ˈvɐ̃j̃,beŋ,ˈvɐ̃j̃,1,1,1,1,Final,Final,0,1,0,1,,vem,come,Baxter1990[7-21],
Timor Pidgin,bai,vaj,bai,vaj,bai,vaj,1,1,1,1,Final,Final,0,1,0,1,,vai,go,Baxter1990[7-21],
Timor Pidgin,ˈfaze,fɐˈzeɾ,ˈfa.ze,fɐˈ.zeɾ,ˈfa,fɐ,2,2,1,1,Initial,Initial,0,ze,0,zeɾ,,fazer,do,Baxter1990[7-21],
Timor Pidgin,ˈfaze,fɐˈzeɾ,ˈfa.ze,fɐˈ.zeɾ,ze,zeɾ,2,2,2,2,Final,Final,ˈfa,2,fɐ,2,,fazer,do,Baxter1990[7-21],
Timor Pidgin,ˈpodi,pudeɾ,ˈpo.di,pu.deɾ,ˈpo,pu,2,2,1,1,Initial,Initial,0,di,0,deɾ,,poder,can,Baxter1990[7-21],
Timor Pidgin,ˈpodi,pudeɾ,ˈpo.di,pu.deɾ,di,deɾ,2,2,2,2,Final,Final,ˈpo,2,pu,2,,poder,can,Baxter1990[7-21],
Timor Pidgin,ˈsande,ɐsẽˈdeɾ,ˈsan.de,ɐ.sẽ.ˈdeɾ,-,ɐ,2,3,-,1,-,Initial,0,ˈsan,0,sẽ,,acender,ignite,Baxter1990[7-21],
Timor Pidgin,ˈsande,ɐsẽˈdeɾ,ˈsan.de,ɐ.sẽ.ˈdeɾ,ˈsan,sẽ,2,3,1,2,Initial,Medial,-,de,ɐ,ˈdeɾ,,acender,ignite,Baxter1990[7-21],
Timor Pidgin,ˈsande,ɐsẽˈdeɾ,ˈsan.de,ɐ.sẽ.ˈdeɾ,de,ˈdeɾ,2,3,2,3,Final,Final,ˈsan,2,sẽ,3,,acender,ignite,Baxter1990[7-21],
