Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes,SourceWordlength,,,,SourceWordlength,TargetWordlength,,,,,,,,SourceWordSly length,TargetWordSly length,Word diff,Word bigger,Sly diff,SylNumbigger,Encontra espaço branco
Patua Macau,ˈked̠ʒo,ˈkɐjʒu,ˈke.d̠ʒo,ˈkɐj.ʒu,ˈt̠ʃe,ˈʃɐj,1,1,,cheiro,smell,Baxter1990[7-21],,7,ked̠ʒo,keʒo,keʒo,4,6,queijo,ˈkɐjʒu,ˈkɐjʒu,kɐjʒu,kɐjʒu,kɐjʒu,kɐjʒu,2,2,-2,Target,0,Equal,#VALUE!
Patua Macau,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,ro,ru,2,2,,cheiro,smell,Baxter1990[7-21],,5,suzu,suzu,suzu,4,4,sujo,ˈsuʒu,ˈsuʒu,suʒu,suʒu,suʒu,suʒu,2,2,0,Equal,0,Equal,#VALUE!
Patua Macau,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,e,ẽ,1,1,,enchido,full,Baxter1990[7-21],,7,kareta,kareta,kareta,6,7,carreta,kɐˈʀetɐ,kɐˈʀetɐ,kɐʀetɐ,kɐʀetɐ,kɐʀetɐ,kɐʀetɐ,3,3,-1,Target,0,Equal,#VALUE!
Patua Macau,ˈfero,ˈfɛʀu,ˈfe.ro,ˈfɛ.ʀu,ˈt̠ʃi,ˈʃi,2,2,,enchido,full,Baxter1990[7-21],,5,fero,fero,fero,4,5,ferro,ˈfɛʀu,ˈfɛʀu,fɛʀu,fɛʀu,fɛʀu,fɛʀu,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,do,du,3,3,,enchido,full,Baxter1990[7-21],,7,bariga,bariga,bariga,6,7,barriga,bɐˈʀigɐ,bɐˈʀigɐ,bɐʀigɐ,bɐʀigɐ,bɐʀigɐ,bɐʀigɐ,3,3,-1,Target,0,Equal,#VALUE!
Patua Macau,ˈtro,ˈotɾu,ˈtro,ˈo.tɾu,d̠ʒa,ʒa,1,1,,já,already,Baxter1990[7-21],,4,tro,tro,tro,3,5,outro,ˈotɾu,ˈotɾu,otɾu,otɾu,otɾu,otɾu,1,2,-2,Target,-1,Target,#VALUE!
Patua Macau,ˈkjansa,kɾiˈɐ̃sɐ,ˈkjan.sa,kɾi.ˈɐ̃.sɐ,ˈd̠ʒen,ˈʒẽ,1,1,,gente,person,Baxter1990[7-21],,7,kjansa,kjansa,kjansa,6,7,criança,kɾiˈɐ̃sɐ,kɾiˈɐ̃sɐ,kɾiɐ̃sɐ,kɾiɐ̃sɐ,kɾiɐ̃sɐ,kɾiɐ̃sɐ,2,3,-1,Target,-1,Target,#VALUE!
Patua Macau,ˈvaka,ˈvakɐ,ˈva.ka,ˈva.kɐ,te,tɨ,2,2,,gente,person,Baxter1990[7-21],,5,vaka,vaka,vaka,4,4,vaca,ˈvakɐ,ˈvakɐ,vakɐ,vakɐ,vakɐ,vakɐ,2,2,0,Equal,0,Equal,#VALUE!
Patua Macau,uvˈi,oˈvir,u.vˈi,o.ˈvir,d̠ʒun,ʒũ,1,1,,juntado,together,Baxter1990[7-21],,4,uvi,uvi,uvi,3,5,ouvir,oˈvir,oˈvir,ovir,ovir,ovir,ovir,2,2,-2,Target,0,Equal,#VALUE!
Patua Macau,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,ˈta,ˈta,2,2,,juntado,together,Baxter1990[7-21],,4,ɔvu,ɔvu,ɔvu,3,3,ovo,ˈovu,ˈovu,ovu,ovu,ovu,ovu,2,2,0,Equal,0,Equal,#VALUE!
