Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;NumberSylsource;NumberSylTarget;SourceSyllable;TargetSyllable;PositionSource;PositionTarget;Simple PositionSource;Simple PositionTarget;process;TargetOrthography;Translation;Reference;Notes
Korlai;biɾmel;vɨɾˈmɐjʎu;biɾ.mel;vɨɾ.ˈmɐj.ʎu;2;3;biɾ;vɨɾ;1;1;Initial;Initial;;vermelho;red;Clements2012[37-223];
Korlai;biɾmel;vɨɾˈmɐjʎu;biɾ.mel;vɨɾ.ˈmɐj.ʎu;2;3;-;mɐj;-;2;-;Medial;;vermelho;red;Clements2012[37-224];
Korlai;biɾmel;vɨɾˈmɐjʎu;biɾ.mel;vɨɾ.ˈmɐj.ʎu;2;3;mel;ʎu;2;3;Medial;Medial;;vermelho;red;Clements2012[37-225];
Korlai;sews;ˈsɛw;sews;ˈsɛw;1;1;sews;sɛw;1;1;Initial;Initial;;céus;sky;Clements2012[37-226];
Korlai;peʣad;peˈzadu;pe.ʣad;pe.ˈza.du;2;3;pe;pe;1;1;Initial;Initial;;pesado;heavy;Clements2012[37-227];
Korlai;peʣad;peˈzadu;pe.ʣad;pe.ˈza.du;2;3;-;za;-;2;-;Medial;;pesado;heavy;Clements2012[37-228];
Korlai;peʣad;peˈzadu;pe.ʣad;pe.ˈza.du;2;3;ʣad;du;2;3;Medial;Medial;;pesado;heavy;Clements2012[37-229];
Korlai;bəɾəf;ˈʒɛlu;bə.ɾəf;ˈʒɛ.lu;2;2;bə;ʒɛ;1;1;Initial;Initial;;gelo;ice;Clements2012[37-230];
Korlai;bəɾəf;ˈʒɛlu;bə.ɾəf;ˈʒɛ.lu;2;2;ɾəf;lu;2;2;Medial;Medial;;gelo;ice;Clements2012[37-231];
Korlai;istɾel;iʃˈtɾɛlɐ;is.tɾel;iʃˈ.tɾɛ.lɐ;2;3;is;iʃˈ;1;1;Initial;Initial;;estrela;star;Clements2012[37-232];
Korlai;istɾel;iʃˈtɾɛlɐ;is.tɾel;iʃˈ.tɾɛ.lɐ;2;3;-;tɾɛ;-;2;-;Medial;;estrela;star;Clements2012[37-233];
Korlai;istɾel;iʃˈtɾɛlɐ;is.tɾel;iʃˈ.tɾɛ.lɐ;2;3;tɾel;lɐ;2;3;Medial;Medial;;estrela;star;Clements2012[37-234];
Korlai;kɛ̃t;ˈkẽtɨ;kɛ̃t;ˈkẽ.tɨ;1;2;kɛ̃t;kẽ;1;1;Initial;Initial;;quente;warm;Clements2012[37-235];
Korlai;kɛ̃t;ˈkẽtɨ;kɛ̃t;ˈkẽ.tɨ;1;2;-;tɨ;-;2;-;Medial;;quente;warm;Clements2012[37-236];
Korlai;os;ˈɔsu;os;ˈɔ.su;1;2;os;ɔ;1;1;Initial;Initial;;osso;bone;Clements2012[37-237];
Korlai;os;ˈɔsu;os;ˈɔ.su;1;2;-;su;-;2;-;Medial;;osso;bone;Clements2012[37-238];
Korlai;animal;ɐniˈmaw;a.ni.mal;ɐ.ni.ˈmaw;3;3;a;ɐ.;1;1;Initial;Initial;;animal;animal;Clements2012[37-239];
Korlai;animal;ɐniˈmaw;a.ni.mal;ɐ.ni.ˈmaw;3;3;ni;ni;2;2;Medial;Medial;;animal;animal;Clements2012[37-240];
Korlai;animal;ɐniˈmaw;a.ni.mal;ɐ.ni.ˈmaw;3;3;mal;maw;3;3;Medial;Medial;;animal;animal;Clements2012[37-241];
Korlai;hubja;ujˈvaʁ;hub.ja;uj.ˈvaʁ;2;2;hub;uj;1;1;Initial;Initial;;uivar;bark;Clements2012[37-242];
Korlai;hubja;ujˈvaʁ;hub.ja;uj.ˈvaʁ;2;2;ja;vaʁ;2;2;Medial;Medial;;uivar;bark;Clements2012[37-243];
Korlai;kaɾən;puʁki;ka.ɾən;puʁ.ki;2;2;ka;puʁ;1;1;Initial;Initial;;porque;because;Clements2012[37-244];
Korlai;kaɾən;puʁki;ka.ɾən;puʁ.ki;2;2;ɾən;ki;2;2;Medial;Medial;;porque;because;Clements2012[37-245];
Korlai;muɾde;moʁˈdeʁ;muɾ.de;moʁ.ˈdeʁ;2;2;muɾ;moʁ;1;1;Initial;Initial;;morder;bite;Clements2012[37-246];
Korlai;muɾde;moʁˈdeʁ;muɾ.de;moʁ.ˈdeʁ;2;2;de;deʁ;2;2;Medial;Medial;;morder;bite;Clements2012[37-247];
Korlai;pɾet;ˈpɾɛtu;pɾet;ˈpɾɛ.tu;1;2;pɾet;pɾɛ;1;1;Initial;Initial;;preto;black;Clements2012[37-248];
Korlai;pɾet;ˈpɾɛtu;pɾet;ˈpɾɛ.tu;1;2;-;tu;-;2;-;Medial;;preto;black;Clements2012[37-249];
;;;;;;;;;;;;;;;;;
