Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;NumberSylsource;NumberSylTarget;SourceSyllable;TargetSyllable;PositionSource;PositionTarget;Simple PositionSource;Simple PositionTarget;process;TargetOrthography;Translation;Reference;Notes
Korlai;ʋɛɾd;ˈveɾdɨ;ʋɛɾd;ˈveɾ.dɨ;1;2;-;dɨ;-;2;-;Medial;;verde;green;Clements2012[37-101];
Korlai;tɾip;ˈtɾipɐ;tɾip;ˈtɾi.pɐ;1;2;tɾip;tri;1;1;Initial;Initial;;tripa;guts;Clements2012[37-102];
Korlai;tɾip;ˈtɾipɐ;tɾip;ˈtɾi.pɐ;1;2;-;pɐ;-;2;-;Medial;;tripa;guts;Clements2012[37-103];
Korlai;kabel;kɐˈbelu;ka.bel;kɐˈ.be.lu;1;3;ka;kɐ;1;1;Initial;Initial;;cabelo;hair;Clements2012[37-104];
Korlai;kabel;kɐˈbelu;ka.bel;kɐˈ.be.lu;1;3;-;be;-;2;-;Medial;;cabelo;hair;Clements2012[37-105];
Korlai;kabel;kɐˈbelu;ka.bel;kɐˈ.be.lu;1;3;bel;lu;2;3;Medial;Medial;;cabelo;hair;Clements2012[37-106];
Korlai;kabes;kɐˈbesɐ;ka.bes;kɐ.ˈbe.sɐ;2;3;ka;kɐ;1;1;Initial;Initial;;cabeça;head;Clements2012[37-107];
Korlai;kabes;kɐˈbesɐ;ka.bes;kɐ.ˈbe.sɐ;2;3;-;be;-;2;-;Medial;;cabeça;head;Clements2012[37-108];
Korlai;kabes;kɐˈbesɐ;ka.bes;kɐ.ˈbe.sɐ;2;3;bes;sɐ;2;3;Medial;Medial;;cabeça;head;Clements2012[37-109];
Korlai;koɾsãw;kuɾɐˈsɐ̃w̃;koɾ.sãw;ku.ɾɐ.ˈsɐ̃w̃;2;3;koɾ;ku;1;1;Initial;Initial;;coração;heart;Clements2012[37-110];
Korlai;ʃiŋ;ˈʃifɾɨ;ʃiŋ;ˈʃi.fɾɨ;1;2;ʃiŋ;ʃi;1;1;Initial;Initial;;chifre;horn;Clements2012[37-111];
