Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,TargetSyllabe,PositionSource,PositionTarget,Process,TargetOrthopraphy,Translation,Reference,Notes
Sri Lanka Portuguese,kɔ:sta,CVC.CV,ˈkɔʃtɐ,kɔ:s.ta,ˈkɔʃ.tɐ,kɔ:s,ˈkɔʃ,1,1,,costa,back,Clements2012[37-41],
Sri Lanka Portuguese,kɔ:sta,CVC.CV,ˈkɔʃtɐ,kɔ:s.ta,ˈkɔʃ.tɐ,ta,tɐ,2,2,,costa,back,Clements2012[37-41],
Sri Lanka Portuguese,ma:l,CVC,ˈmal,ma:l,ˈmal,ma:l,ˈmal,1,1,,mal,bad,Clements2012[37-41],
Sri Lanka Portuguese,bɔlfa,CVC.CV,buˈfaɾ,bɔl.fa,bu.ˈfaɾ,bɔl,bu,1,1,,bofar,bark (v.),Clements2012[37-41],
Sri Lanka Portuguese,bɔlfa,CVC.CV,buˈfaɾ,bɔl.fa,bu.ˈfaɾ,fa,ˈfaɾ,2,2,,bofar,bark (v.),Clements2012[37-41],
Sri Lanka Portuguese,paːʈa,,,pa:.ʈa,,,,1,,,,bark (tree),Clements2012[37-41],Not of Portuguese origin
Sri Lanka Portuguese,ki:pa se:,CV.CV.CV,puɾkɨ,ki:.pa.se:,puɾ.kɨ,ki:,puɾ,1,1,,porque,because,Clements2012[37-41],
Sri Lanka Portuguese,ki:pa se:,CV.CV.CV,puɾkɨ,ki:.pa.se:,puɾ.kɨ,pa ,-,2,-,,porque,because,Clements2012[37-41],
Sri Lanka Portuguese,ki:pa se:,CV.CV.CV,puɾkɨ,ki:.pa.se:,puɾ.kɨ,se:,kɨ,3,2,,porque,because,Clements2012[37-41],
Sri Lanka Portuguese,baɾi:ja,CV.CV.CV,bɐˈʀigɐ,ba.ɾi:.ja,bɐ.ˈʀi.gɐ,ba,bɐ,1,1,,barriga,belly,Clements2012[37-41],
Sri Lanka Portuguese,baɾi:ja,CV.CV.CV,bɐˈʀigɐ,ba.ɾi:.ja,bɐ.ˈʀi.gɐ,ɾi:,ˈʀi,2,2,,barriga,belly,Clements2012[37-41],
Sri Lanka Portuguese,baɾi:ja,CV.CV.CV,bɐˈʀigɐ,ba.ɾi:.ja,bɐ.ˈʀi.gɐ,ja,gɐ,3,3,dissimilation,barriga,belly,Clements2012[37-41],
Sri Lanka Portuguese,gɾa:ndi,CCV.CV,ˈɡɾɐ̃dɨ,gɾa:n.di,ˈɡɾɐ̃.dɨ,gɾa:n,ˈɡɾɐ̃,1,1,,grande,big,Clements2012[37-41],
Sri Lanka Portuguese,gɾa:ndi,CCV.CV,ˈɡɾɐ̃dɨ,gɾa:n.di,ˈɡɾɐ̃.dɨ,di,dɨ,2,2,,grande,big,Clements2012[37-41],
Sri Lanka Portuguese,pa:stɾu,CVC.CCV,ˈpasɐɾu,pa:s.tɾu,ˈpa.sɐ.ɾu,pa:s,ˈpa,1,1,,pássaro,bird,Clements2012[37-41],
Sri Lanka Portuguese,pa:stɾu,CVC.CCV,ˈpasɐɾu,pa:s.tɾu,ˈpa.sɐ.ɾu,-,sɐ,-,2,,pássaro,bird,Clements2012[37-41],
Sri Lanka Portuguese,pa:stɾu,CVC.CCV,ˈpasɐɾu,pa:s.tɾu,ˈpa.sɐ.ɾu,tɾu,ɾu,2,3,,pássaro,bird,Clements2012[37-41],
Sri Lanka Portuguese,muɾda,CVC.CV,muɾˈdeɾ,muɾ.da,muɾ.ˈdeɾ,muɾ,muɾ,1,1,,morder,bite,Clements2012[37-41],
Sri Lanka Portuguese,muɾda,CVC.CV,muɾˈdeɾ,muɾ.da,muɾ.ˈdeɾ,da,ˈdeɾ,2,2,,morder,bite,Clements2012[37-41],
Sri Lanka Portuguese,pɾɛ:tu,CCV.CV,ˈpɾetu,pɾɛ:.tu,ˈpɾe.tu,pɾɛ:,ˈpɾe,1,1,,preto,black,Clements2012[37-41],
Sri Lanka Portuguese,pɾɛ:tu,CCV.CV,ˈpɾetu,pɾɛ:.tu,ˈpɾe.tu,tu,tu,2,2,,preto,black,Clements2012[37-41],
Sri Lanka Portuguese,sa:ngi,CVC.CV,ˈsɐ̃ɡɨ,sa:n.gi,ˈsɐ̃.ɡɨ,sa:n,ˈsɐ̃,1,1,,sangue,blood,Clements2012[37-41],
Sri Lanka Portuguese,sa:ngi,CVC.CV,ˈsɐ̃ɡɨ,sa:n.gi,ˈsɐ̃.ɡɨ,gi,ɡɨ,2,2,,sangue,blood,Clements2012[37-41],
Sri Lanka Portuguese,sufɾa:,CV.CCV,suˈpɾaɾ,su.fɾa:,su.ˈpɾaɾ,su,su,1,1,,soprar,blow,Clements2012[37-41],
Sri Lanka Portuguese,sufɾa:,CV.CCV,suˈpɾaɾ,su.fɾa:,su.ˈpɾaɾ,fɾa:,ˈpɾaɾ,2,2,,soprar,blow,Clements2012[37-41],
Sri Lanka Portuguese,o:su,V.CV,ˈosu,o:.su,ˈo.su,o:,ˈo,1,1,,osso,bone,Clements2012[37-41],
Sri Lanka Portuguese,o:su,V.CV,ˈosu,o:.su,ˈo.su,su,su,2,2,,osso,bone,Clements2012[37-41],
