Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,ˈfogu,ˈfogu,ˈfo.gu,ˈfo.gu,gu,gu,2,2,,fogo,fire,Baxter1990[7-21],
Timor Pidgin,ˈprende,pɾẽˈdeɾ,ˈpren.de,pɾẽ.ˈdeɾ,ˈpren,pɾẽ,1,1,,prender,"learn, teach",Baxter1990[7-21],
Timor Pidgin,ˈprende,pɾẽˈdeɾ,ˈpren.de,pɾẽ.ˈdeɾ,de,ˈdeɾ,2,2,,prender,"learn, teach",Baxter1990[7-21],
Timor Pidgin,ˈbuska,buʃˈkaɾ,ˈbus.ka,buʃ.ˈkaɾ,ˈbus,buʃ,1,1,,buscar,seek,Baxter1990[7-21],
Timor Pidgin,ˈbuska,buʃˈkaɾ,ˈbus.ka,buʃ.ˈkaɾ,ka,ˈkaɾ,2,2,,buscar,seek,Baxter1990[7-21],
Timor Pidgin,ˈbota,buˈtaɾ,ˈbo.ta,bu.ˈtaɾ,ˈbo,bu,1,1,,botar,put,Baxter1990[7-21],
Timor Pidgin,ˈbota,buˈtaɾ,ˈbo.ta,bu.ˈtaɾ,ta,ˈtaɾ,2,2,,botar,put,Baxter1990[7-21],
Timor Pidgin,sai,sɐˈiɾ,sa.i,sɐ.ˈiɾ,sa,sɐ,1,1,,sair,leave,Baxter1990[7-21],
Timor Pidgin,sai,sɐˈiɾ,sa.i,sɐ.ˈiɾ,i,ˈiɾ,2,2,,sair,leave,Baxter1990[7-21],
Timor Pidgin,la,lɐˈvaɾ,la,lɐ.ˈvaɾ,la,lɐ,1,1,,lavar,wash,Baxter1990[7-21],
Timor Pidgin,la,lɐˈvaɾ,la,lɐ.ˈvaɾ,-,ˈvaɾ,-,2,,lavar,wash,Baxter1990[7-21],
Timor Pidgin,korpu,ˈkoɾpu,kor.pu,ˈkoɾ.pu,ˈkoɾ,ˈkoɾ,1,1,,body,body,Baxter1990[7-21],
Timor Pidgin,korpu,ˈkoɾpu,kor.pu,ˈkoɾ.pu,pu,pu,2,2,,body,body,Baxter1990[7-21],
Timor Pidgin,ri,ˈʀiɾ,ri,ˈʀiɾ,ri,ˈʀiɾ,1,1,,rir,laugh,Baxter1990[7-21],
Timor Pidgin,ˈkume,kuˈmeɾ,ˈku.me,ku.ˈmeɾ,ˈku,ku,1,1,,comer,eat,Baxter1990[7-21],
Timor Pidgin,ˈkume,kuˈmeɾ,ˈku.me,ku.ˈmeɾ,me,ˈmeɾ,2,2,,comer,eat,Baxter1990[7-21],
Timor Pidgin,ˈsega,ʃɨˈɡaɾ,ˈse.ga,ʃɨ.ˈɡaɾ,ˈse,ʃɨ,1,1,,chegar,arrive,Baxter1990[7-21],
Timor Pidgin,ˈsega,ʃɨˈɡaɾ,ˈse.ga,ʃɨ.ˈɡaɾ,ga,ˈɡaɾ,2,2,,chegar,arrive,Baxter1990[7-21],
