Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSyl,SourceWordLength,TargetWordLength,SourceWordSylLength,TargetWordSylLength,WordDiff,WordBigger,SyllDiff,SylNumBigger,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Casamancese,paˈpɛ,ˈpaj,pa.ˈpɛ,ˈpaj,pa,ˈpaj,2,1,4,3,2,1,1,Source,1,Source,1,1,Medial,Medial,,pai,father,Biagui2012[83],
Casamancese,pis,ˈpɐjʃɨ,pis,ˈpɐj.ʃɨ,pis,ˈpɐj,1,2,3,5,1,2,-2,Target,-1,Target,1,1,Medial,Medial,,peixe,fish,Biagui2012[134],
Casamancese,ˈpastur,ˈpasɐɾu,ˈpas.tur,ˈpa.sɐ.ɾu,ˈpas,ˈpa,2,3,6,6,2,3,0,Equal,-1,Target,1,1,Medial,Medial,methatesis,pássaro,bird,Biagui2012[28],
Casamancese,kaˈcor,kɐˈʃoʁu,ka.ˈcor,kɐ.ˈʃo.ʁu,ka,kɐ,2,3,5,6,2,3,-1,Target,-1,Target,1,1,Medial,Medial,,"cachorro, cão",dog,Biagui2012[33],
Casamancese,ˈkobɾa,ˈkobɾɐ,ˈko.bɾa,ˈko.bɾɐ,ˈko,ˈko,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,"cobra, serpente",snake,Biagui2012[165],
Casamancese,ˈfruta,ˈfɾutɐ,ˈfru.ta,ˈfɾu.tɐ,ˈfru,ˈfɾu,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,fruta,fruit,Biagui2012[23],
Casamancese,gaˈrã,ˈgɾɐ̃w,ga.ˈrã,ˈgɾɐ̃w,ga,ˈgɾɐ̃w,2,1,4,5,2,1,-1,Target,1,Source,1,1,Medial,Medial,,"grão, semente",seed,Biagui2012[88],
Casamancese,ˈflor,ˈfɫoɾ,ˈflor,ˈfɫoɾ,ˈflor,ˈfɫoɾ,1,1,4,4,1,1,0,Equal,0,Equal,1,1,Medial,Medial,,flor,flower,Biagui2012[40],
Casamancese,ˈkorda,ˈkoɾdɐ,ˈkor.da,ˈkoɾ.dɐ,ˈkor,ˈkoɾ,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,corda,rope,Biagui2012[20],
Casamancese,ˈkarna,ˈkaɾnɨ,ˈkar.na,ˈkaɾ.nɨ,ˈkar,ˈkaɾ,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,carne,meat,Biagui2012[107],
Casamancese,ˈcifur,ˈʃifɾɨ,ˈci.fur,ˈʃi.fɾɨ,ˈci,ˈʃi,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,"chifre, corno",horn,Biagui2012[54],
Casamancese,ˈrabu,ˈʁabu,ˈrabu,ˈʁa.bu,ˈra,ˈʁa,1,2,4,4,1,2,0,Equal,-1,Target,1,1,Medial,Medial,,"rabo, cauda",tail,Biagui2012[315],
Casamancese,kaˈbelu,kɐˈbeɫu,ka.ˈbe.lu,kɐ.ˈbe.ɫu,ka,kɐ,3,3,6,6,3,3,0,Equal,0,Equal,1,1,Medial,Medial,,"cabelo, pêlo",hair,Biagui2012[33],
