SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthopraphy,Translation,Reference,Notes,NumberSylSource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceWordLength,TargetWordLength,WordDiff,WordBigger,SourceWordSyl,TargetWordSyl,SylDiff,SylBigger
t̠ʃupa:,ʃuˈpaɾ,t̠ʃu.pa:,ʃu.ˈpaɾ,chupar,suck,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
sɔ:l,ˈsɔl,sɔ:l,ˈsɔl,sol,sun,Clements2012[37-41],,,,,,4,3,1,Source,1,1,0,Equal
intʃa:,ĩˈʃaɾ,in.t̠ʃa:,ĩ.ˈʃaɾ,inchar,swell,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
ɾa:ʋ,ˈʀabu,ɾa:ʋ,ˈʀa.bu,rabo,tail,Clements2012[37-41],,,,,,4,4,0,Equal,1,2,-1,Target
aka,ɐˈkilu,a.ka,ɐ.ˈki.lu,aquilo,that,Clements2012[37-41],,,,,,3,5,-2,Target,2,3,-1,Target
ala:,ɐˈli,a.la:,ɐ.ˈli,ali,there,Clements2012[37-41],,,,,,4,3,1,Source,2,2,0,Equal
etus,ˈelɨʃ,e.tus,ˈe.lɨʃ,eles,they,Clements2012[37-41],,,,,,4,4,0,Equal,2,2,0,Equal
gɾo:su,ˈgɾosu,gɾo:.su,ˈgɾo.su,grosso,thick,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
ma:gɾu,ˈmagɾu,ma:.gɾu,ˈma.gɾu,magro,thin,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
fi:nu,ˈfinu,fi:.nu,ˈfi.nu,fino,thin,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
lembɾa:,lẽˈbɾaɾ,lem.bɾa:,lẽ.ˈbɾaɾ,lembrar,think,Clements2012[37-41],,,,,,7,7,0,Equal,2,2,0,Equal
isti,ˈeʃtɨ,is.ti,ˈeʃ.tɨ,este,this,Clements2012[37-41],,,,,,4,4,0,Equal,2,2,0,Equal
bo:s,ˈvɔʃ,bo:s,ˈvɔʃ,vós,thou,Clements2012[37-41],,,,,,4,3,1,Source,1,1,0,Equal
tɾe:s,ˈtɾeʃ,tɾe:s,ˈtɾeʃ,três,three,Clements2012[37-41],,,,,,5,4,1,Source,1,1,0,Equal
pint̠ʃa:,pĩˈʃaɾ,pin.t̠ʃa:,pĩ.ˈʃaɾ,pinchar,throw,Clements2012[37-41],,,,,,6,6,0,Equal,2,2,0,Equal
maɾa:,ɐmɐˈʀaɾ,ma.ɾa:,ɐ.mɐ.ˈʀaɾ,amarrar,tie,Clements2012[37-41],,,,,,5,6,-1,Target,2,3,-1,Target
maɾa:,ɐmɐˈʀaɾ,ma.ɾa:,ɐ.ma.ˈʀaɾ,amarrar,tie,Clements2012[37-41],,,,,,5,6,-1,Target,2,3,-1,Target
li:ngu,ˈlĩgwɐ,li:n.gu,ˈlĩ.gwɐ,língua,tongue,Clements2012[37-41],,,,,,6,6,0,Equal,2,2,0,Equal
de:nti,ˈdẽtɨ,de:n.ti,ˈdẽ.tɨ,dente,tooth,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
a:lʋɾi,ˈaɾvuɾɨ,a:l.ʋɾi,ˈaɾ.vu.ɾɨ,árvore,tree,Clements2012[37-41],,,,,,6,6,0,Equal,2,3,-1,Target
ʋiɾa:,viˈɾaɾ,ʋi.ɾa:,vi.ˈɾaɾ,virar,turn,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
do:s,ˈdojʃ,do:s,ˈdojʃ,dois,two,Clements2012[37-41],,,,,,4,4,0,Equal,1,1,0,Equal
gumita:,vumiˈtaɾ,gu.mi.ta:,vu.mi.ˈtaɾ,vomitar,throw up,Clements2012[37-41],,,,,,7,7,0,Equal,3,3,0,Equal
mat̠ʃa:,mɐɾˈʃaɾ,ma.t̠ʃa:,mɐɾ.ˈʃaɾ,marchar,walk,Clements2012[37-41],,,,,,5,6,-1,Target,2,2,0,Equal
ke:nti,ˈkẽtɨ,ke:n.ti,ˈkẽ.tɨ,quente,warm,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
laʋa:,lɐˈvaɾ,la.ʋa:,lɐ.ˈvaɾ,lavar,wash,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
a:ʋ,ˈagwɐ   ,a:ʋ,ˈa.gwɐ   ,água,water,Clements2012[37-41],,,,,,3,7,-4,Target,1,2,-1,Target
no:s,ˈnɔʃ,no:s,ˈnɔʃ,nós,we,Clements2012[37-41],,,,,,4,3,1,Source,1,1,0,Equal
muja:du,muˈʎadu,mu.ja:.du,mu.ˈʎa.du,molhado,wet,Clements2012[37-41],,,,,,7,6,1,Source,3,3,0,Equal
ki:,kɨ,ki:,kɨ,que,what,Clements2012[37-41],,,,,,3,2,1,Source,1,1,0,Equal
kijɔ:ɾa,ˈkwɐ̃du,ki.jɔ:.ɾa,ˈkwɐ̃.du,quando,when,Clements2012[37-41],,,,,,7,6,1,Source,3,2,1,Source
o:ndi,ˈõdɨ,o:n.di,ˈõ.dɨ,onde,where,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
bɾa:nku,ˈbɾɐ̃ku,bɾa:n.ku,ˈbɾɐ̃.ku,branco,white,Clements2012[37-41],,,,,,7,6,1,Source,2,2,0,Equal
ke:m,kɐ̃j,ke:m,kɐ̃j,quem,who,Clements2012[37-41],,,,,,4,4,0,Equal,1,1,0,Equal
muje:ɾa,muˈʎeɾ,mu.je.:ɾa,mu.ˈʎeɾ,mulher,wife,Clements2012[37-41],,,,,,7,5,2,Source,3,2,1,Source
ʋɛ:ntu,ˈvẽtu,ʋɛ:n.tu,ˈvẽ.tu,vento,wind,Clements2012[37-41],,,,,,6,4,2,Source,2,2,0,Equal
a:sa,ˈazɐ,a.:sa,ˈa.zɐ,asa,wing,Clements2012[37-41],,,,,,4,3,1,Source,2,2,0,Equal
limpa:,lĩˈpaɾ,lim.pa:,lĩ.ˈpaɾ,limpar,wipe,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
ju:ntu,ˈʒũtu,ju:n.tu,ˈʒũ.tu,junto,together,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
ma:tu,ˈmatu,ma:.tu,ˈma.tu,mato,woods,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
bi:t̠ʃi,ˈbiʃu,bi:.t̠ʃi,ˈbi.ʃu,bicho,worm,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
botus,vɔˈse,bo.tus,vɔ.ˈse,você,you,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
a:nu,ˈɐnu,a.:nu,ˈɐ.nu,ano,year,Clements2012[37-41],,,,,,4,3,1,Source,2,2,0,Equal
safɾa:m,ɐsɐˈfɾɐ̃w,sa.fɾa:m,ɐ.sɐ.ˈfɾɐ̃w,açafrão,yellow,Clements2012[37-41],,,,,,7,8,-1,Target,2,3,-1,Target
