SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthopraphy,Translation,Reference,Notes,NumberSylSource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceWordLength,TargetWordLength,WordDiff,WordBigger,SourceWordSyl,TargetWordSyl,SylDiff,SylBigger
o:j,ˈoʎu,o:j,ˈo.ʎu,olho,eye,Clements2012[37-41],,,,,,3,3,0,Equal,1,2,-1,Target
kaj,kɐˈiɾ,kaj,kɐ.ˈiɾ,cair,fall,Clements2012[37-41],,,,,,3,4,-1,Target,1,2,-1,Target
lɔ:nd̠ʒi,ˈlõʒɨ,lɔ:n.d̠ʒi,ˈlõ.ʒɨ,longe,far,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
aze:ti,ɐˈzɐjtɨ,a.ze:.ti,ɐ.ˈzɐj.tɨ,azeite,oil,Clements2012[37-41],,,,,,6,6,0,Equal,3,3,0,Equal
guɾdu:ɾa,ɡuɾˈduɾɐ,guɾ.du:.ɾa,ɡuɾ.ˈdu.ɾɐ,gordura,fat,Clements2012[37-41],,,,,,8,7,1,Source,3,3,0,Equal
pa:j,paj,pa:j,paj,pai,father,Clements2012[37-41],,,,,,4,3,1,Source,1,1,0,Equal
me:du,ˈmedu,me:.du,ˈme.du,medo,fear,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
pɛ:na,ˈpenɐ,pɛ:.na,ˈpe.nɐ,pena,feather,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
po:ku,ˈpoku,po.:ku,ˈpo.ku,pouco,few,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
gɔ:ta,ˈgotɐ,gɔ:.ta,ˈgo.tɐ,pouco,few,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
bɾi:ja,bɾiˈgaɾ,bɾi:.ja,bɾiˈ.gaɾ,brigar,fight,Clements2012[37-41],,,,,,6,6,0,Equal,2,2,0,Equal
fo:ʋ,ˈfoɡu,fo:ʋ,ˈfo.ɡu,fogo,fire,Clements2012[37-41],,,,,,4,4,0,Equal,1,2,-1,Target
pe:si,ˈpejʃɨ,pe.:si,ˈpej.ʃɨ,peixe,fish,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
si:nku,ˈsĩku,si:n.ku,ˈsĩ.ku,cinco,five,Clements2012[37-41],,,,,,6,4,2,Source,2,2,0,Equal
