Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSylLength,PositionSource,Position Target,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,-,ˈɔ,3,4,-,3,-,Medial,ˈdjɔ,kɐ,di,kɐ,Metathesis,mandioca,manjoka,Bandeira2017[366-412],
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,kɐ,kɐ,3,4,3,4,Final,Final,-,3,ˈɔ,4,,mandioca,manjoka,Bandeira2017[366-412],
Angolar,mɐ̃ˈsõ,mɐˈsɐ̃,mɐ̃.ˈsõ,mɐ.ˈsɐ̃,mɐ̃,mɐ,2,2,1,1,Initial,Initial,0,ˈsõ,0,ˈsɐ̃,,maçã,apple,Bandeira2017[366-412],
Angolar,mɐ̃ˈsõ,mɐˈsɐ̃,mɐ̃.ˈsõ,mɐ.ˈsɐ̃,ˈsõ,ˈsɐ̃,2,2,2,2,Final,Final,mɐ̃,2,mɐ,2,,maçã,apple,Bandeira2017[366-412],
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,mɐ̃,mɐ̃,3,3,1,1,Initial,Initial,0,ˈtɛ,0,ˈtɐj,,manteiga,butter,Bandeira2017[366-412],
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,ˈtɛ,ˈtɐj,3,3,2,2,Medial,Medial,mɐ̃,gɐ,mɐ̃,gɐ,,manteiga,butter,Bandeira2017[366-412],
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,gɐ,gɐ,3,3,3,3,Final,Final,ˈtɛ,3,ˈtɐj,3,,manteiga,butter,Bandeira2017[366-412],
Angolar,ˈθalu,ˈsal,ˈθa.lu,ˈsal,ˈθa,ˈsal,2,1,1,1,Initial,Final,0,lu,0,-,,sal,salt,Bandeira2017[366-412],
Angolar,ˈθalu,ˈsal,ˈθa.lu,ˈsal,lu,-,2,1,2,-,Final,-,ˈθa,2,ˈsal,-,,sal,salt,Bandeira2017[366-412],
Angolar,ˈsopɐ,ˈsopɐ,ˈso.pɐ,ˈso.pɐ,ˈso,ˈso,2,2,1,1,Initial,Initial,0,pɐ,0,pɐ,,sopa,soup,Bandeira2017[366-412],
