Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;Source word length;Target word length;SourceWord Syl length;TargetWord Syl length;Word diff;Word bigger;Syll diff;SylNum bigger;Encontra espaço da erro;TargetOrthography;Translation;Reference;Notes
Korlai;ag;aguɐ;ag;a.guɐ;2;4;1;2;-2;Target;-1;Target;#VALUE!;água;water;Clements2012[37-41];
Korlai;laɾg;ˈlaɾɡu;laɾg;ˈlaɾ.ɡu;4;5;1;2;-1;Target;-1;Target;#VALUE!;largo;wide;Clements2012[37-41];
Korlai;ʋɛ̃t;ˈvẽtu;ʋɛ̃t;ˈvẽ.tu;4;4;1;2;0;Equal;-1;Target;#VALUE!;vento;wind;Clements2012[37-41];
Korlai;mat;ˈmatu;mat;ˈma.tu;3;4;1;2;-1;Target;-1;Target;#VALUE!;mato;woods;Clements2012[37-41];
Korlai;use;vɔˈse;u.se;vɔ.ˈse;3;4;2;2;-1;Target;0;Equal;#VALUE!;você;you;Clements2012[37-41];
Korlai;ʃi;sɨ;ʃi;sɨ;2;2;1;1;0;Equal;0;Equal;#VALUE!;se;if;Clements2012[37-41];
Korlai;maw;ˈmal;maw;ˈmal;3;3;1;1;0;Equal;0;Equal;#VALUE!;mal;bad;Clements2012[37-42];
Korlai;sajŋ;ˈsɐ̃ɡɨ;sajŋ;ˈsɐ̃.ɡɨ;4;5;1;2;-1;Target;-1;Target;#VALUE!;sangue;blood;Clements2012[37-43];
Korlai;pejt;ˈpejtu;pejt;ˈpej.tu;4;5;1;2;-1;Target;-1;Target;#VALUE!;peito;breast;Clements2012[37-44];
Korlai;di;ˈdiɐ;di;ˈdiɐ;2;3;1;1;-1;Target;0;Equal;#VALUE!;dia;day;Clements2012[37-45];
Korlai;lɔ̃j;ˈlõʒɨ;lɔ̃j;ˈlõ.ʒɨ;4;5;1;2;-1;Target;-1;Target;#VALUE!;longe;far;Clements2012[37-46];
Korlai;manteg;ˈmɐ̃tɐjgɐ;man.teg;ˈmɐ̃.tɐj.gɐ;6;8;2;3;-2;Target;-1;Target;#VALUE!;manteiga;ghee;Clements2012[37-47];
Korlai;paj;paj;paj;paj;3;3;1;1;0;Equal;0;Equal;#VALUE!;pai;father;Clements2012[37-48];
Korlai;peʃ;ˈpejʃɨ;peʃ;ˈpej.ʃɨ;3;5;1;2;-2;Target;-1;Target;#VALUE!;pai;father;Clements2012[37-49];
Korlai;fɾujt;ˈfɾutɐ;fɾujt;ˈfɾu.tɐ;5;5;1;2;0;Equal;-1;Target;#VALUE!;fruta;fruit;Clements2012[37-50];
Korlai;mãw;ˈmɐ̃w̃;mãw;ˈmɐ̃w̃;3;5;1;1;-2;Target;0;Equal;#VALUE!;mão;hand;Clements2012[37-51];
Korlai;maj;ˈmɐ̃j̃;maj;ˈmɐ̃j̃;3;5;1;1;-2;Target;0;Equal;#VALUE!;mãe;mother;Clements2012[37-52];
Korlai;biɾmel;vɨɾˈmɐjʎu;biɾ.mel;vɨɾ.ˈmɐj.ʎu;6;8;2;3;-2;Target;-1;Target;#VALUE!;vermelho;red;Clements2012[37-53];
Korlai;sews;ˈsɛw;sews;ˈsɛw;4;3;1;1;1;Source;0;Equal;#VALUE!;céus;sky;Clements2012[37-54];
Korlai;peʣad;peˈzadu;pe.ʣad;pe.ˈza.du;5;6;2;3;-1;Target;-1;Target;#VALUE!;pesado;heavy;Clements2012[37-55];
Korlai;bəɾəf;ˈʒɛlu;bə.ɾəf;ˈʒɛ.lu;5;4;2;2;1;Source;0;Equal;#VALUE!;gelo;ice;Clements2012[37-56];
Korlai;istɾel;iʃˈtɾɛlɐ;is.tɾel;iʃˈ.tɾɛ.lɐ;6;7;2;3;-1;Target;-1;Target;#VALUE!;estrela;star;Clements2012[37-57];
Korlai;kɛ̃t;ˈkẽtɨ;kɛ̃t;ˈkẽ.tɨ;4;4;1;2;0;Equal;-1;Target;#VALUE!;quente;warm;Clements2012[37-58];
Korlai;os;ˈɔsu;os;ˈɔ.su;2;3;1;2;-1;Target;-1;Target;#VALUE!;osso;bone;Clements2012[37-59];
Korlai;animal;ɐniˈmaw;a.ni.mal;ɐ.ni.ˈmaw;3;3;3;3;0;Equal;0;Equal;#VALUE!;animal;animal;Clements2012[37-60];
Korlai;hubja;ujˈvaʁ;hub.ja;uj.ˈvaʁ;2;2;2;2;0;Equal;0;Equal;#VALUE!;uivar;bark;Clements2012[37-61];
Korlai;kaɾən;puʁki;ka.ɾən;puʁ.ki;2;2;2;2;0;Equal;0;Equal;#VALUE!;porque;because;Clements2012[37-62];
Korlai;muɾde;moʁˈdeʁ;muɾ.de;moʁ.ˈdeʁ;2;2;2;2;0;Equal;0;Equal;#VALUE!;morder;bite;Clements2012[37-63];
Korlai;pɾet;ˈpɾɛtu;pɾet;ˈpɾɛ.tu;1;2;1;2;-1;Target;-1;Target;#VALUE!;preto;black;Clements2012[37-64];
