Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,SourceWord Length,TargetWord Length,SourceWordSyl Length,TargetWordSyl Length,Word diff,Word bigger,Syll diff,SylNum bigger
Principense,ˈsuke,ɐˈsukaɾ,ˈsu.ke,ɐ.ˈsu.kaɾ,ke,kaɾ,2,3,4,6,2,3,-2,Target,-1,Target
Principense,ˈt̠ʃigu,ˈtɾigu,ˈt̠ʃi.gu,ˈtɾi.gu,ˈt̠ʃi,ˈtɾi,1,1,4,5,2,2,-1,Target,0,Equal
Principense,viˈnãge,viˈnagɾɨ,vi.ˈnã.ge,vi.ˈna.gɾɨ,vi,vi,1,1,6,7,3,3,-1,Target,0,Equal
Principense,iˈzet̠ʃi,ɐˈzɐjtɨ,i.ˈze.t̠ʃi,ɐ.ˈzɐj.tɨ,t̠ʃi,tɨ,3,3,5,6,3,3,-1,Target,0,Equal
Principense,ˈazɐ,ˈazɐ,ˈa.zɐ,ˈa.zɐ,zɐ,zɐ,2,2,3,3,2,2,0,Equal,0,Equal
Principense,ˈkamɐ,ʃˈkɐmɐ dɨ ˈpɐjʃɨ,ˈka.mɐ,ʃ.ˈkɐ.mɐ dɨ ˈpɐj.ʃɨ,mɐ,ʃɨ,2,6,4,14,2,4,-10,Target,-2,Target
Principense,ˈkõni,ˈkoɾnu,ˈkõ.ni,ˈkoɾ.nu,ˈkõ,ˈkoɾ,1,1,4,5,2,2,-1,Target,0,Equal
Principense,ˈpenɐ,ˈpelu,ˈpe.nɐ,ˈpe.lu,nɐ,lu,2,2,4,4,2,2,0,Equal,0,Equal
Principense,uˈrabu,ˈʀabu,u.ˈra.bu,ˈʀa.bu,bu,bu,3,2,5,4,3,2,1,Source,1,Source
Principense,ˈawɐuˈwe,ˈaguɐ dɨ ˈoʎu,ˈa.wɐ u.ˈwe,ˈa.guɐ dɨ ˈo.ʎu,ˈwe,ʎu,4,5,6,11,4,3,-5,Target,1,Source
Principense,ˈbwɛgɐ,bɐˈʀigɐ,ˈb.wɛ.gɐ,bɐ.ˈʀi.gɐ,gɐ,gɐ,3,3,5,6,3,3,-1,Target,0,Equal
Principense,biˈgɔdi,biˈgodɨ,biˈgɔ.di,bi.ˈgo.dɨ,di,dɨ,3,3,6,6,2,3,0,Equal,-1,Target
Principense,uˈba:su,ˈbɾasu,u.ˈba:.su,ˈbɾa.su,su,su,3,2,6,5,3,2,1,Source,1,Source
Principense,uˈbukɐ,ˈbokɐ,u.ˈbu.kɐ,ˈbo.kɐ,kɐ,kɐ,3,2,5,4,3,2,1,Source,1,Source
Principense,iˈdɛ̃t̠ʃɪ,ˈdẽtɨ,i.ˈdɛ̃.t̠ʃɪ,ˈdẽ.tɨ,t̠ʃɪ,tɨ,3,2,6,5,3,2,1,Source,1,Source
Principense,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.gɐ.du,du,du,3,3,6,6,3,3,0,Equal,0,Equal
Principense,kaˈbɛlu,kɐˈbelu,ka.ˈbɛ.lu,kɐ.ˈbe.lu,lu,lu,3,3,6,6,3,3,0,Equal,0,Equal
