Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,TargetOrthography,Translation,SourceWword Length,TargetWord Length,SourceWordSyl Length, TargetWordSyl Length,Word difference,word bigger,Syl difference ,Syl bigger
Fa d’Ambo,ˈlɐ̃jɐ̃,ʀɐ̃ˈiɲɐ,ˈlɐ̃j.ɐ̃,ʀɐ.ˈi.ɲɐ,rainha,queen,6,6,2,3,0,Equal,-1,Target
Fa d’Ambo,sapaˈtelu,sɐpɐˈtɐjɾu,sa.pa.ˈte.lu,sɐ.pɐ.ˈtɐj.ɾu,sapateiro,shoemaker,8,9,4,4,-1,Target,0,Equal
Fa d’Ambo,sɔ:ˈdad̠ʒi,sɔɫˈdadu,sɔ:.ˈda.d̠ʒi,sɔɫ.ˈda.du,soldado,soldier,7,7,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈmɐ̃i,ˈmɐ̃j̃,ˈmɐ̃i,ˈmɐ̃j̃,mãe,mother,4,4,1,1,0,Equal,0,Equal
Fa d’Ambo,ˈmɛ:du,mɐˈɾidu,ˈmɛ:.du,mɐ.ˈɾi.du,marido,husband,5,6,2,3,-1,Target,-1,Target
Fa d’Ambo,ˈvjuva,viˈuvɐ,ˈvju.va,vi.ˈu.vɐ,viúva,widow,5,5,2,3,0,Equal,-1,Target
Fa d’Ambo,ˈeli,ˈelɨ,ˈe.li,ˈe.lɨ,ele,he,3,3,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈku,kõ,ˈku,kõ,com,with,2,2,1,1,0,Equal,0,Equal
Fa d’Ambo,ˈkoma,ˈkomu,ˈko.ma,ˈko.mu,como,as,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈmɔ̃t̠ʃi,ˈmõtɨ,ˈmɔ̃.t̠ʃi,ˈmõ.tɨ,monte,much,5,4,2,2,1,Source,0,Equal
Fa d’Ambo,ˈmuĩtu,ˈmuĩtu,ˈmu.ĩ.tu,ˈmu.ĩ.tu,muito,much,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈnada,ˈnadɐ,ˈna.da,ˈna.dɐ,nada,nothing,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈnõ,ˈnɔʃ,ˈnõ,ˈnɔʃ,nós,we,2,3,1,1,-1,Target,0,Equal
Fa d’Ambo,ˈpɔke,ˈpuɾkɨ,ˈpɔ.ke,ˈpuɾ.kɨ,porque,because,4,5,2,2,-1,Target,0,Equal
Fa d’Ambo,ˈsɛ̃pɛlɛ,ˈsẽpɾɨ,ˈsɛ̃.pɛ.lɛ,ˈsẽ.pɾɨ,sempre,always,7,6,3,2,1,Source,1,Source
Fa d’Ambo,ˈsũ,sɨˈɲoɾ,ˈsũ,sɨ.ˈɲoɾ,senhor,lord,3,5,1,2,-2,Target,-1,Target
Fa d’Ambo,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,tudo,everything,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,bebeˈdo,bɨbɨˈdoɾ,be.be.ˈdo,bɨ.bɨ.ˈdoɾ,"bêbado (""bebebdor"")",drunk,6,7,3,3,-1,Target,0,Equal
Fa d’Ambo,ˈbobo,ˈbobu,ˈbo.bo,ˈbo.bu,bobo,,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,biˈnitu,buˈnitu,bi.ˈni.tu,bu.ˈni.tu,bonito,handsome,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈde:tu,diˈɾɐjtu,ˈde:.tu,di.ˈɾɐj.tu,direito,straight,5,7,2,3,-2,Target,-1,Target
Fa d’Ambo,ˈdodo,ˈdojdu,ˈdo.do,ˈdoj.du,doido,crazy,4,5,2,2,-1,Target,0,Equal
Fa d’Ambo,ˈfeju,ˈfɐju,ˈfe.ju,ˈfɐj.u,feio,ugly,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈfa:ku,ˈfɾaku,ˈfa:.ku,ˈfɾa.ku,fraco,weak,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈfɛsku,ˈfɾeʃku,ˈfɛs.ku,ˈfɾeʃ.ku,fresco,fresh,5,6,2,2,-1,Target,0,Equal
Fa d’Ambo,ˈfɔt̠ʃi,ˈfɔɾtɨ,ˈfɔ.t̠ʃi,ˈfɔɾ.tɨ,forte,strong,4,5,2,2,-1,Target,0,Equal
Fa d’Ambo,ˈfũdu,ˈfũdu,ˈfũ.du,ˈfũ.du,fundo,bottom,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈgagi,ˈgagu,ˈga.gi,ˈga.gu,gago,stutterer,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈgo:do,ˈɡoɾdu,ˈgo:.do,ˈɡoɾ.du,gordo,fat,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈgwal,iˈgwaɫ,ˈgwal,i.ˈgwaɫ,igual,equal,4,5,1,2,-1,Target,-1,Target
Fa d’Ambo,ku:ˈpadu,kuɫˈpadu,ku:.ˈpa.du,kuɫ.ˈpa.du,culpado,guilty,7,7,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈku:tu,ˈkuɾtu,ˈku:.tu,ˈkuɾ.tu,curto,short,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,kuˈlu,ˈkɾu,ku.ˈlu,ˈkɾu,cru,raw,4,3,2,1,1,Source,1,Source
Fa d’Ambo,ˈkulu,ɨʃˈkuɾu,ˈku.lu,ɨʃ.ˈku.ɾu,escuro,dark,4,6,2,3,-2,Target,-1,Target
Fa d’Ambo,ˈlĩpu,ˈlĩpu,ˈlĩ.pu,ˈlĩ.pu,limpo,clean,5,4,2,2,1,Source,0,Equal
Fa d’Ambo,ˈmũgulu,ˈmagɾu,ˈmũ.gu.lu,ˈma.gɾu,magro,thin,7,5,3,2,2,Source,1,Source
Fa d’Ambo,ˈma:su,ˈmɐ̃su,ˈma:.su,ˈmɐ̃.su,manso,meek,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈmɔlɛ,ˈmɔlɨ,ˈmɔ.lɛ,ˈmɔ.lɨ,mole,soft,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈmol,ˈmowɾu,ˈmol,ˈmow.ɾu,mouro,moorish,3,5,1,2,-2,Target,-1,Target
