Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,Process,TargetOrthography,Translation,References,Notes
Principense,ˈlete,CVCV,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,ˈle,ˈlɐj,1,1,,leite,milk,Bandeira2017[366-412],
Principense,ˈlete,CVCV,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,te,tɨ,2,2,,leite,milk,Bandeira2017[366-412],
Principense,ma'mɐ̃,CV'CV,mɐˈmɐ̃w̃,mɐ.ˈmɐ̃,mɐ.ˈmɐ̃w̃,ma,mɐ,1,1,,mamão,papaya,Bandeira2017[366-412],
Principense,mɐˈmɐ̃,CV'CV,mɐˈmɐ̃w̃,mɐ.ˈmɐ̃,mɐ.ˈmɐ̃w̃,ˈmɐ̃,ˈmɐ̃w̃,2,2,,mamão,papaya,Bandeira2017[366-412],
Principense,mɐ̃ˈdjɔkɔ,CV'CGVCV,mɐdiˈɔkɐ,mɐ̃.'djɔ.kɔ,mɐ.di.ˈɔ.kɐ,mɐ̃,mɐ,1,1,assimilation,mandioca,manjoka,Bandeira2017[366-412],
Principense,mɐ̃ˈdjɔkɔ,CV'CGVCV,mɐdiˈɔkɐ,mɐ̃.'djɔ.kɔ,mɐ.di.ˈɔ.kɐ,ˈdjɔ,di,2,2,metathesis,mandioca,manjoka,Bandeira2017[366-412],
Principense,mɐ̃ˈdjɔkɔ,CV'CGVCV,mɐdiˈɔkɐ,mɐ̃.'djɔ.kɔ,mɐ.di.ˈɔ.kɐ,-,ˈɔ,-,3,,mandioca,manjoka,Bandeira2017[366-412],
Principense,mɐ̃ˈdjɔkɔ,CV'CGVCV,mɐdiˈɔkɐ,mɐ̃.'djɔ.kɔ,mɐ.di.ˈɔ.kɐ,kɔ,kɐ,3,4,,mandioca,manjoka,Bandeira2017[366-412],
Principense,mɐ̃ˈsɐ̃,CV'CV,mɐˈsɐ̃,mɐ̃.'sɐ̃,mɐ̃.'sɐ̃,mɐ̃,mɐ̃,1,1,assimilation,maçã,apple,Bandeira2017[366-412],
Principense,mɐ̃ˈsɐ̃,CV'CV,mɐˈsɐ̃,mɐ̃.'sɐ̃,mɐ̃.'sɐ̃,ˈsɐ̃,ˈsɐ̃,2,2,,maçã,apple,Bandeira2017[366-412],
