Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Cape Verdean Sao Vicente,sgeɾa,sɨɡuˈɾaɾ,s.ge.ɾa,sɨ.ɡu.ˈɾaɾ,s,sɨ,3,3,1,1,Initial,Initial,0,ge,0,ɡu,,segurar,hold,Baptista2019[271-277],
Cape Verdean Sao Vicente,sgeɾa,sɨɡuˈɾaɾ,s.ge.ɾa,sɨ.ɡu.ˈɾaɾ,ge,ɡu,3,3,2,2,Medial,Medial,s,ɾa,sɨ,ˈɾaɾ,,segurar,hold,Baptista2019[271-277],
Cape Verdean Sao Vicente,sgeɾa,sɨɡuˈɾaɾ,s.ge.ɾa,sɨ.ɡu.ˈɾaɾ,ɾa,ˈɾaɾ,3,3,3,3,Final,Final,ge,3,ɡu,3,,segurar,hold,Baptista2019[271-277],
Cape Verdean Sao Vicente,mod,ˈmɔdu,mo.d,ˈmɔ.du,mo,ˈmɔ,2,2,1,1,Initial,Initial,0,d,0,du,,modo,how,Baptista2019[271-277],
Cape Verdean Sao Vicente,mod,ˈmɔdu,mo.d,ˈmɔ.du,d,du,2,2,2,2,Final,Final,mo,2,ˈmɔ,2,,modo,how,Baptista2019[271-277],
Cape Verdean Sao Vicente,kimaneɾa,kɨmɐˈnejɾɐ,ki.ma.ne.ɾa,kɨ.mɐ.ˈnej.ɾɐ,ki,kɨ,4,4,1,1,Initial,Initial,0,ma,0,mɐ,,que maneira,how,Baptista2019[271-277],
Cape Verdean Sao Vicente,kimaneɾa,kɨmɐˈnejɾɐ,ki.ma.ne.ɾa,kɨ.mɐ.ˈnej.ɾɐ,ma,mɐ,4,4,2,2,Medial,Medial,ki,ne,kɨ,ˈnej,,que maneira,how,Baptista2019[271-277],
Cape Verdean Sao Vicente,kimaneɾa,kɨmɐˈnejɾɐ,ki.ma.ne.ɾa,kɨ.mɐ.ˈnej.ɾɐ,ne,ˈnej,4,4,3,3,Medial,Medial,ma,ɾa,mɐ,ɾɐ,,que maneira,how,Baptista2019[271-277],
Cape Verdean Sao Vicente,kimaneɾa,kɨmɐˈnejɾɐ,ki.ma.ne.ɾa,kɨ.mɐ.ˈnej.ɾɐ,ɾa,ɾɐ,4,4,4,4,Final,Final,ne,4,ˈnej,4,,que maneira,how,Baptista2019[271-277],
Cape Verdean Sao Vicente,kasa,kɐˈsaɾ,ka.sa,kɐ.ˈsaɾ,ka,kɐ,2,2,1,1,Initial,Initial,0,sa,0,ˈsaɾ,,caçar,hunt,Baptista2019[271-277],
Cape Verdean Sao Vicente,kasa,kɐˈsaɾ,ka.sa,kɐ.ˈsaɾ,sa,ˈsaɾ,2,2,2,2,Final,Final,ka,2,kɐ,2,,caçar,hunt,Baptista2019[271-277],
Cape Verdean Sao Vicente,pega,pɨˈɡaɾ,pe.ga,pɨ.ˈɡaɾ,pe,pɨ,2,2,1,1,Initial,Initial,0,ga,0,ˈɡaɾ,,pegar,hunt,Baptista2019[271-277],
Cape Verdean Sao Vicente,pega,pɨˈɡaɾ,pe.ga,pɨ.ˈɡaɾ,ga,ˈɡaɾ,2,2,2,2,Final,Final,pe,2,pɨ,2,,pegar,hunt,Baptista2019[271-277],
Cape Verdean Sao Vicente,meɾid,mɐˈɾidu,me.ɾi.d,mɐ.ˈɾi.du,me,mɐ,3,3,1,1,Initial,Initial,0,ɾi,0,ˈɾi,,marido,husband,Baptista2019[271-277],
Cape Verdean Sao Vicente,meɾid,mɐˈɾidu,me.ɾi.d,mɐ.ˈɾi.du,ɾi,ˈɾi,3,3,2,2,Medial,Medial,me,d,mɐ,du,,marido,husband,Baptista2019[271-277],
Cape Verdean Sao Vicente,meɾid,mɐˈɾidu,me.ɾi.d,mɐ.ˈɾi.du,d,du,3,3,3,3,Final,Final,ɾi,3,ˈɾi,3,,marido,husband,Baptista2019[271-277],
Cape Verdean Sao Vicente,kunpaɲeɾ,kõpɐˈɲejɾu,kun.pa.ɲeɾ,kõ.pɐ.ˈɲej.ɾu,kun,kõ,3,4,1,1,Initial,Initial,0,pa,0,pɐ,,companheiro,husband,Baptista2019[271-277],
Cape Verdean Sao Vicente,kunpaɲeɾ,kõpɐˈɲejɾu,kun.pa.ɲeɾ,kõ.pɐ.ˈɲej.ɾu,pa,pɐ,3,4,2,2,Medial,Medial,kun,ɲeɾ,kõ,ˈɲej,,companheiro,husband,Baptista2019[271-277],
Cape Verdean Sao Vicente,kunpaɲeɾ,kõpɐˈɲejɾu,kun.pa.ɲeɾ,kõ.pɐ.ˈɲej.ɾu,ɲeɾ,ˈɲej,3,4,3,3,Final,Medial,pa,-,pɐ,ɾu,,companheiro,husband,Baptista2019[271-277],
