Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Cape Verdean Sao Vicente,peskos,pɨʃˈkosu,pes.kos,pɨʃ.ˈko.su,-,su,2,3,-,3,-,Final,kos,-,ˈko,3,metathesis,pescoço,neck,Baptista2019[271-277],
Cape Verdean Sao Vicente,nov,ˈnovu,nov,ˈno.vu,nov,ˈno,1,2,1,1,Final,Initial,0,-,0,vu,,novo,new,Baptista2019[271-277],
Cape Verdean Sao Vicente,nov,ˈnovu,nov,ˈno.vu,-,vu,1,2,-,2,-,Final,nov,-,ˈno,2,,novo,new,Baptista2019[271-277],
Cape Verdean Sao Vicente,dnot,ˈdɨ 'nojtɨ,d.not,ˈdɨ 'noj.tɨ,d,ˈdɨ,2,2,1,1,Initial,Initial,0,not,0,noj,,de noite,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,dnot,ˈdɨ 'nojtɨ,d.not,ˈdɨ 'noj.tɨ,not,noj,2,2,2,2,Final,Final,d,-,ˈdɨ,tɨ,,de noite,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,dnot,ˈdɨ 'nojtɨ,d.not,ˈdɨ 'noj.tɨ,-,tɨ,2,2,-,3,-,Medial,not,-,noj,3,,de noite,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,skuɾ,iʃˈkuɾu,skuɾ,iʃ.ˈku.ɾu,skuɾ,iʃ,1,3,1,1,Final,Initial,0,-,0,ˈku,,escuro,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,skuɾ,iʃˈkuɾu,skuɾ,iʃ.ˈku.ɾu,-,ˈku,1,3,-,2,-,Medial,skuɾ,-,iʃ,ɾu,,escuro,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,skuɾ,iʃˈkuɾu,skuɾ,iʃ.ˈku.ɾu,-,ɾu,1,3,-,3,-,Final,-,-,ˈku,3,,escuro,night,Baptista2019[271-277],
Cape Verdean Sao Vicente,neɾis,nɐˈɾiʃ,ne.ɾis,nɐ.ˈɾiʃ,ne,nɐ,2,2,1,1,Initial,Initial,0,ɾis,0,ˈɾiʃ,,nariz,nose,Baptista2019[271-277],
Cape Verdean Sao Vicente,neɾis,nɐˈɾiʃ,ne.ɾis,nɐ.ˈɾiʃ,ɾis,ˈɾiʃ,2,2,2,2,Final,Final,ne,2,nɐ,2,,nariz,nose,Baptista2019[271-277],
Cape Verdean Sao Vicente,no,ˈnɐ̃w̃,no,ˈnɐ̃w̃,no,ˈnɐ̃w̃,1,1,1,1,Final,Final,0,1,0,1,,não,no,Baptista2019[271-277],
Cape Verdean Sao Vicente,bed̠ʒ,ˈveʎu,be.d̠ʒ,ˈve.ʎu,be,ˈve,2,2,1,1,Initial,Initial,0,d̠ʒ,0,ʎu,,velho,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,bed̠ʒ,ˈveʎu,be.d̠ʒ,ˈve.ʎu,d̠ʒ,ʎu,2,2,2,2,Final,Final,be,2,ˈve,2,dissimilation,velho,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,uzɔd,uˈzadu,u.zɔ.d,u.ˈza.du,u,u,3,3,1,1,Initial,Initial,0,zɔ,0,ˈza,,usado,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,uzɔd,uˈzadu,u.zɔ.d,u.ˈza.du,zɔ,ˈza,3,3,2,2,Medial,Medial,u,d,u,du,,usado,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,uzɔd,uˈzadu,u.zɔ.d,u.ˈza.du,d,du,3,3,3,3,Final,Final,zɔ,3,ˈza,3,metathesis,usado,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,antig,ɐ̃ˈtiɡu,an.tig,ɐ̃.ˈti.ɡu,-,ɐ̃,2,3,-,1,-,Initial,0,an,0,ˈti,,antigo,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,antig,ɐ̃ˈtiɡu,an.tig,ɐ̃.ˈti.ɡu,an,ˈti,2,3,1,2,Initial,Medial,-,tig,ɐ̃,ɡu,,antigo,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,antig,ɐ̃ˈtiɡu,an.tig,ɐ̃.ˈti.ɡu,tig,ɡu,2,3,2,3,Final,Final,an,2,ˈti,3,assimilation,antigo,old,Baptista2019[271-277],
Cape Verdean Sao Vicente,un,ũ,un,ũ,un,ũ,1,1,1,1,Final,Final,0,1,0,1,assimilation,um,one,Baptista2019[271-277],
Cape Verdean Sao Vicente,ot,ˈowtɾu,ot,ˈow.tɾu,ot,ˈow,1,2,1,1,Final,Initial,0,-,0,tɾu,,outro,other,Baptista2019[271-277],
Cape Verdean Sao Vicente,ot,ˈowtɾu,ot,ˈow.tɾu,-,tɾu,1,2,-,2,-,Final,ot,-,ˈow,2,,outro,other,Baptista2019[271-277],
Cape Verdean Sao Vicente,psoa,pɨˈsoɐ,p.so.a,pɨ.ˈso.ɐ,p,pɨ,3,3,1,1,Initial,Initial,0,so,0,ˈso,,pessoa,person,Baptista2019[271-277],
Cape Verdean Sao Vicente,psoa,pɨˈsoɐ,p.so.a,pɨ.ˈso.ɐ,so,ˈso,3,3,2,2,Medial,Medial,p,a,pɨ,ɐ,,pessoa,person,Baptista2019[271-277],
Cape Verdean Sao Vicente,psoa,pɨˈsoɐ,p.so.a,pɨ.ˈso.ɐ,a,ɐ,3,3,3,3,Final,Final,so,3,ˈso,3,metathesis,pessoa,person,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʒga,ʒuˈgaɾ,ʒ.ga,ʒu.ˈgaɾ,ʒ,ʒu,2,2,1,1,Initial,Initial,0,ga,0,ˈgaɾ,,jogar,play,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʒga,ʒuˈgaɾ,ʒ.ga,ʒu.ˈgaɾ,ga,ˈgaɾ,2,2,2,2,Final,Final,ʒ,2,ʒu,2,metathesis,jogar,play,Baptista2019[271-277],
Cape Verdean Sao Vicente,pʃa,puˈʃaɾ,pʃa,pu.ˈʃaɾ,pʃa,pu,1,2,1,1,Final,Initial,0,-,0,ˈʃaɾ,,puxar,pull,Baptista2019[271-277],
Cape Verdean Sao Vicente,pʃa,puˈʃaɾ,pʃa,pu.ˈʃaɾ,-,ˈʃaɾ,1,2,-,2,-,Final,pʃa,-,pu,2,metathesis,puxar,pull,Baptista2019[271-277],
Cape Verdean Sao Vicente,pint̠ʃa,pĩˈʃaɾ,pin.t̠ʃa,pĩ.ˈʃaɾ,pin,pĩ,2,2,1,1,Initial,Initial,0,t̠ʃa,0,ˈʃaɾ,,pinchar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,pint̠ʃa,pĩˈʃaɾ,pin.t̠ʃa,pĩ.ˈʃaɾ,t̠ʃa,ˈʃaɾ,2,2,2,2,Final,Final,pin,2,pĩ,2,assimilation,pinchar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,inpuɾa,ẽpuˈʀaɾ,in.pu.ɾa,ẽ.pu.ˈʀaɾ,in,ẽ,3,3,1,1,Initial,Initial,0,pu,0,pu,,empurrar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,inpuɾa,ẽpuˈʀaɾ,in.pu.ɾa,ẽ.pu.ˈʀaɾ,pu,pu,3,3,2,2,Medial,Medial,in,ɾa,ẽ,ˈʀaɾ,,empurrar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,inpuɾa,ẽpuˈʀaɾ,in.pu.ɾa,ẽ.pu.ˈʀaɾ,ɾa,ˈʀaɾ,3,3,3,3,Final,Final,pu,3,pu,3,assimilation,empurrar,push,Baptista2019[271-277],
Cape Verdean Sao Vicente,dat̠ʃuva,ʃuˈveɾ,da.t̠ʃu.va,ʃu.ˈveɾ,da,-,3,2,1,-,Initial,-,0,t̠ʃu,0,ʃu,,chover,rain,Baptista2019[271-277],
Cape Verdean Sao Vicente,dat̠ʃuva,ʃuˈveɾ,da.t̠ʃu.va,ʃu.ˈveɾ,t̠ʃu,ʃu,3,2,2,1,Medial,Initial,da,va,-,ˈveɾ,,chover,rain,Baptista2019[271-277],
Cape Verdean Sao Vicente,dat̠ʃuva,ʃuˈveɾ,da.t̠ʃu.va,ʃu.ˈveɾ,va,ˈveɾ,3,2,3,2,Final,Final,t̠ʃu,3,ʃu,2,,chover,rain,Baptista2019[271-277],
Cape Verdean Sao Vicente,bɾumed̠ʒ,vɨɾˈmɐjʎu,bɾu.me.d̠ʒ,Vɨɾ.ˈmɐj.ʎu,bɾu,Vɨɾ,3,3,1,1,Initial,Initial,0,me,0,ˈmɐj,,vermelho,red,Baptista2019[271-277],
Cape Verdean Sao Vicente,bɾumed̠ʒ,vɨɾˈmɐjʎu,bɾu.me.d̠ʒ,Vɨɾ.ˈmɐj.ʎu,me,ˈmɐj,3,3,2,2,Medial,Medial,bɾu,d̠ʒ,Vɨɾ,ʎu,,vermelho,red,Baptista2019[271-277],
Cape Verdean Sao Vicente,bɾumed̠ʒ,vɨɾˈmɐjʎu,bɾu.me.d̠ʒ,Vɨɾ.ˈmɐj.ʎu,d̠ʒ,ʎu,3,3,3,3,Final,Final,me,3,ˈmɐj,3,dissimilation,vermelho,red,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾet,diˈɾɐjtu,dɾe.t,di.ˈɾɐj.tu,dɾe,di,2,3,1,1,Initial,Initial,0,-,0,ˈɾɐj,,direito,right,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾet,diˈɾɐjtu,dɾe.t,di.ˈɾɐj.tu,-,ˈɾɐj,2,3,-,2,-,Medial,dɾe,t,di,tu,,direito,right,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾet,diˈɾɐjtu,dɾe.t,di.ˈɾɐj.tu,t,tu,2,3,2,3,Final,Final,-,2,ˈɾɐj,3,,direito,right,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾeita,diˈɾɐjtɐ,dɾej.ta,di.ˈɾɐj.tɐ,-,di,2,3,-,1,-,Initial,0,dɾej,0,ˈɾɐj,,direita,right hand,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾeita,diˈɾɐjtɐ,dɾej.ta,di.ˈɾɐj.tɐ,dɾej,ˈɾɐj,2,3,1,2,Initial,Medial,-,ta,di,tɐ,,direita,right hand,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾeita,diˈɾɐjtɐ,dɾej.ta,di.ˈɾɐj.tɐ,ta,tɐ,2,3,2,3,Final,Final,dɾej,2,ˈɾɐj,3,metathesis,direita,right hand,Baptista2019[271-277],
Cape Verdean Sao Vicente,ɾiu,ˈʀiu,ɾiu,ˈʀiu,ɾiu,ˈʀiu,1,1,1,1,Final,Final,0,1,0,1,,rio,river,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾada,iʃˈtɾadɐ,stɾa.da,iʃ.ˈtɾa.dɐ,-,iʃ,2,3,-,1,-,Initial,0,stɾa,0,ˈtɾa,,estrada,road,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾada,iʃˈtɾadɐ,stɾa.da,iʃ.ˈtɾa.dɐ,stɾa,ˈtɾa,2,3,1,2,Initial,Medial,-,da,iʃ,dɐ,,estrada,road,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾada,iʃˈtɾadɐ,stɾa.da,iʃ.ˈtɾa.dɐ,da,dɐ,2,3,2,3,Final,Final,stɾa,2,ˈtɾa,3,metathesis,estrada,road,Baptista2019[271-277],
Cape Verdean Sao Vicente,ɾeis,ʀɐˈiʃ,ɾe.is,ʀɐ.ˈiʃ,ɾe,ʀɐ,2,2,1,1,Initial,Initial,0,is,0,ˈiʃ,,raiz,root,Baptista2019[271-277],
Cape Verdean Sao Vicente,ɾeis,ʀɐˈiʃ,ɾe.is,ʀɐ.ˈiʃ,is,ˈiʃ,2,2,2,2,Final,Final,ɾe,2,ʀɐ,2,,raiz,root,Baptista2019[271-277],
Cape Verdean Sao Vicente,kɔɾda,ˈkɔɾdɐ,kɔɾ.da,ˈkɔɾ.dɐ,kɔɾ,ˈkɔɾ,2,2,1,1,Initial,Initial,0,da,0,dɐ,,corda,rope,Baptista2019[271-277],
Cape Verdean Sao Vicente,kɔɾda,ˈkɔɾdɐ,kɔɾ.da,ˈkɔɾ.dɐ,da,dɐ,2,2,2,2,Final,Final,kɔɾ,2,ˈkɔɾ,2,,corda,rope,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾagɔd,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,s,ʃ,4,4,1,1,Initial,Initial,0,tɾa,0,tɾɐ,,estragado,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾagɔd,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,tɾa,tɾɐ,4,4,2,2,Medial,Medial,s,gɔ,ʃ,ˈga,,estragado,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾagɔd,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,gɔ,ˈga,4,4,3,3,Medial,Medial,tɾa,d,tɾɐ,du,,estragado,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾagɔd,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,d,du,4,4,4,4,Final,Final,gɔ,4,ˈga,4,metathesis,estragado,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,podɾ,ˈpodɾɨ,po.dɾ,ˈpo.dɾɨ,po,ˈpo,2,2,1,1,Initial,Initial,0,dɾ,0,dɾɨ,,podre,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,podɾ,ˈpodɾɨ,po.dɾ,ˈpo.dɾɨ,dɾ,dɾɨ,2,2,2,2,Final,Final,po,2,ˈpo,2,,podre,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,sfɾega,iʃfɾɨˈɡaɾ,s.fɾe.ga,iʃ.fɾɨ.ˈɡaɾ,s,iʃ,3,3,1,1,Initial,Initial,0,fɾe,0,fɾɨ,,esfregar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,sfɾega,iʃfɾɨˈɡaɾ,s.fɾe.ga,iʃ.fɾɨ.ˈɡaɾ,fɾe,fɾɨ,3,3,2,2,Medial,Medial,s,ga,iʃ,ˈɡaɾ,,esfregar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,sfɾega,iʃfɾɨˈɡaɾ,s.fɾe.ga,iʃ.fɾɨ.ˈɡaɾ,ga,ˈɡaɾ,3,3,3,3,Final,Final,fɾe,3,fɾɨ,3,,esfregar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʃuɾia,ẽʃuˈɡaɾ,ʃu.ɾi.a,ẽ.ʃu.ˈɡaɾ,ʃu,ẽ,3,3,1,1,Initial,Initial,0,ɾia,0,ʃu,,enxugar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʃuɾia,ẽʃuˈɡaɾ,ʃu.ɾi.a,ẽ.ʃu.ˈɡaɾ,ɾia,ʃu,3,3,2,2,Medial,Medial,ʃu,a,ẽ,ˈɡaɾ,,enxugar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʃuɾia,ẽʃuˈɡaɾ,ʃu.ɾi.a,ẽ.ʃu.ˈɡaɾ,a,ˈɡaɾ,3,3,3,3,Final,Final,ɾia,3,ʃu,3,,enxugar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,sal,ˈsal,sal,ˈsal,sal,ˈsal,1,1,1,1,Final,Final,0,1,0,1,,sal,salt,Baptista2019[271-277],
Cape Verdean Sao Vicente,aɾea,ɐˈɾɐjɐ,a.ɾe.a,ɐ.ˈɾɐj.ɐ,a,ɐ,3,3,1,1,Initial,Initial,0,ɾe,0,ˈɾɐj,,areia,sand,Baptista2019[271-277],
Cape Verdean Sao Vicente,aɾea,ɐˈɾɐjɐ,a.ɾe.a,ɐ.ˈɾɐj.ɐ,ɾe,ˈɾɐj,3,3,2,2,Medial,Medial,a,a,ɐ,ɐ,,areia,sand,Baptista2019[271-277],
Cape Verdean Sao Vicente,aɾea,ɐˈɾɐjɐ,a.ɾe.a,ɐ.ˈɾɐj.ɐ,a,ɐ,3,3,3,3,Final,Final,ɾe,3,ˈɾɐj,3,,areia,sand,Baptista2019[271-277],
Cape Verdean Sao Vicente,dze,diˈzeɾ,dze,di.ˈzeɾ,dze,di,1,2,1,1,Final,Initial,0,-,0,ˈzeɾ,metathesis,dizer,say,Baptista2019[271-277],
Cape Verdean Sao Vicente,dze,diˈzeɾ,dze,di.ˈzeɾ,-,ˈzeɾ,1,2,-,2,-,Final,dze,-,di,2,metathesis,dizer,say,Baptista2019[271-277],
Cape Verdean Sao Vicente,kosa,kuˈsaɾ,ko.sa,ku.ˈsaɾ,ko,ku,2,2,1,1,Initial,Initial,0,sa,0,ˈsaɾ,,coçar,scratch,Baptista2019[271-277],
Cape Verdean Sao Vicente,kosa,kuˈsaɾ,ko.sa,ku.ˈsaɾ,sa,ˈsaɾ,2,2,2,2,Final,Final,ko,2,ku,2,,coçar,scratch,Baptista2019[271-277],
Cape Verdean Sao Vicente,maɾ,ˈmaɾ,maɾ,ˈmaɾ,maɾ,ˈmaɾ,1,1,1,1,Final,Final,0,1,0,1,,mar,sea,Baptista2019[271-277],
Cape Verdean Sao Vicente,oja,ɔˈʎaɾ,oj.a,ɔ.ˈʎaɾ,o,ɔ,2,2,1,1,Initial,Initial,0,ja,0,ˈʎaɾ,,olhar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,oja,ɔˈʎaɾ,oj.a,ɔ.ˈʎaɾ,ja,ˈʎaɾ,2,2,2,2,Final,Final,o,2,ɔ,2,,olhar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,spia,iʃˈpiaɾ,s.pi.a,iʃ.ˈpi.aɾ,s,iʃ,3,3,1,1,Initial,Initial,0,pi,0,ˈpi,,espiar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,spia,iʃˈpiaɾ,s.pi.a,iʃ.ˈpi.aɾ,pi,ˈpi,3,3,2,2,Medial,Medial,s,a,iʃ,aɾ,,espiar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,spia,iʃˈpiaɾ,s.pi.a,iʃ.ˈpi.aɾ,a,aɾ,3,3,3,3,Final,Final,pi,3,ˈpi,3,,espiar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,sment,sɨˈmẽtɨ,s.men.t,sɨ.ˈmẽ.tɨ,s,sɨ,3,3,1,1,Initial,Initial,0,men,0,ˈmẽ,,semente,seed,Baptista2019[271-277],
Cape Verdean Sao Vicente,sment,sɨˈmẽtɨ,s.men.t,sɨ.ˈmẽ.tɨ,men,ˈmẽ,3,3,2,2,Medial,Medial,s,t,sɨ,tɨ,,semente,seed,Baptista2019[271-277],
Cape Verdean Sao Vicente,sment,sɨˈmẽtɨ,s.men.t,sɨ.ˈmẽ.tɨ,t,tɨ,3,3,3,3,Final,Final,men,3,ˈmẽ,3,assimilation,semente,seed,Baptista2019[271-277],
Cape Verdean Sao Vicente,kozɛ,kuˈzeɾ,ko.zɛ,ku.ˈzeɾ,ko,ku,2,2,1,1,Initial,Initial,0,zɛ,0,ˈzeɾ,metathesis,cozer,sew / cook,Baptista2019[271-277],
Cape Verdean Sao Vicente,kozɛ,kuˈzeɾ,ko.zɛ,ku.ˈzeɾ,zɛ,ˈzeɾ,2,2,2,2,Final,Final,ko,2,ku,2,,cozer,sew / cook,Baptista2019[271-277],
Cape Verdean Sao Vicente,molɔd,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,-,ɐ,3,4,-,1,-,Initial,0,mol,0,mu,,amolado,sharp,Baptista2019[271-277],
Cape Verdean Sao Vicente,molɔd,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,mol,mu,3,4,1,2,Initial,Medial,-,ɔ,ɐ,ˈɫa,,amolado,sharp,Baptista2019[271-277],
Cape Verdean Sao Vicente,molɔd,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,ɔ,ˈɫa,3,4,2,3,Medial,Medial,mol,d,mu,du,,amolado,sharp,Baptista2019[271-277],
Cape Verdean Sao Vicente,molɔd,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,d,du,3,4,3,4,Final,Final,ɔ,3,ˈɫa,4,,amolado,sharp,Baptista2019[271-277],
Cape Verdean Sao Vicente,piknin,pɨkɨˈninu,pik.nin,pɨ.kɨ.ˈni.nu,pik,pɨ,2,4,1,1,Initial,Initial,0,-,0,kɨ,,pequenote,short,Baptista2019[271-277],
Cape Verdean Sao Vicente,piknin,pɨkɨˈninu,pik.nin,pɨ.kɨ.ˈni.nu,-,kɨ,2,4,-,2,-,Medial,pik,nin,pɨ,ˈni,,pequenino,short,Baptista2019[271-277],
Cape Verdean Sao Vicente,piknin,pɨkɨˈninu,pik.nin,pɨ.kɨ.ˈni.nu,nin,ˈni,2,4,2,3,Final,Medial,-,-,kɨ,nu,,pequenino,short,Baptista2019[271-277],
Cape Verdean Sao Vicente,piknin,pɨkɨˈninu,pik.nin,pɨ.kɨ.ˈni.nu,-,nu,2,4,-,4,-,Final,nin,-,ˈni,4,,pequenino,short,Baptista2019[271-277],
Cape Verdean Sao Vicente,kuɾt,ˈkuɾtu,kuɾ.t,ˈkuɾ.tu,kuɾ,ˈkuɾ,2,2,1,1,Initial,Initial,0,t,0,tu,,curto,short,Baptista2019[271-277],
Cape Verdean Sao Vicente,kuɾt,ˈkuɾtu,kuɾ.t,ˈkuɾ.tu,t,tu,2,2,2,2,Final,Final,kuɾ,2,ˈkuɾ,2,,curto,short,Baptista2019[271-277],
Cape Verdean Sao Vicente,kanta,kɐ̃ˈtaɾ,kan.ta,kɐ̃.ˈtaɾ,kan,kɐ̃,2,2,1,1,Initial,Initial,0,ta,0,ˈtaɾ,,cantar,sing,Baptista2019[271-277],
Cape Verdean Sao Vicente,kanta,kɐ̃ˈtaɾ,kan.ta,kɐ̃.ˈtaɾ,ta,ˈtaɾ,2,2,2,2,Final,Final,kan,2,kɐ̃,2,assimilation,cantar,sing,Baptista2019[271-277],
Cape Verdean Sao Vicente,senta,sẽˈtaɾ,sen.ta,sẽ.ˈtaɾ,sen,sẽ,2,2,1,1,Initial,Initial,0,ta,0,ˈtaɾ,,sentar,sit,Baptista2019[271-277],
Cape Verdean Sao Vicente,senta,sẽˈtaɾ,sen.ta,sẽ.ˈtaɾ,ta,ˈtaɾ,2,2,2,2,Final,Final,sen,2,sẽ,2,assimilation,sentar,sit,Baptista2019[271-277],
Cape Verdean Sao Vicente,pel,ˈpɛlɨ,pel,ˈpɛ.lɨ,pel,ˈpɛ,1,2,1,1,Final,Initial,0,-,0,lɨ,,pele,skin,Baptista2019[271-277],
Cape Verdean Sao Vicente,pel,ˈpɛlɨ,pel,ˈpɛ.lɨ,-,lɨ,1,2,-,2,-,Final,pel,-,ˈpɛ,2,,pele,skin,Baptista2019[271-277],
Cape Verdean Sao Vicente,sɛu,ˈsɛw,sɛu,ˈsɛw,sɛu,ˈsɛw,1,1,1,1,Final,Final,0,1,0,1,,céu,sky,Baptista2019[271-277],
Cape Verdean Sao Vicente,konʃe,kuɲɨˈseɾ,kon.ʃe,ku.ɲɨ.ˈseɾ,kon,ku,2,3,1,1,Initial,Initial,0,-,0,ɲɨ,,conhecer,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,konʃe,kuɲɨˈseɾ,kon.ʃe,ku.ɲɨ.ˈseɾ,-,ɲɨ,2,3,-,2,-,Medial,kon,ʃe,ku,ˈseɾ,,conhecer,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,konʃe,kuɲɨˈseɾ,kon.ʃe,ku.ɲɨ.ˈseɾ,ʃe,ˈseɾ,2,3,2,3,Final,Final,-,2,ɲɨ,3,,conhecer,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,sabe,sɐˈbeɾ,sa.be,sɐ.ˈbeɾ,sa,sɐ,2,2,1,1,Initial,Initial,0,be,0,ˈbeɾ,,saber,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,sabe,sɐˈbeɾ,sa.be,sɐ.ˈbeɾ,be,ˈbeɾ,2,2,2,2,Final,Final,sa,2,sɐ,2,,saber,know,Baptista2019[271-277],
Cape Verdean Sao Vicente,t̠ʃeɾɛ,ʃɐjˈɾaɾ,t̠ʃe.ɾɛ,ʃɐj.ˈɾaɾ,t̠ʃe,ʃɐj,2,2,1,1,Initial,Initial,0,tɾɛ,0,ˈɾaɾ,,cheirar,smell,Baptista2019[271-277],
Cape Verdean Sao Vicente,t̠ʃeɾɛ,ʃɐjˈɾaɾ,t̠ʃe.ɾɛ,ʃɐj.ˈɾaɾ,tɾɛ,ˈɾaɾ,2,2,2,2,Final,Final,t̠ʃe,2,ʃɐj,2,,cheirar,smell,Baptista2019[271-277],
Cape Verdean Sao Vicente,fma,fuˈmaɾ,f.ma,fu.ˈmaɾ,f,fu,2,2,1,1,Initial,Initial,0,ma,0,ˈmaɾ,,fumar,smoke,Baptista2019[271-277],
Cape Verdean Sao Vicente,fma,fuˈmaɾ,f.ma,fu.ˈmaɾ,ma,ˈmaɾ,2,2,2,2,Final,Final,f,2,fu,2,,fumar,smoke,Baptista2019[271-277],
Cape Verdean Sao Vicente,lize,ˈlizu,li.ze,ˈli.zu,li,ˈli,2,2,1,1,Initial,Initial,0,ze,0,zu,,liso,smooth,Baptista2019[271-277],
Cape Verdean Sao Vicente,lize,ˈlizu,li.ze,ˈli.zu,ze,zu,2,2,2,2,Final,Final,li,2,ˈli,2,,liso,smooth,Baptista2019[271-277],
Cape Verdean Sao Vicente,fine,ˈfinu,fi.ne,ˈfi.nu,fi,ˈfi,2,2,1,1,Initial,Initial,0,ne,0,nu,,fino,smooth,Baptista2019[271-277],
Cape Verdean Sao Vicente,fine,ˈfinu,fi.ne,ˈfi.nu,ne,nu,2,2,2,2,Final,Final,fi,2,ˈfi,2,,fino,smooth,Baptista2019[271-277],
Cape Verdean Sao Vicente,kobɾa,ˈkɔbɾɐ,ko.bɾa,ˈkɔ.bɾɐ,ko,ˈkɔ,2,2,1,1,Initial,Initial,0,bɾa,0,bɾɐ,,cobra,snake,Baptista2019[271-277],
Cape Verdean Sao Vicente,kobɾa,ˈkɔbɾɐ,ko.bɾa,ˈkɔ.bɾɐ,bɾa,bɾɐ,2,2,2,2,Final,Final,ko,2,ˈkɔ,2,,cobra,snake,Baptista2019[271-277],
Cape Verdean Sao Vicente,nɛve,ˈnɛvɨ,nɛ.ve,ˈnɛ.vɨ,nɛ,ˈnɛ,2,2,1,1,Initial,Initial,0,ve,0,vɨ,,neve,snow,Baptista2019[271-277],
Cape Verdean Sao Vicente,nɛve,ˈnɛvɨ,nɛ.ve,ˈnɛ.vɨ,ve,vɨ,2,2,2,2,Final,Final,nɛ,2,ˈnɛ,2,,neve,snow,Baptista2019[271-277],
Cape Verdean Sao Vicente,elgun,aɫˈgũ,el.gun,aɫ.ˈgũ,el,aɫ,2,2,1,1,Initial,Initial,0,gun,0,ˈgũ,,algum,some,Baptista2019[271-277],
Cape Verdean Sao Vicente,elgun,aɫˈgũ,el.gun,aɫ.ˈgũ,gun,ˈgũ,2,2,2,2,Final,Final,el,2,aɫ,2,assimilation,algum,some,Baptista2019[271-277],
Cape Verdean Sao Vicente,kuspi,kuʃˈpiɾ,kus.pi,kuʃ.ˈpiɾ,kus,kuʃ,2,2,1,1,Initial,Initial,0,pi,0,ˈpiɾ,,cospir,spit,Baptista2019[271-277],
