Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,TargetSyllable,SourceSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,References,Notes
Fa d’Ambo,xaˈna,ˈkɐnɐ,xa.ˈna,ˈkɐ.nɐ,xa,ˈkɐ,1,1,,cana,sugarcane,Bandeira2017[366-412],
Fa d’Ambo,xaˈna,ˈkɐnɐ,xa.ˈna,ˈkɐ.nɐ,ˈna,nɐ,2,2,,cana,sugarcane,Bandeira2017[366-412],
Fa d’Ambo,ˈxa:ni,ˈkaɾnɨ,ˈxa:.ni,ˈkaɾ.nɨ,ˈxa:,ˈkaɾ,1,1,,carne,meat,Bandeira2017[366-412],
Fa d’Ambo,ˈxa:ni,ˈkaɾnɨ,ˈxa:.ni,ˈkaɾ.nɨ,ni,nɨ,2,2,,carne,meat,Bandeira2017[366-412],
Fa d’Ambo,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,ˈle,ˈlɐj,1,1,,leite,milk,Bandeira2017[366-412],
Fa d’Ambo,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,te,tɨ,2,2,,leite,milk,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈmɐ̃,mɐˈmɐ̃w̃,mɐ̃.ˈmɐ̃,mɐ.ˈmɐ̃w̃,mɐ̃,mɐ,1,1,,mamão,papaya,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈmɐ̃,mɐˈmɐ̃w̃,mɐ̃.ˈmɐ̃,mɐ.ˈmɐ̃w̃,ˈmɐ̃,ˈmɐ̃w̃,2,2,,mamão,papaya,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈd̠ʒoxa,mɐ̃diˈɔkɐ,mɐ̃.ˈd̠ʒo.xa,mɐ̃.di.ˈɔ.kɐ,mɐ̃,mɐ̃,1,1,,mandioca,manjoka,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈd̠ʒoxa,mɐ̃diˈɔkɐ,mɐ̃.ˈd̠ʒo.xa,mɐ̃.di.ˈɔ.kɐ,d̠ʒo,di,2,2,,mandioca,manjoka,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈd̠ʒoxa,mɐ̃diˈɔkɐ,mɐ̃.ˈd̠ʒo.xa,mɐ̃.di.ˈɔ.kɐ,-,ˈɔ,-,3,,mandioca,manjoka,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈd̠ʒoxa,mɐ̃diˈɔkɐ,mɐ̃.ˈd̠ʒo.xa,mɐ̃.di.ˈɔ.kɐ,xa,kɐ,3,4,,mandioca,manjoka,Bandeira2017[366-412],
Fa d’Ambo,ˈmɛlɛ,ˈmɛɫ,ˈmɛ.lɛ,ˈmɛɫ,ˈmɛ,ˈmɛɫ,1,1,,mel,honey,Bandeira2017[366-412],
Fa d’Ambo,ˈmɛlɛ,ˈmɛɫ,ˈmɛ.lɛ,ˈmɛɫ,lɛ,-,2,-,,mel,honey,Bandeira2017[366-412],
Fa d’Ambo,ˈmoj,ˈmoʎu,ˈmoj,ˈmo.ʎu,ˈmoj,ˈmo,1,1,,molho,bunch,Bandeira2017[366-412],
Fa d’Ambo,ˈmoj,ˈmoʎu,ˈmoj,ˈmo.ʎu,-,ʎu,-,2,,molho,bunch,Bandeira2017[366-412],
Fa d’Ambo,ˈna:d̠ʒi,ɐbɐkɐˈʃi,ˈna:.d̠ʒi,ɐ.bɐ.kɐ.ˈʃi,-,ɐ,-,1,,abacaxi,pineapple,Bandeira2017[366-412],
Fa d’Ambo,ˈna:d̠ʒi,ɐbɐkɐˈʃi,ˈna:.d̠ʒi,ɐ.bɐ.kɐ.ˈʃi,-,bɐ,-,2,,abacaxi,pineapple,Bandeira2017[366-412],
Fa d’Ambo,ˈna:d̠ʒi,ɐbɐkɐˈʃi,ˈna:.d̠ʒi,ɐ.bɐ.kɐ.ˈʃi,ˈna:,kɐ,1,3,,abacaxi,pineapple,Bandeira2017[366-412],
Fa d’Ambo,ˈna:d̠ʒi,ɐbɐkɐˈʃi,ˈna:.d̠ʒi,ɐ.bɐ.kɐ.ˈʃi,d̠ʒi,ˈʃi,2,4,,abacaxi,pineapple,Bandeira2017[366-412],
Fa d’Ambo,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,ˈɔ,ˈo,1,1,,ovo,egg,Bandeira2017[366-412],
Fa d’Ambo,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,vu,vu,2,2,,ovo,egg,Bandeira2017[366-412],
Fa d’Ambo,ˈpɐ̃,ˈpɐ̃w̃,ˈpɐ̃,ˈpɐ̃w̃,ˈpɐ̃,ˈpɐ̃w̃,1,1,,pão,bread,Bandeira2017[366-412],
Fa d’Ambo,ˈsalu,ˈsaɫ,ˈsa.lu,ˈsaɫ,ˈsa,ˈsaɫ,1,1,,sal,salt,Bandeira2017[366-412],
Fa d’Ambo,ˈsalu,ˈsaɫ,ˈsa.lu,ˈsaɫ,lu,-,2,-,,sal,salt,Bandeira2017[366-412],
Fa d’Ambo,ˈsukulu,ɐˈsukaɾ,ˈsu.ku.lu,ɐ.ˈsu.kaɾ,-,ɐ,-,1,,açúcar,sugar,Bandeira2017[366-412],
Fa d’Ambo,ˈsukulu,ɐˈsukaɾ,ˈsu.ku.lu,ɐ.ˈsu.kaɾ,ˈsu,ˈsu,1,2,,açúcar,sugar,Bandeira2017[366-412],
Fa d’Ambo,ˈsukulu,ɐˈsukaɾ,ˈsu.ku.lu,ɐ.ˈsu.kaɾ,ku,kaɾ,2,3,,açúcar,sugar,Bandeira2017[366-412],
Fa d’Ambo,ˈsukulu,ɐˈsukaɾ,ˈsu.ku.lu,ɐ.ˈsu.kaɾ,lu,,3,-,,açúcar,sugar,Bandeira2017[366-412],
Fa d’Ambo,ˈtiligu,ˈtɾigu,ˈti.li.gu,ˈtɾi.gu,ˈti,ˈtɾi,1,1,,trigo,wheat,Bandeira2017[366-412],
Fa d’Ambo,ˈtiligu,ˈtɾigu,ˈti.li.gu,ˈtɾi.gu,li,-,2,-,,trigo,wheat,Bandeira2017[366-412],
Fa d’Ambo,ˈtiligu,ˈtɾigu,ˈti.li.gu,ˈtɾi.gu,gu,gu,3,2,,trigo,wheat,Bandeira2017[366-412],
Fa d’Ambo,ˈzete,ɐˈzɐjtɨ,ˈze.te,ɐ.ˈzɐj.tɨ,-,ɐ,-,1,,azeite,olive oil,Bandeira2017[366-412],
Fa d’Ambo,ˈzete,ɐˈzɐjtɨ,ˈze.te,ɐ.ˈzɐj.tɨ,ˈze,ˈzɐj,1,2,,azeite,olive oil,Bandeira2017[366-412],
Fa d’Ambo,ˈzete,ɐˈzɐjtɨ,ˈze.te,ɐ.ˈzɐj.tɨ,te,tɨ,2,3,,azeite,olive oil,Bandeira2017[366-412],
Fa d’Ambo,ˈaza,ˈazɐ,ˈa.za,ˈa.zɐ,ˈa,ˈa,1,1,,asa,wing,Bandeira2017[366-412],
Fa d’Ambo,ˈaza,ˈazɐ,ˈa.za,ˈa.zɐ,za,zɐ,2,2,,asa,wing,Bandeira2017[366-412],
