Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,PreviousSource,NextSource,TargetSyllabe,SourceWordSyl,TargetWordSyl,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthopraphy,Translation,Reference
Sri Lanka Portuguese,ɛ:ɾʋa,ˈɛɾvɐ,ɛ:ɾ.ʋa,ˈɛɾ.vɐ,ɛ:ɾ,0,ʋa,ˈɛɾ,2,2,1,1,Initial,Initial,,erva,grass,Clements2012[37-41]
Sri Lanka Portuguese,ɛ:ɾʋa,ˈɛɾvɐ,ɛ:ɾ.ʋa,ˈɛɾ.vɐ,ʋa,ɛ:ɾ,2,vɐ,2,2,2,2,Final,Final,,erva,grass,Clements2012[37-41]
Sri Lanka Portuguese,ʋe:ɾdi,ˈveɾdɨ,ʋe:ɾ.di,ˈveɾ.dɨ,ʋe:ɾ,0,di,ˈveɾ,2,2,1,1,Initial,Initial,,verde,green,Clements2012[37-41]
Sri Lanka Portuguese,ʋe:ɾdi,ˈveɾdɨ,ʋe:ɾ.di,ˈveɾ.dɨ,di,ʋe:ɾ,2,dɨ,2,2,2,2,Final,Final,,verde,green,Clements2012[37-41]
Sri Lanka Portuguese,tɾi:pa,ˈtɾipɐ,tɾi:.pa,ˈtɾi.pɐ,tɾi:,0,pa,ˈtɾi,2,2,1,1,Initial,Initial,,tripa,guts,Clements2012[37-41]
Sri Lanka Portuguese,tɾi:pa,ˈtɾipɐ,tɾi:.pa,ˈtɾi.pɐ,pa,tɾi:,2,pɐ,2,2,2,2,Final,Final,,tripa,guts,Clements2012[37-41]
Sri Lanka Portuguese,kabe:l,kɐˈbelu,ka.be:l,kɐ.ˈbe.lu,ka,0,-,kɐ,2,3,1,1,Initial,Initial,,cabelo,hair,Clements2012[37-41]
Sri Lanka Portuguese,kabe:l,kɐˈbelu,ka.be:l,kɐ.ˈbe.lu,-,ka,be:l,ˈbe,2,3,-,2,-,Medial,,cabelo,hair,Clements2012[37-41]
Sri Lanka Portuguese,kabe:l,kɐˈbelu,ka.be:l,kɐ.ˈbe.lu,be:l,-,2,lu,2,3,2,3,Final,Final,,cabelo,hair,Clements2012[37-41]
Sri Lanka Portuguese,ma:m,ˈmɐ̃w̃,ma:m,ˈmɐ̃w̃,ma:m,0,1,ˈmɐ̃w̃,1,1,1,1,Final,Final,,mão,hand,Clements2012[37-41]
Sri Lanka Portuguese,eli,ˈeɫɨ,e.li,ˈe.ɫɨ,e,0,li,ˈe,2,2,1,1,Initial,Initial,,ele,he,Clements2012[37-41]
Sri Lanka Portuguese,eli,ˈeɫɨ,e.li,ˈe.ɫɨ,li,e,2,ɫɨ,2,2,2,2,Final,Final,,ele,he,Clements2012[37-41]
Sri Lanka Portuguese,kabe:sa,kɐˈbesɐ,ka.be:.sa,kɐ.ˈbe.sɐ,ka,0,be:,kɐˈ,3,3,1,1,Initial,Initial,,cabeça,head,Clements2012[37-41]
Sri Lanka Portuguese,kabe:sa,kɐˈbesɐ,ka.be:.sa,kɐ.ˈbe.sɐ,be:,ka,sa,ˈbe,3,3,2,2,Medial,Medial,,cabeça,head,Clements2012[37-41]
Sri Lanka Portuguese,kabe:sa,kɐˈbesɐ,ka.be:.sa,kɐ.ˈbe.sɐ,sa,be:,3,sɐ,3,3,3,3,Final,Final,,cabeça,head,Clements2012[37-41]
Sri Lanka Portuguese,kaʋasa,kɐˈbesɐ,ka.ʋa.sa,kɐˈ.be.sɐ,ka,0,ʋa,kɐˈ,3,3,1,1,Initial,Initial,,cabeça,head,Clements2012[37-41]
Sri Lanka Portuguese,kaʋasa,kɐˈbesɐ,ka.ʋa.sa,kɐˈ.be.sɐ,ʋa,ka,sa,ˈbe,3,3,2,2,Medial,Medial,,cabeça,head,Clements2012[37-41]
Sri Lanka Portuguese,kaʋasa,kɐˈbesɐ,ka.ʋa.sa,kɐˈ.be.sɐ,sa,ʋa,3,sɐ,3,3,3,3,Final,Final,,cabeça,head,Clements2012[37-41]
Sri Lanka Portuguese,oʋi:,oˈviɾ,o.ʋi:,o.ˈviɾ,o,0,ʋi:,oˈ,2,2,1,1,Initial,Initial,,ouvir,hear,Clements2012[37-41]
Sri Lanka Portuguese,oʋi:,oˈviɾ,o.ʋi:,o.ˈviɾ,ʋi:,o,2,viɾ,2,2,2,2,Final,Final,,ouvir,hear,Clements2012[37-41]
Sri Lanka Portuguese,koɾsa:m,kuɾɐˈsɐ̃w̃,koɾ.sa:m,ku.ɾɐ.ˈsɐ̃w̃,koɾ,0,-,ku,2,3,1,1,Initial,Initial,,coração,heart,Clements2012[37-41]
Sri Lanka Portuguese,koɾsa:m,kuɾɐˈsɐ̃w̃,koɾ.sa:m,ku.ɾɐ.ˈsɐ̃w̃,-,koɾ,sa:m,ɾɐ,2,3,-,2,-,Medial,,coração,heart,Clements2012[37-41]
Sri Lanka Portuguese,koɾsa:m,kuɾɐˈsɐ̃w̃,koɾ.sa:m,ku.ɾɐ.ˈsɐ̃w̃,sa:m,-,2,ˈsɐ̃w̃,2,3,2,3,Final,Final,,coração,heart,Clements2012[37-41]
Sri Lanka Portuguese,peza:du,pɨˈzadu,pe.za:.du,pɨ.ˈza.du,pe,0,za:,pɨ,3,3,1,1,Initial,Initial,,pesado,heavy,Clements2012[37-41]
Sri Lanka Portuguese,peza:du,pɨˈzadu,pe.za:.du,pɨ.ˈza.du,za:,pe,du,ˈza,3,3,2,2,Medial,Medial,,pesado,heavy,Clements2012[37-41]
Sri Lanka Portuguese,peza:du,pɨˈzadu,pe.za:.du,pɨ.ˈza.du,du,za:,3,du,3,3,3,3,Final,Final,,pesado,heavy,Clements2012[37-41]
Sri Lanka Portuguese,aki:,ɐˈki,a.ki:,ɐ.ˈki,a,0,ki:,ɐˈ,2,2,1,1,Initial,Initial,,aqui,here,Clements2012[37-41]
Sri Lanka Portuguese,aki:,ɐˈki,a.ki:,ɐ.ˈki,ki:,a,2,ˈki,2,2,2,2,Final,Final,,aqui,here,Clements2012[37-41]
Sri Lanka Portuguese,toma:,tuˈmaɾ,to.ma:,tu.ˈmaɾ,to,0,ma:,tu,2,2,1,1,Initial,Initial,,tomar,hold (take),Clements2012[37-41]
Sri Lanka Portuguese,toma:,tuˈmaɾ,to.ma:,tu.ˈmaɾ,ma:,to,2,ˈmaɾ,2,2,2,2,Final,Final,,tomar,hold (take),Clements2012[37-41]
Sri Lanka Portuguese,ko:mu,ˈkoɾnu,ko.:mu,ˈkoɾ.nu,ko:,0,mu,ˈkoɾ,2,2,1,1,Initial,Initial,,corno,horn,Clements2012[37-41]
Sri Lanka Portuguese,ko:mu,ˈkoɾnu,ko.:mu,ˈkoɾ.nu,mu,ko:,2,nu,2,2,2,2,Final,Final,,corno,horn,Clements2012[37-41]
Sri Lanka Portuguese,kila:j,kɨ ˈɫajɐ,ki.la:j,kɨ ˈɫaj.ɐ,ki,0,-,kɨ ,2,2,1,1,Initial,Initial,,que laia,how,Clements2012[37-41]
Sri Lanka Portuguese,kila:j,kɨ ˈɫajɐ,ki.la:j,kɨ ˈɫaj.ɐ,-,ki,la:j,ˈɫaj,2,2,-,2,-,Final,,que laia,how,Clements2012[37-41]
Sri Lanka Portuguese,kila:j,kɨ ˈɫajɐ,ki.la:j,kɨ ˈɫaj.ɐ,la:j,-,2,ɐ,2,2,2,3,Final,Medial,,que laia,how,Clements2012[37-41]
Sri Lanka Portuguese,maɾi:du,mɐˈɾidu,ma.ɾi:.du,mɐ.ˈɾi.du,ma,0,ɾi:,mɐ,3,3,1,1,Initial,Initial,,marido,husband,Clements2012[37-41]
Sri Lanka Portuguese,maɾi:du,mɐˈɾidu,ma.ɾi:.du,mɐ.ˈɾi.du,ɾi:,ma,du,ˈɾi,3,3,2,2,Medial,Medial,,marido,husband,Clements2012[37-41]
Sri Lanka Portuguese,maɾi:du,mɐˈɾidu,ma.ɾi:.du,mɐ.ˈɾi.du,du,ɾi:,3,du,3,3,3,3,Final,Final,,marido,husband,Clements2012[37-41]
Sri Lanka Portuguese,e:ʋ,ˈew,e:ʋ,ˈew,e:ʋ,0,1,ˈew,1,1,1,1,Final,Final,,eu,I,Clements2012[37-41]
Sri Lanka Portuguese,se:,sɨ,se:,sɨ,se:,0,1,sɨ,1,1,1,1,Final,Final,,se,if,Clements2012[37-41]
Sri Lanka Portuguese,ntu,ˈdẽtɾu,ntu,ˈdẽ.tɾu,ntu,0,-,ˈdẽ,1,2,1,1,Final,Initial,,dentro,inside,Clements2012[37-41]
Sri Lanka Portuguese,ntu,ˈdẽtɾu,ntu,ˈdẽ.tɾu,-,ntu,1,tɾu,1,2,-,2,-,Final,,dentro,inside,Clements2012[37-41]
Sri Lanka Portuguese,mata:,mɐˈtaɾ,mata:,mɐ.ˈtaɾ,ma,0,ta:,mɐ,1,2,1,1,Final,Initial,,matar,kill,Clements2012[37-41]
Sri Lanka Portuguese,mata:,mɐˈtaɾ,mata:,mɐ.ˈtaɾ,ta:,ma,1,ˈtaɾ,1,2,2,2,Medial,Final,,matar,kill,Clements2012[37-41]
Sri Lanka Portuguese,ind̠ʒuʋej,ʒuˈeʎu,in.d̠ʒu.ʋej,ʒu.ˈe.ʎu,in,0,d̠ʒu,ʒu,3,3,1,1,Initial,Initial,,joelho,knee,Clements2012[37-41]
Sri Lanka Portuguese,ind̠ʒuʋej,ʒuˈeʎu,in.d̠ʒu.ʋej,ʒu.ˈe.ʎu,d̠ʒu,in,ʋej,ˈe,3,3,2,2,Medial,Medial,,joelho,knee,Clements2012[37-41]
Sri Lanka Portuguese,ind̠ʒuʋej,ʒuˈeʎu,in.d̠ʒu.ʋej,ʒu.ˈe.ʎu,ʋej,d̠ʒu,3,ʎu,3,3,3,3,Final,Final,,joelho,knee,Clements2012[37-41]
Sri Lanka Portuguese,kunsa,kuɲɨˈseɾ,kun.sa,ku.ɲɨ.ˈseɾ,kun,0,-,ku,2,3,1,1,Initial,Initial,,conhecer,know,Clements2012[37-41]
Sri Lanka Portuguese,kunsa,kuɲɨˈseɾ,kun.sa,ku.ɲɨ.ˈseɾ,-,kun,sa,ɲɨ,2,3,-,2,-,Medial,,conhecer,know,Clements2012[37-41]
Sri Lanka Portuguese,kunsa,kuɲɨˈseɾ,kun.sa,ku.ɲɨ.ˈseɾ,sa,-,2,ˈseɾ,2,3,2,3,Final,Final,,conhecer,know,Clements2012[37-41]
Sri Lanka Portuguese,sava,sɐˈbeɾ,sa.va,sɐ.ˈbeɾ,sa,0,va,sɐ,2,2,1,1,Initial,Initial,,saber,know,Clements2012[37-41]
Sri Lanka Portuguese,sava,sɐˈbeɾ,sa.va,sɐ.ˈbeɾ,va,sa,2,ˈbeɾ,2,2,2,2,Final,Final,,saber,know,Clements2012[37-41]
Sri Lanka Portuguese,ta:nki,ˈtɐ̃kɨ,ta:n.ki,ˈtɐ̃.kɨ,ta:n,0,ki,ˈtɐ̃,2,2,1,1,Initial,Initial,,tanque,lake,Clements2012[37-41]
Sri Lanka Portuguese,ta:nki,ˈtɐ̃kɨ,ta:n.ki,ˈtɐ̃.kɨ,ki,ta:n,2,kɨ,2,2,2,2,Final,Final,,tanque,lake,Clements2012[37-41]
Sri Lanka Portuguese,ɾi:,ˈʀiɾ,ɾi:,ˈʀiɾ,ɾi:,0,1,ˈʀiɾ,1,1,1,1,Final,Final,,rir,laugh,Clements2012[37-41]
Sri Lanka Portuguese,fɔ:ja,ˈfoʎɐ,fɔ.:ja,ˈfo.ʎɐ,fɔ:,0,ja,ˈfo,2,2,1,1,Initial,Initial,,folha,leaf,Clements2012[37-41]
Sri Lanka Portuguese,fɔ:ja,ˈfoʎɐ,fɔ.:ja,ˈfo.ʎɐ,ja,fɔ:,2,ʎɐ,2,2,2,2,Final,Final,,folha,leaf,Clements2012[37-41]
Sri Lanka Portuguese,majska:ɾda,ˈmɐ̃w ʃˈkeɾdɐ,majs.ka:ɾ.da,ˈmɐ̃w.ʃ.ˈkeɾ.dɐ,-,0,majs,ˈmɐ̃w̃,3,4,1,1,Initial,Initial,,à esquerda,leftside,Clements2012[37-41]
Sri Lanka Portuguese,majska:ɾda,ˈmɐ̃w ʃˈkeɾdɐ,majs.ka:ɾ.da,ˈmɐ̃w.ʃ.ˈkeɾ.dɐ,majs,-,ka:ɾ,ʃ,3,4,2,2,Medial,Medial,,à esquerda,leftside,Clements2012[37-41]
Sri Lanka Portuguese,majska:ɾda,ˈmɐ̃w ʃˈkeɾdɐ,majs.ka:ɾ.da,ˈmɐ̃w.ʃ.ˈkeɾ.dɐ,ka:ɾ,majs,da,keɾ,3,4,3,3,Final,Medial,,à esquerda,leftside,Clements2012[37-41]
Sri Lanka Portuguese,majska:ɾda,ˈmɐ̃w ʃˈkeɾdɐ,majs.ka:ɾ.da,ˈmɐ̃w.ʃ.ˈkeɾ.dɐ,da,ka:ɾ,3,dɐ,3,4,-,4,-,Final,,à esquerda,leftside,Clements2012[37-41]
Sri Lanka Portuguese,pe:,ˈpeɾnɐ,pe:,ˈpeɾ.nɐ,pe:,0,-,ˈpeɾ,1,2,1,1,Final,Initial,,perna,leg,Clements2012[37-41]
Sri Lanka Portuguese,pe:,ˈpeɾnɐ,pe:,ˈpeɾ.nɐ,-,pe:,1,nɐ,1,2,-,2,-,Final,,perna,leg,Clements2012[37-41]
Sri Lanka Portuguese,deta:,dɐjˈtaɾ,de.ta:,dɐj.ˈtaɾ,de,0,ta:,dɐj,2,2,1,1,Initial,Initial,,estar deitado,lie,Clements2012[37-41]
Sri Lanka Portuguese,deta:,dɐjˈtaɾ,de.ta:,dɐj.ˈtaɾ,ta:,de,2,ˈtaɾ,2,2,2,2,Final,Final,,estar deitado,lie,Clements2012[37-41]
Sri Lanka Portuguese,moɾa,muˈɾaɾ,mo.ɾa,mu.ˈɾaɾ,mo,0,ɾa,mu,2,2,1,1,Initial,Initial,,morar,live,Clements2012[37-41]
Sri Lanka Portuguese,moɾa,muˈɾaɾ,mo.ɾa,mu.ˈɾaɾ,ɾa,mo,2,ˈɾaɾ,2,2,2,2,Final,Final,,morar,live,Clements2012[37-41]
Sri Lanka Portuguese,paɾa,pɐˈɾaɾ,pa.ɾa,pɐ.ˈɾaɾ,pa,0,ɾa,pɐ,2,2,1,1,Initial,Initial,,parar,live,Clements2012[37-41]
Sri Lanka Portuguese,paɾa,pɐˈɾaɾ,pa.ɾa,pɐ.ˈɾaɾ,ɾa,pa,2,ˈɾaɾ,2,2,2,2,Final,Final,,parar,live,Clements2012[37-41]
Sri Lanka Portuguese,fi:ʋdu,ˈfiɡɐdu,fi:ʋ.du,ˈfi.ɡɐ.du,fi:ʋ,0,-,ˈfi,2,3,1,1,Initial,Initial,,figado,liver,Clements2012[37-41]
Sri Lanka Portuguese,fi:ʋdu,ˈfiɡɐdu,fi:ʋ.du,ˈfi.ɡɐ.du,-,fi:ʋ,du,ɡɐ,2,3,-,2,-,Medial,,figado,liver,Clements2012[37-41]
Sri Lanka Portuguese,fi:ʋdu,ˈfiɡɐdu,fi:ʋ.du,ˈfi.ɡɐ.du,du,-,2,du,2,3,2,3,Final,Final,,figado,liver,Clements2012[37-41]
Sri Lanka Portuguese,kumpɾi:du,kõˈpɾidu,kum.pɾi:.du,kõ.ˈpɾi.du,kum,0,pɾi:,kõ,3,3,1,1,Initial,Initial,,comprido,long,Clements2012[37-41]
Sri Lanka Portuguese,kumpɾi:du,kõˈpɾidu,kum.pɾi:.du,kõ.ˈpɾi.du,pɾi:,kum,du,ˈpɾi,3,3,2,2,Medial,Medial,,comprido,long,Clements2012[37-41]
Sri Lanka Portuguese,kumpɾi:du,kõˈpɾidu,kum.pɾi:.du,kõ.ˈpɾi.du,du,pɾi:,3,du,3,3,3,3,Final,Final,,comprido,long,Clements2012[37-41]
Sri Lanka Portuguese,pijo:j,piˈoʎu,pi.jo:j,pi.ˈo.ʎu,pi,0,-,pi,2,3,1,1,Initial,Initial,,piolho,louse,Clements2012[37-41]
Sri Lanka Portuguese,pijo:j,piˈoʎu,pi.jo:j,pi.ˈo.ʎu,-,pi,jo:j,ˈo,2,3,-,2,-,Medial,,piolho,louse,Clements2012[37-41]
Sri Lanka Portuguese,pijo:j,piˈoʎu,pi.jo:j,pi.ˈo.ʎu,jo:j,-,2,ʎu,2,3,2,3,Final,Final,,piolho,louse,Clements2012[37-41]
Sri Lanka Portuguese,ɔ:mi,ˈomɐ̃j,ɔ.:mi,ˈo.mɐ̃j,ɔ:,0,mi,ˈo,2,2,1,1,Initial,Initial,,homem,man,Clements2012[37-41]
Sri Lanka Portuguese,ɔ:mi,ˈomɐ̃j,ɔ.:mi,ˈo.mɐ̃j,mi,ɔ:,2,mɐ̃j,2,2,2,2,Final,Final,,homem,man,Clements2012[37-41]
Sri Lanka Portuguese,mujtu,ˈmũjtuʃ,muj.tu,ˈmũj.tuʃ,muj,0,tu,ˈmũj,2,2,1,1,Initial,Initial,,muitos,many,Clements2012[37-41]
Sri Lanka Portuguese,mujtu,ˈmũjtuʃ,muj.tu,ˈmũj.tuʃ,tu,muj,2,tuʃ,2,2,2,2,Final,Final,,muitos,many,Clements2012[37-41]
Sri Lanka Portuguese,bastantə,bɐʃˈtɐ̃tɨ,bas.tan.tə,bɐʃ.ˈtɐ̃.tɨ,bas,0,tan,bɐʃ,3,3,1,1,Initial,Initial,,muitos,many,Clements2012[37-41]
Sri Lanka Portuguese,bastantə,bɐʃˈtɐ̃tɨ,bas.tan.tə,bɐʃ.ˈtɐ̃.tɨ,tan,bas,tə,ˈtɐ̃,3,3,2,2,Medial,Medial,,muitos,many,Clements2012[37-41]
Sri Lanka Portuguese,bastantə,bɐʃˈtɐ̃tɨ,bas.tan.tə,bɐʃ.ˈtɐ̃.tɨ,tə,tan,3,tɨ,3,3,3,3,Final,Final,,muitos,many,Clements2012[37-41]
Sri Lanka Portuguese,ka:ɾni,ˈkaɾnɨ,ka:ɾ.ni,ˈkaɾ.nɨ,ka:ɾ,0,ni,ˈkaɾ,2,2,1,1,Initial,Initial,,carne,meat,Clements2012[37-41]
Sri Lanka Portuguese,ka:ɾni,ˈkaɾnɨ,ka:ɾ.ni,ˈkaɾ.nɨ,ni,ka:ɾ,2,nɨ,2,2,2,2,Final,Final,,carne,meat,Clements2012[37-41]
Sri Lanka Portuguese,luma:ɾa,luˈaɾ,lu.ma:.ɾa,lu.ˈaɾ,lu,0,ma:,lu,3,2,1,1,Initial,Initial,,luar,moonlight,Clements2012[37-41]
Sri Lanka Portuguese,luma:ɾa,luˈaɾ,lu.ma:.ɾa,lu.ˈaɾ,ma:,lu,ɾa,-,3,2,2,-,Medial,-,,luar,moonlight,Clements2012[37-41]
Sri Lanka Portuguese,luma:ɾa,luˈaɾ,lu.ma:.ɾa,lu.ˈaɾ,ɾa,ma:,3,ˈaɾ,3,2,3,2,Final,Final,,luar,moonlight,Clements2012[37-41]
Sri Lanka Portuguese,ma:j,ˈmɐ̃j̃,ma:j,ˈmɐ̃j̃,ma:j,0,1,ˈmɐ̃j̃,1,1,1,1,Final,Final,,mãe,mother,Clements2012[37-41]
Sri Lanka Portuguese,monta:ɲa,mõˈtɐɲɐ,mon.ta:.ɲa,mõ.ˈtɐ.ɲɐ,mon,0,ta:,mõˈ,3,3,1,1,Initial,Initial,,montanha,mountain,Clements2012[37-41]
Sri Lanka Portuguese,monta:ɲa,mõˈtɐɲɐ,mon.ta:.ɲa,mõ.ˈtɐ.ɲɐ,ta:,mon,ɲa,ˈtɐ,3,3,2,2,Medial,Medial,,montanha,mountain,Clements2012[37-41]
Sri Lanka Portuguese,monta:ɲa,mõˈtɐɲɐ,mon.ta:.ɲa,mõ.ˈtɐ.ɲɐ,ɲa,ta:,3,ɲɐ,3,3,3,3,Final,Final,,montanha,mountain,Clements2012[37-41]
Sri Lanka Portuguese,bo:ka,ˈbokɐ,bo:.ka,ˈbo.kɐ,bo:,0,ka,ˈbo,2,2,1,1,Initial,Initial,,boca,mouth,Clements2012[37-41]
Sri Lanka Portuguese,bo:ka,ˈbokɐ,bo:.ka,ˈbo.kɐ,ka,bo:,2,kɐ,2,2,2,2,Final,Final,,boca,mouth,Clements2012[37-41]
Sri Lanka Portuguese,nɔ:mi,ˈnomɨ,nɔ:.mi,ˈno.mɨ,nɔ:,0,mi,ˈno,2,2,1,1,Initial,Initial,,nome,name,Clements2012[37-41]
Sri Lanka Portuguese,nɔ:mi,ˈnomɨ,nɔ:.mi,ˈno.mɨ,mi,nɔ:,2,mɨ,2,2,2,2,Final,Final,,nome,name,Clements2012[37-41]
Sri Lanka Portuguese,istɾe:tu,ʃˈtɾɐjtu,is.tɾe.:tu,ʃ.ˈtɾɐj.tu,is,0,tɾe:,ʃ,3,3,1,1,Initial,Initial,,estreito,narrow,Clements2012[37-41]
Sri Lanka Portuguese,istɾe:tu,ʃˈtɾɐjtu,is.tɾe.:tu,ʃ.ˈtɾɐj.tu,tɾe:,is,tu,tɾɐj,3,3,2,2,Medial,Medial,,estreito,narrow,Clements2012[37-41]
Sri Lanka Portuguese,istɾe:tu,ʃˈtɾɐjtu,is.tɾe.:tu,ʃ.ˈtɾɐj.tu,tu,tɾe:,3,tu,3,3,3,3,Final,Final,,estreito,narrow,Clements2012[37-41]
Sri Lanka Portuguese,pɛ:ɾtu,ˈpɛɾtu,pɛ:ɾ.tu,ˈpɛɾ.tu,pɛ:ɾ,0,tu,pɛɾ,2,2,1,1,Initial,Initial,,perto,near,Clements2012[37-41]
Sri Lanka Portuguese,pɛ:ɾtu,ˈpɛɾtu,pɛ:ɾ.tu,ˈpɛɾ.tu,tu,pɛ:ɾ,2,tu,2,2,2,2,Final,Final,,perto,near,Clements2012[37-41]
Sri Lanka Portuguese,gaɾga:ntu,gɐɾˈgãtɐ,gaɾ.ga:n.tu,gɐɾ.ˈgã.tɐ,gaɾ,0,ga:n,gɐɾ,3,3,1,1,Initial,Initial,,garganta,throat,Clements2012[37-41]
Sri Lanka Portuguese,gaɾga:ntu,gɐɾˈgãtɐ,gaɾ.ga:n.tu,gɐɾ.ˈgã.tɐ,ga:n,gaɾ,tu,gã,3,3,2,2,Medial,Medial,,garganta,throat,Clements2012[37-41]
Sri Lanka Portuguese,gaɾga:ntu,gɐɾˈgãtɐ,gaɾ.ga:n.tu,gɐɾ.ˈgã.tɐ,tu,ga:n,3,tɐ,3,3,3,3,Final,Final,,garganta,throat,Clements2012[37-41]
Sri Lanka Portuguese,gɔɾgal,gɐɾˈgalu,gɔɾ.gal,gɐɾ.ˈga.lu,gɔɾ,0,-,gɐɾ,2,3,1,1,Initial,Initial,,gargalo,throat,Clements2012[37-41]
Sri Lanka Portuguese,gɔɾgal,gɐɾˈgalu,gɔɾ.gal,gɐɾ.ˈga.lu,-,gɔɾ,gal,ˈga,2,3,-,2,-,Medial,,gargalo,throat,Clements2012[37-41]
Sri Lanka Portuguese,gɔɾgal,gɐɾˈgalu,gɔɾ.gal,gɐɾ.ˈga.lu,gal,-,2,lu,2,3,2,3,Final,Final,,gargalo,throat,Clements2012[37-41]
Sri Lanka Portuguese,no:ʋ,ˈnovu,no:ʋ,ˈno.vu,no:ʋ,0,-,ˈno,1,2,1,1,Final,Initial,,novo,new,Clements2012[37-41]
Sri Lanka Portuguese,no:ʋ,ˈnovu,no:ʋ,ˈno.vu,-,no:ʋ,1,vu,1,2,-,2,-,Final,,novo,new,Clements2012[37-41]
Sri Lanka Portuguese,ano:ti,ˈnojtɨ,a.no:.ti,ˈnoj.tɨ,a,0,no:,ˈnoj,3,2,1,1,Initial,Initial,,noite,night,Clements2012[37-41]
Sri Lanka Portuguese,ano:ti,ˈnojtɨ,a.no:.ti,ˈnoj.tɨ,no:,a,ti,-,3,2,2,-,Medial,-,,noite,night,Clements2012[37-41]
Sri Lanka Portuguese,ano:ti,ˈnojtɨ,a.no:.ti,ˈnoj.tɨ,ti,no:,3,tɨ,3,2,3,2,Final,Final,,noite,night,Clements2012[37-41]
Sri Lanka Portuguese,na:ɾis,nɐˈɾiʃ,na:.ɾis,nɐ.ˈɾiʃ,na:,0,ɾis,nɐ,2,2,1,1,Initial,Initial,,nariz,nose,Clements2012[37-41]
Sri Lanka Portuguese,na:ɾis,nɐˈɾiʃ,na:.ɾis,nɐ.ˈɾiʃ,ɾis,na:,2,ˈɾiʃ,2,2,2,2,Final,Final,,nariz,nose,Clements2012[37-41]
Sri Lanka Portuguese,na:,ˈnɐ̃w,na:,ˈnɐ̃w,na:,0,1,ˈnɐ̃w,1,1,1,1,Final,Final,,não,not,Clements2012[37-41]
Sri Lanka Portuguese,nun,ˈnɐ̃w,nun,ˈnɐ̃w,nun,0,1,ˈnɐ̃w,1,1,1,1,Final,Final,,não,not,Clements2012[37-41]
Sri Lanka Portuguese,ʋɛ:j,ˈveʎu,ʋɛ:j,ˈve.ʎu,ʋɛ:j,0,-,ˈve,1,2,1,1,Final,Initial,,velho,old,Clements2012[37-41]
Sri Lanka Portuguese,ʋɛ:j,ˈveʎu,ʋɛ:j,ˈve.ʎu,-,ʋɛ:j,1,ʎu,1,2,-,2,-,Final,,velho,old,Clements2012[37-41]
Sri Lanka Portuguese,uŋa,ˈumɐ,u.ŋa,ˈu.mɐ,u,0,ŋa,ˈu,2,2,1,1,Initial,Initial,,um,one,Clements2012[37-41]
Sri Lanka Portuguese,uŋa,ˈumɐ,u.ŋa,ˈu.mɐ,ŋa,u,2,mɐ,2,2,2,2,Final,Final,,um,one,Clements2012[37-41]
Sri Lanka Portuguese,o:tɾu,ˈotɾu,o:.tɾu,ˈo.tɾu,o:,0,tɾu,ˈo,2,2,1,1,Initial,Initial,,outro,other,Clements2012[37-41]
Sri Lanka Portuguese,o:tɾu,ˈotɾu,o:.tɾu,ˈo.tɾu,tɾu,o:,2,tɾu,2,2,2,2,Final,Final,,outro,other,Clements2012[37-41]
Sri Lanka Portuguese,pesa:m,pɨˈsoɐ,pe.sa:m,pɨ.ˈso.ɐ,pe,0,-,pɨ,2,3,1,1,Initial,Initial,,pessoa,person,Clements2012[37-41]
Sri Lanka Portuguese,pesa:m,pɨˈsoɐ,pe.sa:m,pɨ.ˈso.ɐ,-,pe,sa:m,ˈso,2,3,-,2,-,Medial,,pessoa,person,Clements2012[37-41]
Sri Lanka Portuguese,pesa:m,pɨˈsoɐ,pe.sa:m,pɨ.ˈso.ɐ,sa:m,-,2,ɐ,2,3,2,3,Final,Final,,pessoa,person,Clements2012[37-41]
Sri Lanka Portuguese,bɾinka:,bɾĩˈkaɾ,bɾin.ka:,bɾĩ.ˈkaɾ,bɾin,0,ka:,bɾĩ,2,2,1,1,Initial,Initial,,brincar,play,Clements2012[37-41]
Sri Lanka Portuguese,bɾinka:,bɾĩˈkaɾ,bɾin.ka:,bɾĩ.ˈkaɾ,ka:,bɾin,2,ˈkaɾ,2,2,2,2,Final,Final,,brincar,play,Clements2012[37-41]
Sri Lanka Portuguese,pusa:,puˈʃaɾ,pu.sa:,pu.ˈʃaɾ,pu,0,sa:,pu,2,2,1,1,Initial,Initial,,puxar,pull,Clements2012[37-41]
Sri Lanka Portuguese,pusa:,puˈʃaɾ,pu.sa:,pu.ˈʃaɾ,sa:,pu,2,ˈʃaɾ,2,2,2,2,Final,Final,,puxar,pull,Clements2012[37-41]
Sri Lanka Portuguese,taɭɭi,,,,,,,,,,,,,,,empurrar,push,Clements2012[37-41]
Sri Lanka Portuguese,t̠ʃu:ʋa,ˈʃuvɐ,t̠ʃu:.ʋa,ˈʃu.vɐ,t̠ʃu:,0,ʋa,ˈʃu,2,2,1,1,Initial,Initial,,chuva,rain,Clements2012[37-41]
Sri Lanka Portuguese,t̠ʃu:ʋa,ˈʃuvɐ,t̠ʃu:.ʋa,ˈʃu.vɐ,ʋa,t̠ʃu:,2,vɐ,2,2,2,2,Final,Final,,chuva,rain,Clements2012[37-41]
