Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceTargetEq,Audit,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference
Angolar,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,le,lɐj,FALSE,,2,2,1,1,Initial,Initial,0,te,0,tɨ,,leite,milk,Bandeira2017[366-412]
Angolar,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,te,tɨ,FALSE,,2,2,2,2,Final,Final,ˈle,2,ˈlɐj,2,,leite,milk,Bandeira2017[366-412]
Angolar,maˈmõ,mɐˈmɐ̃w̃,ma.ˈmõ,mɐ.ˈmɐ̃w̃,ma,mɐ,FALSE,,2,2,1,1,Initial,Initial,0,ˈmõ,0,ˈmɐ̃w̃,,mamão,papaya,Bandeira2017[366-412]
Angolar,maˈmõ,mɐˈmɐ̃w̃,ma.ˈmõ,mɐ.ˈmɐ̃w̃,mõ,mɐ̃w̃,FALSE,,2,2,2,2,Final,Final,ma,2,mɐ,2,,mamão,papaya,Bandeira2017[366-412]
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,mɐ̃,mɐ̃,TRUE,,3,4,1,1,Initial,Initial,0,ˈdjɔ,0,di,,mandioca,manjoka,Bandeira2017[366-412]
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,mɐ̃,mɐ̃,TRUE,,,,1,1,,,,,,,,mandioca,manjoka,Bandeira2017[366-412]
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,dj,di,FALSE,,3,4,2,2,Medial,Medial,mɐ̃,-,mɐ̃,ˈɔ,,mandioca,manjoka,Bandeira2017[366-412]
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,ɔ,ɔ,TRUE,,3,4,3,3,-,Medial,ˈdjɔ,kɐ,di,kɐ,Metathesis,mandioca,manjoka,Bandeira2017[366-412]
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,kɐ,kɐ,TRUE,,,,4,4,,,,,,,,mandioca,manjoka,Bandeira2017[366-412]
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,kɐ,kɐ,TRUE,,3,4,3,4,Final,Final,-,3,ˈɔ,4,,mandioca,manjoka,Bandeira2017[366-412]
Angolar,mɐ̃ˈsõ,mɐˈsɐ̃,mɐ̃.ˈsõ,mɐ.ˈsɐ̃,mɐ̃,mɐ,FALSE,,2,2,1,1,Initial,Initial,0,ˈsõ,0,ˈsɐ̃,,maçã,apple,Bandeira2017[366-412]
Angolar,mɐ̃ˈsõ,mɐˈsɐ̃,mɐ̃.ˈsõ,mɐ.ˈsɐ̃,sõ,sɐ̃,FALSE,,2,2,2,2,Final,Final,mɐ̃,2,mɐ,2,,maçã,apple,Bandeira2017[366-412]
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,mɐ̃,mɐ̃,TRUE,,3,3,1,1,Initial,Initial,0,ˈtɛ,0,ˈtɐj,,manteiga,butter,Bandeira2017[366-412]
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,mɐ̃,mɐ̃,TRUE,,,,1,1,,,,,,,,manteiga,butter,Bandeira2017[366-412]
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,tɛ,tɐj,FALSE,,3,3,2,2,Medial,Medial,mɐ̃,gɐ,mɐ̃,gɐ,,manteiga,butter,Bandeira2017[366-412]
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,gɐ,gɐ,TRUE,,,,3,3,,,,,,,,manteiga,butter,Bandeira2017[366-412]
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,gɐ,gɐ,TRUE,,3,3,3,3,Final,Final,ˈtɛ,3,ˈtɐj,3,,manteiga,butter,Bandeira2017[366-412]
Angolar,ˈθalu,ˈsal,ˈθa.lu,ˈsal,θa,sal,FALSE,,2,1,1,1,Initial,Final,0,lu,0,-,,sal,salt,Bandeira2017[366-412]
Angolar,ˈθalu,ˈsal,ˈθa.lu,ˈsal,lu,-,FALSE,,2,1,2,-,Final,-,ˈθa,2,ˈsal,-,,sal,salt,Bandeira2017[366-412]
Angolar,ˈsopɐ,ˈsopɐ,ˈso.pɐ,ˈso.pɐ,ˈso,ˈso,TRUE,,2,2,1,1,Initial,Initial,0,pɐ,0,pɐ,,sopa,soup,Bandeira2017[366-412]
Angolar,ˈsopɐ,ˈsopɐ,ˈso.pɐ,ˈso.pɐ,pɐ,pɐ,TRUE,,2,2,2,2,Final,Final,ˈso,2,ˈso,2,,sopa,soup,Bandeira2017[366-412]
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,viˈ,viˈ,TRUE,,3,3,1,1,Initial,Initial,0,na,0,na,,vinagre,vinegar,Bandeira2017[366-412]
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,na,na,TRUE,,3,3,2,2,Medial,Medial,viˈ,gi,viˈ,gɾɨ,,vinagre,vinegar,Bandeira2017[366-412]
