Angolar,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,,,,,SourceWordLength,TargetWordLength,SourceWordSyl,TargetWordSyl,WordDiff,WordBigger,SyllDiff,SyllBigger
Angolar,va:ˈdo,vuɐˈdoɾ,va:.ˈdo,vu.ɐ.ˈdoɾ,,,,,5,6,2,3,-1,Target,-1,Target
Angolar,biˈsigɐ,vɐˈɾiulɐ,biˈ.si.gɐ,vɐˈ.ɾiu.lɐ,,,,,6,7,3,3,-1,Target,0,Equal
Angolar,ˈfɛbɛ,ˈfɛbɾɨ,ˈfɛ.bɛ,ˈfɛ.bɾɨ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈfi:dɐ,fɨˈɾidɐ,ˈfi:.dɐ,fɨ.ˈɾi.dɐ,,,,,5,6,2,3,-1,Target,-1,Target
Angolar,ˈlɛpɐ,ˈlɛpɾɐ,ˈlɛ.pɐ,ˈlɛ.pɾɐ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,baˈja,vɐjˈaɾ,ba.ˈja,vɐj.ˈaɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,baˈli,vɐˈʀeɾ,ba.ˈli,vɐ.ˈʀeɾ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈbe,ˈveɾ,ˈbe,ˈveɾ,,,,,2,3,1,1,-1,Target,0,Equal
Angolar,ˈbi,ˈviɾ,ˈbi,ˈviɾ,,,,,2,3,1,1,-1,Target,0,Equal
Angolar,biˈsi,vɨʃˈtiɾ,bi.ˈsi,vɨʃ.ˈtiɾ,,,,,4,6,2,2,-2,Target,0,Equal
Angolar,ˈfa,fɐˈlaɾ,ˈfa,fɐ.ˈlaɾ,,,,,2,5,1,2,-3,Target,-1,Target
Angolar,faˈta,falˈtaɾ,fa.ˈta,fal.ˈtaɾ,,,,,4,6,2,2,-2,Target,0,Equal
