Language,SourceWord,TargetWord,source word syl,target word syl,SourceSyllable,TargetSyllable,PositionSource,Position Target, SourceWord,TargetOrthography,Translation,Referenc e,Notes
Diu,asupɾa,suˈpɾaɾ,a.su.pɾa,suˈ.pɾaɾ,pɾa,-,3,-,,,,,
Diu,os,ˈo.su,os,ˈo.su,os,ˈo,1,1,VC,osso,bone,Clements2012[37-41],
Diu,os,ˈo.su,os,ˈo.su,-,su,-,2,VC,osso,bone,Clements2012[37-41],
Diu,pet,ˈpejtu,pet,ˈpej.tu,pet,ˈpej,1,1,CVC,peito,breast,Clements2012[37-41],
Diu,pet,ˈpejtu,pet,ˈpej.tu,-,tu,-,2,CVC,peito,breast,Clements2012[37-41],
Diu,kima,kejˈmaɾ,ki.ma,kej.ˈmaɾ,ki,kej,1,1,CVCV,queimar,burn,Clements2012[37-41],
Diu,kima,kejˈmaɾ,ki.ma,kej.ˈmaɾ,ma,maɾ,2,2,CVCV,queimar,burn,Clements2012[37-41],
Diu,kɾiãs,kɾiˈɐ̃sɐ,kɾi.ãs,kɾi.ˈɐ̃.sɐ,kɾi,kɾi,1,1,CCVVC,criança,child,Clements2012[37-41],
Diu,kɾiãs,kɾiˈɐ̃sɐ,kɾi.ãs,kɾi.ˈɐ̃.sɐ,ãs,ɐ̃,2,2,CCVVC,criança,child,Clements2012[37-41],
Diu,kɾiãs,kɾiˈɐ̃sɐ,kɾi.ãs,kɾi.ˈɐ̃.sɐ,-,sɐ,-,3,CCVVC,criança,child,Clements2012[37-41],
Diu,uɲ,ˈuɲɐ,uɲ,ˈu.ɲɐ,uɲ,ˈu,1,1,VC,unha,claw,Clements2012[37-41],
Diu,uɲ,ˈuɲɐ,uɲ,ˈu.ɲɐ,-,ɲɐ,-,2,VC,unha,claw,Clements2012[37-41],
Diu,nuʋ,ˈnu.vɐ̃j,nuʋ,ˈnu.vɐ̃j,nuʋ,ˈnu,1,1,CVC,nuvem,cloud,Clements2012[37-41],
Diu,nuʋ,ˈnu.vɐ̃j,nuʋ,ˈnu.vɐ̃j,-,vɐ̃j,-,2,CVC,nuvem,cloud,Clements2012[37-41],
Diu,fɾi,ˈfɾiu,fɾi,ˈfɾiu,fɾi,ˈfɾiu,1,1,CCV,frio,cold,Clements2012[37-41],
Diu,ʋi,ˈviɾ,ʋi,ˈviɾ,ʋi,ˈviɾ,1,1,CV,vir,come,Clements2012[37-41],
Diu,kõta,kõtaɾ,kõ.ta,kõ.taɾ,kõ,kõ,1,1,CVCV,contar,count,Clements2012[37-41],
Diu,kõta,kõtaɾ,kõ.ta,kõ.taɾ,ta,taɾ,2,2,CVCV,contar,count,Clements2012[37-41],
Diu,koɾta,kuɾˈtaɾ,koɾ.ta,kuɾ.ˈtaɾ,koɾ,kuɾ,1,1,CVCCV,cortar,cut,Clements2012[37-41],
Diu,koɾta,kuɾˈtaɾ,koɾ.ta,kuɾ.ˈtaɾ,ta,taɾ,2,2,CVCCV,cortar,cut,Clements2012[37-41],
Diu,di,ˈdiɐ,di,ˈdiɐ,di,ˈdiɐ,1,1,CV,dia,day,Clements2012[37-41],
