Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,Source word length,Target word length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,Encontra espaço branco
,inflama,ĩflɐˈmaɾ,in.fla.ma,ĩ.flɐ.ˈmaɾ,fla,flɐ,3,3,7,7,3,3,0,Equal,0,Equal,#VALUE!
,inflama,ĩflɐˈmaɾ,in.fla.ma,ĩ.flɐ.ˈmaɾ,ma,ˈmaɾ,3,3,7,7,3,3,0,Equal,0,Equal,#VALUE!
,nada,ˈnadɐ,na.da,ˈna.dɐ,na,ˈna,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,nada,ˈnadɐ,na.da,ˈna.dɐ,da,dɐ,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,ɾɔb,ˈʀabu,ɾɔb,ˈʀa.bu,ɾɔb,ˈʀa,1,2,3,4,1,2,-1,Target,-1,Target,#VALUE!
,ɾɔb,ˈʀabu,ɾɔb,ˈʀa.bu,ɾɔb,bu,1,2,3,4,1,2,-1,Target,-1,Target,#VALUE!
,kel,ɐˈkeɫɨ,kel,ɐ.ˈke.ɫɨ,-,ɐ,1,3,3,5,1,3,-2,Target,-2,Target,#VALUE!
,kel,ɐˈkeɫɨ,kel,ɐ.ˈke.ɫɨ,kel,ˈke,1,3,3,5,1,3,-2,Target,-2,Target,#VALUE!
,kel,ɐˈkeɫɨ,kel,ɐ.ˈke.ɫɨ,-,ɫɨ,1,3,3,5,1,3,-2,Target,-2,Target,#VALUE!
,la,ˈla,la,ˈla,la,ˈla,1,1,2,2,1,1,0,Equal,0,Equal,#VALUE!
,es,ˈesɨʃ,es,ˈe.sɨʃ,es,ˈe,1,2,2,4,1,2,-2,Target,-1,Target,#VALUE!
,es,ˈesɨʃ,es,ˈe.sɨʃ,-,sɨʃ,1,2,2,4,1,2,-2,Target,-1,Target,#VALUE!
,gɾos,ˈgɾosu,gɾos,ˈgɾo.su,gɾos,ˈgɾo,1,2,4,5,1,2,-1,Target,-1,Target,#VALUE!
,gɾos,ˈgɾosu,gɾos,ˈgɾo.su,-,su,1,2,4,5,1,2,-1,Target,-1,Target,#VALUE!
,miud,miˈudu,mi.ud,mi.ˈu.du,mi,mi,2,3,4,5,2,3,-1,Target,-1,Target,#VALUE!
,miud,miˈudu,mi.ud,mi.ˈu.du,ud,ˈu,2,3,4,5,2,3,-1,Target,-1,Target,#VALUE!
,miud,miˈudu,mi.ud,mi.ˈu.du,-,du,2,3,4,5,2,3,-1,Target,-1,Target,#VALUE!
,pensa,pẽˈsaɾ,pen.sa,pẽ.ˈsaɾ,pen,pẽ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,pensa,pẽˈsaɾ,pen.sa,pẽ.ˈsaɾ,sa,ˈsaɾ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,matuta,mɐtuˈtaɾ,ma.tu.ta,mɐ.tu.ˈtaɾ,ma,mɐ,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
,matuta,mɐtuˈtaɾ,ma.tu.ta,mɐ.tu.ˈtaɾ,tu,tu,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
,matuta,mɐtuˈtaɾ,ma.tu.ta,mɐ.tu.ˈtaɾ,ta,ˈtaɾ,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
