Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,Source word length,Target word length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,Encontra espaço branco
,dɾeita,diˈɾɐjtɐ,dɾej.ta,di.ˈɾɐj.tɐ,dɾej,ˈɾɐj,2,3,6,7,2,3,-1,Target,-1,Target,#VALUE!
,dɾeita,diˈɾɐjtɐ,dɾej.ta,di.ˈɾɐj.tɐ,ta,tɐ,2,3,6,7,2,3,-1,Target,-1,Target,#VALUE!
,ɾiu,ˈʀiu,ɾiu,ˈʀiu,ɾiu,ˈʀiu,1,1,3,3,1,1,0,Equal,0,Equal,#VALUE!
,stɾada,iʃˈtɾadɐ,stɾa.da,iʃ.ˈtɾa.dɐ,-,iʃ,2,3,6,7,2,3,-1,Target,-1,Target,#VALUE!
,stɾada,iʃˈtɾadɐ,stɾa.da,iʃ.ˈtɾa.dɐ,stɾa,ˈtɾa,2,3,6,7,2,3,-1,Target,-1,Target,#VALUE!
,stɾada,iʃˈtɾadɐ,stɾa.da,iʃ.ˈtɾa.dɐ,da,dɐ,2,3,6,7,2,3,-1,Target,-1,Target,#VALUE!
,ɾeis,ʀɐˈiʃ,ɾe.is,ʀɐ.ˈiʃ,ɾe,ʀɐ,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,ɾeis,ʀɐˈiʃ,ɾe.is,ʀɐ.ˈiʃ,is,ˈiʃ,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,kɔɾda,ˈkɔɾdɐ,kɔɾ.da,ˈkɔɾ.dɐ,kɔɾ,ˈkɔɾ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,kɔɾda,ˈkɔɾdɐ,kɔɾ.da,ˈkɔɾ.dɐ,da,dɐ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,stɾagɔd,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,s,ʃ,4,4,7,8,4,4,-1,Target,0,Equal,#VALUE!
,stɾagɔd,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,tɾa,tɾɐ,4,4,7,8,4,4,-1,Target,0,Equal,#VALUE!
,stɾagɔd,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,gɔ,ˈga,4,4,7,8,4,4,-1,Target,0,Equal,#VALUE!
,stɾagɔd,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,d,du,4,4,7,8,4,4,-1,Target,0,Equal,#VALUE!
