Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TemplateSource,TemplateTarget,TargetOrthography,Translation,Reference,Notes
Cape Verdean Sao Vicente,nom,CVC,ˈnomɨ,nom,ˈno.mɨ,-,mɨ,-,2,,-,CV,nome,name,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾet,CCCVC,iʃˈtɾɐjtu,s.tɾe.t,iʃ.ˈtɾɐj.tu,s,iʃ,1,1,,C,VC,estreito,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾet,CCCVC,iʃˈtɾɐjtu,s.tɾe.t,iʃ.ˈtɾɐj.tu,tɾe,ˈtɾɐj,2,2,,CCV,CCVg,estreito,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾet,CCCVC,iʃˈtɾɐjtu,s.tɾe.t,iʃ.ˈtɾɐj.tu,t,tu,3,3,,C,CV,estreito,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾtɔd,CVCCVC,ɐpɨɾˈtadu,peɾ.tɔd,ɐ.pɨɾ.ˈta.du,-,ɐ,-,1,,-,V,apertado,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾtɔd,CVCCVC,ɐpɨɾˈtadu,peɾ.tɔd,ɐ.pɨɾ.ˈta.du,peɾ,pɨɾ,1,2,,CVC,CVC,apertado,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾtɔd,CVCCVC,ɐpɨɾˈtadu,peɾ.tɔd,ɐ.pɨɾ.ˈta.du,tɔd,ˈta,2,3,,CVC,CV,apertado,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾtɔd,CVCCVC,ɐpɨɾˈtadu,peɾ.tɔd,ɐ.pɨɾ.ˈta.du,-,du,-,4,,-,CV,apertado,narrow,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾt,CVCC,ˈpɛɾtu,peɾ.t,ˈpɛɾ.tu,peɾ,ˈpɛɾ,1,1,,CVC,CVC,perto,near,Baptista2019[271-277],
Cape Verdean Sao Vicente,peɾt,CVCC,ˈpɛɾtu,peɾ.t,ˈpɛɾ.tu,t,tu,2,2,,C,CV,perto,near,Baptista2019[271-277],
Cape Verdean Sao Vicente,d̠ʒunt,CCVC,ˈʒũtu,d̠ʒun.t,ˈʒũ.tu,d̠ʒun,ˈʒũ,1,1,,CCVC,CV,junto,near,Baptista2019[271-277],
Cape Verdean Sao Vicente,d̠ʒunt,CCVC,ˈʒũtu,d̠ʒun.t,ˈʒũ.tu,t,tu,2,2,,C,CV,junto,near,Baptista2019[271-277],
Cape Verdean Sao Vicente,peskos,CVCCVC,pɨʃˈkosu,pes.kos,pɨʃ.ˈko.su,pes,pɨʃ,1,1,,CVC,CVC,pescoço,neck,Baptista2019[271-277],
Cape Verdean Sao Vicente,peskos,CVCCVC,pɨʃˈkosu,pes.kos,pɨʃ.ˈko.su,kos,ˈko,2,2,,CVC,CV,pescoço,neck,Baptista2019[271-277],
Cape Verdean Sao Vicente,peskos,CVCCVC,pɨʃˈkosu,pes.kos,pɨʃ.ˈko.su,-,su,-,3,metathesis,-,CV,pescoço,neck,Baptista2019[271-277],
Cape Verdean Sao Vicente,nov,CVC,ˈnovu,nov,ˈno.vu,nov,ˈno,1,1,,CVC,CV,novo,new,Baptista2019[271-277],
Cape Verdean Sao Vicente,nov,CVC,ˈnovu,nov,ˈno.vu,-,vu,-,2,,-,CV,novo,new,Baptista2019[271-277],
Cape Verdean Sao Vicente,dnot,CCVC,ˈdɨ 'nojtɨ,d.not,ˈdɨ 'noj.tɨ,d,ˈdɨ,1,1,,C,CV,de noite,night,Baptista2019[271-277],
