Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous Source,Next Source,Previous Target,Next Target,Process,TargetOrthography,Translation,References,Notes
Principense,kadɛˈradɐ,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,ka,kal,4,4,1,1,Initial,Initial,0,dɛ,0,dɐj,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kadɛˈradɐ,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,dɛ,dɐj,4,4,2,2,Medial,Medial,ka,ra,kal,ˈɾa,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kadɛˈradɐ,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,ra,ˈɾa,4,4,3,3,Medial,Medial,dɛ,dɐ,dɐj,dɐ,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kadɛˈradɐ,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,dɐ,dɐ,4,4,4,4,Final,Final,ra,4,ˈɾa,4,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kaˈnɐ,ˈkɐnɐ,ka.'nɐ,ˈkɐ.nɐ,ka,ˈkɐ,2,2,1,1,Initial,Initial,0,ˈnɐ,0,nɐ,,cana,sugarcane,Bandeira2017[366-412],
Principense,kaˈnɐ,ˈkɐnɐ,ka.'nɐ,ˈkɐ.nɐ,ˈnɐ,nɐ,2,2,2,2,Final,Final,ka,2,ˈkɐ,2,,cana,sugarcane,Bandeira2017[366-412],
Principense,uˈkani,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,u,-,3,2,1,1,Initial,Initial,0,ˈka,0,ˈkaɾ,,carne,meat,Bandeira2017[366-412],
Principense,uˈkani,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,ˈka,ˈkaɾ,3,2,2,-,Medial,-,u,ni,-,nɨ,,carne,meat,Bandeira2017[366-412],
Principense,uˈkani,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,ni,nɨ,3,2,3,2,Final,Final,ˈka,3,ˈkaɾ,2,,carne,meat,Bandeira2017[366-412],
Principense,uˈkjabu,kiˈabu,u.'kja.bu,ki.ˈa.bu,u,-,3,3,1,-,Initial,-,0,ˈkja,0,ki,,quiabo,okra,Bandeira2017[366-412],
Principense,uˈkjabu,kiˈabu,u.'kja.bu,ki.ˈa.bu,ˈkja,ki,3,3,2,1,Medial,Initial,u,-,-,ˈa,,quiabo,okra,Bandeira2017[366-412],
Principense,uˈkjabu,kiˈabu,u.'kja.bu,ki.ˈa.bu,-,ˈa,3,3,-,2,-,Medial,ˈkja,bu,ki,bu,metathesis,quiabo,okra,Bandeira2017[366-412],
Principense,uˈkjabu,kiˈabu,u.'kja.bu,ki.ˈa.bu,bu,bu,3,3,3,3,Final,Final,-,3,ˈa,3,,quiabo,okra,Bandeira2017[366-412],
Principense,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,ˈle,ˈlɐj,2,2,1,1,Initial,Initial,0,te,0,tɨ,,leite,milk,Bandeira2017[366-412],
Principense,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,te,tɨ,2,2,2,2,Final,Final,ˈle,2,ˈlɐj,2,,leite,milk,Bandeira2017[366-412],
Principense,ma'mɐ̃,mɐˈmɐ̃w̃,mɐ.ˈmɐ̃,mɐ.ˈmɐ̃w̃,ma,mɐ,2,2,1,1,Initial,Initial,0,1,0,ˈmɐ̃w̃,,mamão,papaya,Bandeira2017[366-412],
Principense,mɐˈmɐ̃,mɐˈmɐ̃w̃,mɐ.ˈmɐ̃,mɐ.ˈmɐ̃w̃,ˈmɐ̃,ˈmɐ̃w̃,2,2,2,2,Final,Final,0,2,mɐ,2,,mamão,papaya,Bandeira2017[366-412],
Principense,mɐ̃ˈdjɔkɔ,mɐdiˈɔkɐ,mɐ̃.'djɔ.kɔ,mɐ.di.ˈɔ.kɐ,mɐ̃,mɐ,3,4,1,1,Initial,Initial,0,ˈdjɔ,0,di,assimilation,mandioca,manjoka,Bandeira2017[366-412],
Principense,mɐ̃ˈdjɔkɔ,mɐdiˈɔkɐ,mɐ̃.'djɔ.kɔ,mɐ.di.ˈɔ.kɐ,ˈdjɔ,di,3,4,2,2,Medial,Medial,mɐ̃,-,mɐ,ˈɔ,metathesis,mandioca,manjoka,Bandeira2017[366-412],
Principense,mɐ̃ˈdjɔkɔ,mɐdiˈɔkɐ,mɐ̃.'djɔ.kɔ,mɐ.di.ˈɔ.kɐ,-,ˈɔ,3,4,-,3,-,Medial,ˈdjɔ,kɔ,di,kɐ,,mandioca,manjoka,Bandeira2017[366-412],
Principense,mɐ̃ˈdjɔkɔ,mɐdiˈɔkɐ,mɐ̃.'djɔ.kɔ,mɐ.di.ˈɔ.kɐ,kɔ,kɐ,3,4,3,4,Final,Final,-,3,ˈɔ,4,,mandioca,manjoka,Bandeira2017[366-412],
Principense,mɐ̃ˈsɐ̃,mɐˈsɐ̃,mɐ̃.'sɐ̃,mɐ̃.'sɐ̃,mɐ̃,mɐ̃,2,3,1,1,Initial,Initial,0,ˈsɐ̃,0,ˈsɐ̃,assimilation,maçã,apple,Bandeira2017[366-412],
Principense,mɐ̃ˈsɐ̃,mɐˈsɐ̃,mɐ̃.'sɐ̃,mɐ̃.'sɐ̃,ˈsɐ̃,ˈsɐ̃,2,3,2,2,Final,Medial,mɐ̃,2,mɐ̃,2,,maçã,apple,Bandeira2017[366-412],
Principense,mɐ̃ˈtɛgɐ,ˈmɐ̃tɐjgɐ,mɐ̃.'tɛ.gɐ,mɐ̃.tɐj.gɐ,mɐ̃,mɐ̃,3,2,1,1,Initial,Initial,0,tɛ,0,tɐj,,manteiga,butter,Bandeira2017[366-412],
Principense,mɐ̃ˈtɛgɐ,ˈmɐ̃tɐjgɐ,mɐ̃.'tɛ.gɐ,mɐ̃.tɐj.gɐ,tɛ,tɐj,3,2,2,2,Medial,Final,mɐ̃,gɐ,mɐ̃,gɐ,,manteiga,butter,Bandeira2017[366-412],
Principense,mɐ̃ˈtɛgɐ,ˈmɐ̃tɐjgɐ,mɐ̃.'tɛ.gɐ,mɐ̃.tɐj.gɐ,gɐ,gɐ,3,2,3,3,Final,Medial,tɛ,3,tɐj,3,,manteiga,butter,Bandeira2017[366-412],
Principense,ˈmɛli,ˈmɛɫ,ˈmɛ.li,ˈmɛɫ,ˈmɛ,ˈmɛɫ,2,1,1,1,Initial,Final,0,li,0,-,,mel,honey,Bandeira2017[366-412],
Principense,ˈmɛli,ˈmɛɫ,ˈmɛ.li,ˈmɛɫ,li,-,2,1,2,-,Final,-,ˈmɛ,2,ˈmɛɫ,-,,mel,honey,Bandeira2017[366-412],
Principense,ˈmojo,ˈmoʎu,ˈmo.jo,ˈmo.ʎu,ˈmo,ˈmo,2,2,1,1,Initial,Initial,0,jo,0,ʎu,,molho,bunch,Bandeira2017[366-412],
Principense,ˈmojo,ˈmoʎu,ˈmo.jo,ˈmo.ʎu,jo,ʎu,2,2,2,2,Final,Final,ˈmo,2,ˈmo,2,,molho,bunch,Bandeira2017[366-412],
Principense,naˈnaʒi,ɐbɐkɐˈʃi,na.ˈna.ʒi,ɐ.bɐ.kɐ.ˈʃi,na,ɐ,3,4,1,1,Initial,Initial,0,na,0,bɐ,,abacaxi,pineapple,Bandeira2017[366-412],
Principense,naˈnaʒi,ɐbɐkɐˈʃi,na.ˈna.ʒi,ɐ.bɐ.kɐ.ˈʃi,na,bɐ,3,4,2,2,Medial,Medial,na,-,ɐ,kɐ,,abacaxi,pineapple,Bandeira2017[366-412],
Principense,naˈnaʒi,ɐbɐkɐˈʃi,na.ˈna.ʒi,ɐ.bɐ.kɐ.ˈʃi,-,kɐ,3,4,-,3,-,Medial,na,ʒi,bɐ,ˈʃi,,abacaxi,pineapple,Bandeira2017[366-412],
Principense,naˈnaʒi,ɐbɐkɐˈʃi,na.ˈna.ʒi,ɐ.bɐ.kɐ.ˈʃi,ʒi,ˈʃi,3,4,3,4,Final,Final,-,3,kɐ,4,,abacaxi,pineapple,Bandeira2017[366-412],
Principense,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,ˈɔ,ˈo,2,2,1,1,Initial,Initial,0,vu,0,vu,,ovo,egg,Bandeira2017[366-412],
Principense,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,vu,vu,2,2,2,2,Final,Final,ˈɔ,2,ˈo,2,,ovo,egg,Bandeira2017[366-412],
Principense,oˈpɐ̃,ˈpɐ̃w̃,o.ˈpɐ̃,ˈpɐ̃w̃,o,-,2,1,1,-,Initial,-,0,ˈpɐ̃,0,ˈpɐ̃w̃,assimilation,pão,bread,Bandeira2017[366-412],
Principense,oˈpɐ̃,ˈpɐ̃w̃,o.ˈpɐ̃,ˈpɐ̃w̃,ˈpɐ̃,ˈpɐ̃w̃,2,1,2,1,Final,Final,o,2,-,1,,pão,bread,Bandeira2017[366-412],
Principense,piˈmɛ̃tɐ,piˈmẽtɐ,pi.ˈmɛ̃.tɐ,pi.ˈmẽ.tɐ,pi,pi,3,3,1,1,Initial,Initial,0,ˈmɛ̃,0,mẽ,assimilation,pimenta,pepper,Bandeira2017[366-412],
Principense,piˈmɛ̃tɐ,piˈmẽtɐ,pi.ˈmɛ̃.tɐ,pi.ˈmẽ.tɐ,ˈmɛ̃,mẽ,3,3,2,2,Medial,Medial,pi,tɐ,pi,tɐ,,pimenta,pepper,Bandeira2017[366-412],
Principense,piˈmɛ̃tɐ,piˈmẽtɐ,pi.ˈmɛ̃.tɐ,pi.ˈmẽ.tɐ,tɐ,tɐ,3,3,3,3,Final,Final,ˈmɛ̃,3,mẽ,3,,pimenta,pepper,Bandeira2017[366-412],
Principense,uˈsalu,ˈsal,u.ˈsa.lu,sal,u,-,3,0,1,-,Initial,-,0,sa,0,sal,metathesis,sal,salt,Bandeira2017[366-412],
Principense,uˈsalu,ˈsal,u.ˈsa.lu,sal,sa,sal,3,0,2,1,Medial,Initial,u,lu,-,-,,sal,salt,Bandeira2017[366-412],
Principense,uˈsalu,ˈsal,u.ˈsa.lu,sal,lu,-,3,0,3,-,Final,-,sa,3,sal,-,,sal,salt,Bandeira2017[366-412],
Principense,ˈsɔpɐ,ˈsopɐ,ˈsɔ.pɐ,ˈso.pɐ,ˈsɔ,ˈso,2,2,1,1,Initial,Initial,0,pɐ,0,pɐ,,sopa,soup,Bandeira2017[366-412],
Principense,ˈsɔpɐ,ˈsopɐ,ˈsɔ.pɐ,ˈso.pɐ,pɐ,pɐ,2,2,2,2,Final,Final,ˈsɔ,2,ˈso,2,,sopa,soup,Bandeira2017[366-412],
Principense,ˈsuke,ɐˈsukaɾ,ˈsu.ke,ɐ.ˈsu.kaɾ,-,ɐ,2,3,-,1,-,Initial,0,ˈsu,0,ˈsu,,açúcar,sugar,Bandeira2017[366-412],
Principense,ˈsuke,ɐˈsukaɾ,ˈsu.ke,ɐ.ˈsu.kaɾ,ˈsu,ˈsu,2,3,1,2,Initial,Medial,-,ke,ɐ,kaɾ,,açúcar,sugar,Bandeira2017[366-412],
Principense,ˈsuke,ɐˈsukaɾ,ˈsu.ke,ɐ.ˈsu.kaɾ,ke,kaɾ,2,3,2,3,Final,Final,ˈsu,2,ˈsu,3,,açúcar,sugar,Bandeira2017[366-412],
Principense,ˈt̠ʃigu,ˈtɾigu,ˈt̠ʃi.gu,ˈtɾi.gu,ˈt̠ʃi,ˈtɾi,2,2,1,1,Initial,Initial,0,gu,0,gu,,trigo,wheat,Bandeira2017[366-412],
Principense,ˈt̠ʃigu,ˈtɾigu,ˈt̠ʃi.gu,ˈtɾi.gu,gu,gu,2,2,2,2,Final,Final,ˈt̠ʃi,2,ˈtɾi,2,,trigo,wheat,Bandeira2017[366-412],
Principense,viˈnãge,viˈnagɾɨ,vi.ˈnã.ge,vi.ˈna.gɾɨ,vi,vi,3,3,1,1,Initial,Initial,0,ˈnã,0,ˈna,assimilation,vinagre,vinegar,Bandeira2017[366-412],
Principense,viˈnãge,viˈnagɾɨ,vi.ˈnã.ge,vi.ˈna.gɾɨ,ˈnã,ˈna,3,3,2,2,Medial,Medial,vi,ge,vi,gɾɨ,,vinagre,vinegar,Bandeira2017[366-412],
Principense,viˈnãge,viˈnagɾɨ,vi.ˈnã.ge,vi.ˈna.gɾɨ,ge,gɾɨ,3,3,3,3,Final,Final,ˈnã,3,ˈna,3,,vinagre,vinegar,Bandeira2017[366-412],
Principense,iˈzet̠ʃi,ɐˈzɐjtɨ,i.ˈze.t̠ʃi,ɐ.ˈzɐj.tɨ,i,ɐ,3,3,1,1,Initial,Initial,0,ˈze,0,ˈzɐj,,azeite,olive oil,Bandeira2017[366-412],
Principense,iˈzet̠ʃi,ɐˈzɐjtɨ,i.ˈze.t̠ʃi,ɐ.ˈzɐj.tɨ,ˈze,ˈzɐj,3,3,2,2,Medial,Medial,i,t̠ʃi,ɐ,tɨ,,azeite,olive oil,Bandeira2017[366-412],
Principense,iˈzet̠ʃi,ɐˈzɐjtɨ,i.ˈze.t̠ʃi,ɐ.ˈzɐj.tɨ,t̠ʃi,tɨ,3,3,3,3,Final,Final,ˈze,3,ˈzɐj,3,,azeite,olive oil,Bandeira2017[366-412],
Principense,ˈazɐ,ˈazɐ,ˈa.zɐ,ˈa.zɐ,ˈa,ˈa,2,2,1,1,Initial,Initial,0,zɐ,0,zɐ,,asa,wing,Bandeira2017[366-412],
Principense,ˈazɐ,ˈazɐ,ˈa.zɐ,ˈa.zɐ,zɐ,zɐ,2,2,2,2,Final,Final,ˈa,2,ˈa,2,,asa,wing,Bandeira2017[366-412],
Principense,ˈkamɐ,ʃˈkɐmɐ,ˈka.mɐ,ʃ.ˈkɐ.mɐ,-,ʃ,2,3,-,1,-,Initial,0,ˈka,0,ˈkɐ,,escama de peixe,fish scale,Bandeira2017[366-412],
Principense,ˈkamɐ,ʃˈkɐmɐ,ˈka.mɐ,ʃ.ˈkɐ.mɐ,ˈka,ˈkɐ,2,3,1,2,Initial,Medial,-,mɐ,ʃ,mɐ,,escama de peixe,fish scale,Bandeira2017[366-412],
Principense,ˈkamɐ,ʃˈkɐmɐ,ˈka.mɐ,ʃ.ˈkɐ.mɐ,mɐ,mɐ,2,3,2,3,Final,Final,ˈka,2,ˈkɐ,3,,escama de peixe,fish scale,Bandeira2017[366-412],
Principense,ˈkõni,ˈkoɾnu,ˈkõ.ni,ˈkoɾ.nu,ˈkõ,ˈkoɾ,2,2,1,1,Initial,Initial,0,ni,0,nu,,corno,horn,Bandeira2017[366-412],
Principense,ˈkõni,ˈkoɾnu,ˈkõ.ni,ˈkoɾ.nu,ni,nu,2,2,2,2,Final,Final,ˈkõ,2,ˈkoɾ,2,,corno,horn,Bandeira2017[366-412],
Principense,ˈpenɐ,ˈpelu,ˈpe.nɐ,ˈpe.lu,ˈpe,ˈpe,2,2,1,1,Initial,Initial,0,nɐ,0,lu,,pêlo,hair,Bandeira2017[366-412],
Principense,ˈpenɐ,ˈpelu,ˈpe.nɐ,ˈpe.lu,nɐ,lu,2,2,2,2,Final,Final,ˈpe,2,ˈpe,2,,pêlo,hair,Bandeira2017[366-412],
Principense,uˈrabu,ˈʀabu,u.ˈra.bu,ˈʀa.bu,u,-,3,2,1,-,Initial,-,0,ˈra,0,ˈʀa,,rabo,tail,Bandeira2017[366-412],
Principense,uˈrabu,ˈʀabu,u.ˈra.bu,ˈʀa.bu,ˈra,ˈʀa,3,2,2,1,Medial,Initial,u,bu,-,bu,,rabo,tail,Bandeira2017[366-412],
Principense,uˈrabu,ˈʀabu,u.ˈra.bu,ˈʀa.bu,bu,bu,3,2,3,2,Final,Final,ˈra,3,ˈʀa,2,,rabo,tail,Bandeira2017[366-412],
Principense,ˈawɐuˈwe,ˈaguɐ dɨ ˈoʎu,ˈa.wɐ u.ˈwe,ˈa.guɐ dɨ ˈo.ʎu,ˈa,ˈa,4,3,1,1,Initial,Initial,0,wɐ,0,guɐ,metathesis,água de olho,tear,Bandeira2017[366-412],
Principense,ˈawɐuˈwe,ˈaguɐ dɨ ˈoʎu,ˈa.wɐ u.ˈwe,ˈa.guɐ dɨ ˈo.ʎu,wɐ,guɐ,4,3,2,2,Medial,Medial,ˈa,u,ˈa,dɨ,,água de olho,tear,Bandeira2017[366-412],
Principense,ˈawɐuˈwe,ˈaguɐ dɨ ˈoʎu,ˈa.wɐ u.ˈwe,ˈa.guɐ dɨ ˈo.ʎu,u,dɨ,4,3,3,3,Medial,Final,wɐ,-,guɐ,ˈo,,água de olho,tear,Bandeira2017[366-412],
Principense,ˈawɐuˈwe,ˈaguɐ dɨ ˈoʎu,ˈa.wɐ u.ˈwe,ˈa.guɐ dɨ ˈo.ʎu,-,ˈo,4,3,-,4,-,Medial,u,ˈwe,dɨ,ʎu,,água de olho,tear,Bandeira2017[366-412],
Principense,ˈawɐuˈwe,ˈaguɐ dɨ ˈoʎu,ˈa.wɐ u.ˈwe,ˈa.guɐ dɨ ˈo.ʎu,ˈwe,ʎu,4,3,4,5,Final,Medial,-,4,ˈo,5,,água de olho,tear,Bandeira2017[366-412],
Principense,ˈbwɛgɐ,bɐˈʀigɐ,ˈbwɛ.gɐ,bɐ.ˈʀi.gɐ,bwɛ,bɐ,2,3,1,1,Initial,Initial,0,-,0,ˈʀi,,barriga,belly,Bandeira2017[366-412],
Principense,ˈbwɛgɐ,bɐˈʀigɐ,ˈb.wɛ.gɐ,bɐ.ˈʀi.gɐ,-,ˈʀi,3,3,-,2,-,Medial,bwɛ,gɐ,bɐ,gɐ,,barriga,belly,Bandeira2017[366-412],
Principense,ˈbwɛgɐ,bɐˈʀigɐ,ˈb.wɛ.gɐ,bɐ.ˈʀi.gɐ,gɐ,gɐ,3,3,3,3,Final,Final,-,3,ˈʀi,3,,barriga,belly,Bandeira2017[366-412],
Principense,biˈgɔdi,biˈgodɨ,biˈgɔ.di,bi.ˈgo.dɨ,bi,bi,2,3,1,1,Initial,Initial,0,gɔ,0,ˈgo,,bigode,mustache,Bandeira2017[366-412],
Principense,biˈgɔdi,biˈgodɨ,biˈgɔ.di,bi.ˈgo.dɨ,gɔ,ˈgo,2,3,2,2,Final,Medial,bi,di,bi,dɨ,,bigode,mustache,Bandeira2017[366-412],
Principense,biˈgɔdi,biˈgodɨ,biˈgɔ.di,bi.ˈgo.dɨ,di,dɨ,2,3,3,3,Medial,Final,gɔ,3,ˈgo,3,,bigode,mustache,Bandeira2017[366-412],
Principense,uˈba:su,ˈbɾasu,u.ˈba:.su,ˈbɾa.su,u,ˈbɾa,3,2,1,1,Initial,Initial,0,ˈba:,0,-,,braço,arm,Bandeira2017[366-412],
Principense,uˈba:su,ˈbɾasu,u.ˈba:.su,ˈbɾa.su,ˈba:,-,3,2,2,-,Medial,-,u,su,ˈbɾa,su,,braço,arm,Bandeira2017[366-412],
Principense,uˈba:su,ˈbɾasu,u.ˈba:.su,ˈbɾa.su,su,su,3,2,3,2,Final,Final,ˈba:,3,-,2,,braço,arm,Bandeira2017[366-412],
