Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous Source,Next Source,Previous Target,Next Target,Process,TargetOrthography,Translation,References,Notes
Principense,uˈbukɐ,ˈbokɐ,u.ˈbu.kɐ,ˈbo.kɐ,u,-,3,2,1,-,Initial,-,0,ˈbu,0,ˈbo,,boca,mouth,Bandeira2017[366-412],
Principense,uˈbukɐ,ˈbokɐ,u.ˈbu.kɐ,ˈbo.kɐ,ˈbu,ˈbo,3,2,2,1,Medial,Initial,u,kɐ,-,kɐ,,boca,mouth,Bandeira2017[366-412],
Principense,uˈbukɐ,ˈbokɐ,u.ˈbu.kɐ,ˈbo.kɐ,kɐ,kɐ,3,2,3,2,Final,Final,ˈbu,3,ˈbo,2,,boca,mouth,Bandeira2017[366-412],
Principense,iˈdɛ̃t̠ʃɪ,ˈdẽtɨ,i.ˈdɛ̃.t̠ʃɪ,ˈdẽ.tɨ,i,-,3,2,1,-,Initial,-,0,ˈdɛ̃,0,ˈdẽ,,dente,tooth,Bandeira2017[366-412],
Principense,iˈdɛ̃t̠ʃɪ,ˈdẽtɨ,i.ˈdɛ̃.t̠ʃɪ,ˈdẽ.tɨ,ˈdɛ̃,ˈdẽ,3,2,2,1,Medial,Initial,i,t̠ʃɪ,-,tɨ,,dente,tooth,Bandeira2017[366-412],
Principense,iˈdɛ̃t̠ʃɪ,ˈdẽtɨ,i.ˈdɛ̃.t̠ʃɪ,ˈdẽ.tɨ,t̠ʃɪ,tɨ,3,2,3,2,Final,Final,ˈdɛ̃,3,ˈdẽ,2,,dente,tooth,Bandeira2017[366-412],
Principense,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.gɐ.du,ˈfi,ˈfi,3,3,1,1,Initial,Initial,0,ga,0,gɐ,,fígado,liver,Bandeira2017[366-412],
Principense,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.gɐ.du,ga,gɐ,3,3,2,2,Medial,Medial,ˈfi,du,ˈfi,du,,fígado,liver,Bandeira2017[366-412],
Principense,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.gɐ.du,du,du,3,3,3,3,Final,Final,ga,3,gɐ,3,,fígado,liver,Bandeira2017[366-412],
Principense,kaˈbɛlu,kɐˈbelu,ka.ˈbɛ.lu,kɐ.ˈbe.lu,ka,kɐ,3,3,1,1,Initial,Initial,0,ˈbɛ,0,ˈbe,,cabelo,hair,Bandeira2017[366-412],
Principense,kaˈbɛlu,kɐˈbelu,ka.ˈbɛ.lu,kɐ.ˈbe.lu,ˈbɛ,ˈbe,3,3,2,2,Medial,Medial,ka,lu,kɐ,lu,,cabelo,hair,Bandeira2017[366-412],
Principense,kaˈbɛlu,kɐˈbelu,ka.ˈbɛ.lu,kɐ.ˈbe.lu,lu,lu,3,3,3,3,Final,Final,ˈbɛ,3,ˈbe,3,,cabelo,hair,Bandeira2017[366-412],
Principense,kaˈbɛsɛ,kɐˈbesɐ,ka.ˈbɛ.sɛ,kɐ.ˈbe.sɐ,ka,kɐ,3,3,1,1,Initial,Initial,0,ˈbɛ,0,ˈbe,,cabeça,head,Bandeira2017[366-412],
Principense,kaˈbɛsɛ,kɐˈbesɐ,ka.ˈbɛ.sɛ,kɐ.ˈbe.sɐ,ˈbɛ,ˈbe,3,3,2,2,Medial,Medial,ka,sɛ,kɐ,sɐ,,cabeça,head,Bandeira2017[366-412],
Principense,kaˈbɛsɛ,kɐˈbesɐ,ka.ˈbɛ.sɛ,kɐ.ˈbe.sɐ,sɛ,sɐ,3,3,3,3,Final,Final,ˈbɛ,3,ˈbe,3,,cabeça,head,Bandeira2017[366-412],
Principense,kaˈdja,ˈnadɨgɐʃ,ka.ˈdja,ˈna.dɨ.gɐʃ,ka,ˈna,2,3,1,1,Initial,Initial,0,ˈdja,0,dɨ,,nádegas,buttock,Bandeira2017[366-412],
Principense,kaˈdja,ˈnadɨgɐʃ,ka.ˈdja,ˈna.dɨ.gɐʃ,ˈdja,dɨ,2,3,2,2,Final,Medial,ka,-,ˈna,gɐʃ,,nádegas,buttock,Bandeira2017[366-412],
Principense,kaˈdja,ˈnadɨgɐʃ,ka.ˈdja,ˈna.dɨ.gɐʃ,-,gɐʃ,2,3,3,3,Medial,Final,ˈdja,3,dɨ,3,,nádegas,buttock,Bandeira2017[366-412],
Principense,koˈko,pɨʃˈkosu,ko.ˈko,pɨʃ.ˈko.su,-,pɨʃ,2,3,-,1,-,Initial,0,ko,0,ˈko,,pescoço,neck,Bandeira2017[366-412],ideophone
Principense,koˈko,pɨʃˈkosu,ko.ˈko,pɨʃ.ˈko.su,ko,ˈko,2,3,1,2,Initial,Medial,-,ˈko,pɨʃ,su,,pescoço,neck,Bandeira2017[366-412],ideophone
Principense,koˈko,pɨʃˈkosu,ko.ˈko,pɨʃ.ˈko.su,ˈko,su,2,3,2,3,Final,Final,ko,2,ˈko,3,,pescoço,neck,Bandeira2017[366-412],ideophone
Principense,kɔˈsɐ̃,kuɾɐˈsɐ̃w̃,kɔ.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,kɔ,ku,2,3,1,1,Initial,Initial,0,-,0,ɾɐ,,coração,heart,Bandeira2017[366-412],
Principense,kɔˈsɐ̃,kuɾɐˈsɐ̃w̃,kɔ.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,2,3,-,2,-,Medial,kɔ,ˈsɐ̃,ku,ˈsɐ̃w̃,assimilation,coração,heart,Bandeira2017[366-412],
Principense,kɔˈsɐ̃,kuɾɐˈsɐ̃w̃,kɔ.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,ˈsɐ̃,ˈsɐ̃w̃,2,3,2,3,Final,Final,-,2,ɾɐ,3,,coração,heart,Bandeira2017[366-412],
Principense,kuˈpi,ˈkuʃpu,ku.ˈpi,ˈkuʃ.pu,ku,ˈkuʃ,2,2,1,1,Initial,Initial,0,ˈpi,0,pu,,cuspo,saliva,Bandeira2017[366-412],
Principense,kuˈpi,ˈkuʃpu,ku.ˈpi,ˈkuʃ.pu,ˈpi,pu,2,2,2,2,Final,Final,ku,2,ˈkuʃ,2,,cuspo,saliva,Bandeira2017[366-412],
Principense,ˈlũŋgɛ,ˈlĩɡuɐ,ˈlũŋ.gɛ,ˈlĩ.guɐ,ˈlũŋ,ˈlĩ,2,3,1,1,Initial,Initial,0,gɛ,0,guɐ,,língua,tongue,Bandeira2017[366-412],
Principense,ˈlũŋgɛ,ˈlĩɡuɐ,ˈlũŋ.gɛ,ˈlĩ.guɐ,gɛ,guɐ,2,3,2,2,Final,Medial,ˈlũŋ,2,ˈlĩ,2,,língua,tongue,Bandeira2017[366-412],
Principense,ˈmamɐ,ˈmɐmɐ,ˈma.mɐ,ˈmɐ.mɐ,ˈma,ˈmɐ,2,2,1,2,Initial,Final,0,mɐ,0,mɐ,,mama,bosom,Bandeira2017[366-412],
Principense,ˈmamɐ,ˈmɐmɐ,ˈma.mɐ,ˈmɐ.mɐ,mɐ,mɐ,2,2,1,2,Initial,Final,ˈma,1,ˈmɐ,2,,mama,bosom,Bandeira2017[366-412],
Principense,uˈmɐ̃,ˈmɐ̃w̃,u.ˈmɐ̃,ˈmɐ̃w̃,u,-,2,1,1,-,Initial,-,0,ˈmɐ̃,0,ˈmɐ̃w̃,,mão,mão,Bandeira2017[366-412],
Principense,uˈmɐ̃,ˈmɐ̃w̃,u.ˈmɐ̃,ˈmɐ̃w̃,ˈmɐ̃,ˈmɐ̃w̃,2,1,2,1,Final,Final,u,2,-,1,,mão,mão,Bandeira2017[366-412],
Principense,ˈmbigu,ũˈbigu,ˈmbi.gu,ũ.ˈbi.gu,-,ũ,2,3,-,1,-,Initial,0,ˈmbi,0,ˈbi,,umbigo,belly button,Bandeira2017[366-412],
Principense,ˈmbigu,ũˈbigu,ˈmbi.gu,ũ.ˈbi.gu,ˈmbi,ˈbi,2,3,1,2,Initial,Medial,-,gu,ũ,gu,methatesis,umbigo,belly button,Bandeira2017[366-412],
Principense,ˈmbigu,ũˈbigu,ˈmbi.gu,ũ.ˈbi.gu,gu,gu,2,3,2,3,Final,Final,ˈmbi,2,ˈbi,3,,umbigo,belly button,Bandeira2017[366-412],
Principense,ɔˈpɛ,ˈpɛ,ɔ.ˈpɛ,ˈpɛ,ɔ,-,2,1,1,-,Initial,-,0,ˈpɛ,0,ˈpɛ,,pé,"foot, leg",Bandeira2017[366-412],
Principense,ɔˈpɛ,ˈpɛ,ɔ.ˈpɛ,ˈpɛ,ˈpɛ,ˈpɛ,2,1,2,1,Final,Final,ɔ,2,-,1,,pé,"foot, leg",Bandeira2017[366-412],
Principense,uˈrja,oˈɾɐʎɐ,u.ˈrja,o.ˈɾɐ.ʎɐ,u,o,2,3,1,1,Initial,Initial,0,-,0,ˈɾɐ,methatesis,orelha,ear,Bandeira2017[366-412],
Principense,uˈrja,oˈɾɐʎɐ,u.ˈrja,o.ˈɾɐ.ʎɐ,-,ˈɾɐ,2,3,-,2,-,Medial,u,ˈrja,o,ʎɐ,,orelha,ear,Bandeira2017[366-412],
Principense,uˈrja,oˈɾɐʎɐ,u.ˈrja,o.ˈɾɐ.ʎɐ,ˈrja,ʎɐ,2,3,2,3,Final,Final,-,2,ˈɾɐ,3,,orelha,ear,Bandeira2017[366-412],
Principense,ˈɔsu,ˈosu,ˈɔ.su,ˈo.su,ˈɔ,ˈo,2,2,1,1,Initial,Initial,0,su,0,su,,osso,bone,Bandeira2017[366-412],
Principense,ˈɔsu,ˈosu,ˈɔ.su,ˈo.su,su,su,2,2,2,2,Final,Final,ˈɔ,2,ˈo,2,,osso,bone,Bandeira2017[366-412],
Principense,oˈze,ʒuˈɐʎu,o.ˈze,ʒu.ˈɐ.ʎu,o,-,2,3,1,-,Initial,-,0,ˈze,0,ʒu,,joelho,knee,Bandeira2017[366-412],
Principense,oˈze,ʒuˈɐʎu,o.ˈze,ʒu.ˈɐ.ʎu,ˈze,ʒu,2,3,2,1,Final,Initial,o,-,-,ˈɐ,methatesis,joelho,knee,Bandeira2017[366-412],
Principense,oˈze,ʒuˈɐʎu,o.ˈze,ʒu.ˈɐ.ʎu,-,ˈɐ,2,3,-,2,-,Medial,ˈze,-,ʒu,ʎu,,joelho,knee,Bandeira2017[366-412],
Principense,oˈze,ʒuˈɐʎu,o.ˈze,ʒu.ˈɐ.ʎu,-,ʎu,2,3,-,3,-,Final,-,-,ˈɐ,3,,joelho,knee,Bandeira2017[366-412],
Principense,ˈpɛli,ˈpelɨ,ˈpɛ.li,ˈpe.lɨ,ˈpɛ,ˈpe,2,2,1,1,Initial,Initial,0,li,0,lɨ,,pele,skin,Bandeira2017[366-412],
Principense,ˈpɛli,ˈpelɨ,ˈpɛ.li,ˈpe.lɨ,li,lɨ,2,2,2,2,Final,Final,ˈpɛ,2,ˈpe,2,,pele,skin,Bandeira2017[366-412],
Principense,ˈpusu,ˈpulsu,ˈpu.su,ˈpul.su,ˈpu,ˈpul,2,2,1,1,Initial,Initial,0,su,0,su,,pulso,pulse,Bandeira2017[366-412],
Principense,ˈpusu,ˈpulsu,ˈpu.su,ˈpul.su,su,su,2,2,2,2,Final,Final,ˈpu,2,ˈpul,2,,pulso,pulse,Bandeira2017[366-412],
Principense,puluˈmɐ̃,pulˈmɐ̃w̃,pu.lu.ˈmɐ̃,pul.ˈmɐ̃w̃,pu,pul,3,2,1,1,Initial,Initial,0,lu,0,-,assimilation,pulmão,lung,Bandeira2017[366-412],
Principense,puluˈmɐ̃,pulˈmɐ̃w̃,pu.lu.ˈmɐ̃,pul.ˈmɐ̃w̃,lu,-,3,2,2,-,Medial,-,pu,ˈmɐ̃,pul,ˈmɐ̃w̃,,pulmão,lung,Bandeira2017[366-412],
Principense,puluˈmɐ̃,pulˈmɐ̃w̃,pu.lu.ˈmɐ̃,pul.ˈmɐ̃w̃,ˈmɐ̃,ˈmɐ̃w̃,3,2,3,2,Final,Final,lu,3,-,2,,pulmão,lung,Bandeira2017[366-412],
Principense,iˈriʃɪ,nɐˈɾiʃ,i.ˈri.ʃɪ,nɐ.ˈɾiʃ,i,nɐ,3,2,1,1,Initial,Initial,0,ˈri,0,ˈɾiʃ,,nariz,nose,Bandeira2017[366-412],
Principense,iˈriʃɪ,nɐˈɾiʃ,i.ˈri.ʃɪ,nɐ.ˈɾiʃ,ˈri,ˈɾiʃ,3,2,2,2,Medial,Final,i,ʃɪ,nɐ,-,,nariz,nose,Bandeira2017[366-412],
Principense,iˈriʃɪ,nɐˈɾiʃ,i.ˈri.ʃɪ,nɐ.ˈɾiʃ,ʃɪ,-,3,2,3,-,Final,-,ˈri,3,ˈɾiʃ,-,,nariz,nose,Bandeira2017[366-412],
Principense,ˈsɐ̃gɪ,ˈsɐ̃ɡɨ,ˈsɐ̃.gɪ,ˈsɐ̃.ɡɨ,ˈsɐ̃,ˈsɐ̃,2,2,1,1,Initial,Initial,0,gɪ,0,ɡɨ,,sangue,blood,Bandeira2017[366-412],
Principense,ˈsɐ̃gɪ,ˈsɐ̃ɡɨ,ˈsɐ̃.gɪ,ˈsɐ̃.ɡɨ,gɪ,ɡɨ,2,2,2,2,Final,Final,ˈsɐ̃,2,ˈsɐ̃,2,,sangue,blood,Bandeira2017[366-412],
Principense,ˈt̠ʃipɐ,ˈtɾipɐ,ˈt̠ʃi.pɐ,ˈtɾi.pɐ,ˈt̠ʃi,ˈtɾi,2,2,1,1,Initial,Initial,0,pɐ,0,pɐ,,tripa,guts,Bandeira2017[366-412],
Principense,ˈt̠ʃipɐ,ˈtɾipɐ,ˈt̠ʃi.pɐ,ˈtɾi.pɐ,pɐ,pɐ,2,2,2,2,Final,Final,ˈt̠ʃi,2,ˈtɾi,2,,tripa,guts,Bandeira2017[366-412],
Principense,uˈmuɲɐ,ˈuɲɐ,u.ˈmu.ɲɐ,ˈu.ɲɐ,u,ˈu,3,2,1,1,Initial,Initial,0,ˈmu,0,-,,unha,nail,Bandeira2017[366-412],
Principense,uˈmuɲɐ,ˈuɲɐ,u.ˈmu.ɲɐ,ˈu.ɲɐ,ˈmu,-,3,2,2,-,Medial,-,u,ɲɐ,ˈu,ɲɐ,,unha,nail,Bandeira2017[366-412],
Principense,uˈmuɲɐ,ˈuɲɐ,u.ˈmu.ɲɐ,ˈu.ɲɐ,ɲɐ,ɲɐ,3,2,3,2,Final,Final,ˈmu,3,-,2,,unha,nail,Bandeira2017[366-412],
Principense,ˈwe,ˈoʎu,ˈwe,ˈo.ʎu,ˈwe,ˈo,1,2,1,1,Final,Initial,0,-,0,ʎu,,olho,eye,Bandeira2017[366-412],
Principense,ˈwe,ˈoʎu,ˈwe,ˈo.ʎu,-,ʎu,1,2,-,2,-,Final,ˈwe,-,ˈo,2,,olho,eye,Bandeira2017[366-412],
Principense,akaˈʀe,ˈsapu,a.ka.ˈʀe,ˈsa.pu,,,3,2,,,#N/A,#N/A,0,,0,,,sapo,frog,Bandeira2017[366-412],Not of portuguese origin
Principense,ˈbisu,ˈbi.ʃu,ˈbi.su,ˈbi.ʃu,ˈbi,ˈbi,2,1,1,1,Initial,Final,0,su,0,ʃu,,bicho,animal,Bandeira2017[366-412],
Principense,ˈbisu,ˈbi.ʃu,ˈbi.su,ˈbi.ʃu,su,ʃu,2,1,-,2,-,Medial,ˈbi,-,ˈbi,2,,bicho,animal,Bandeira2017[366-412],
Principense,uˈbweɔmi,ˈboj ˈomɐ̃j̃,u.ˈbwe.ɔ.mi,ˈboj ˈo.mɐ̃j̃,u,-,4,2,1,-,Initial,-,0,ˈbwe,0,ˈboj,,boi homem,bull,Bandeira2017[366-412],
Principense,uˈbweɔmi,ˈboj ˈomɐ̃j̃,u.ˈbwe.ɔ.mi,ˈboj ˈo.mɐ̃j̃,ˈbwe,ˈboj,4,2,2,1,Medial,Initial,u,ɔ,-,ˈo,,boi homem,bull,Bandeira2017[366-412],
Principense,uˈbweɔmi,ˈboj ˈomɐ̃j̃,u.ˈbwe.ɔ.mi,ˈboj ˈo.mɐ̃j̃,ɔ,ˈo,4,2,3,2,Medial,Final,ˈbwe,mi,ˈboj,mɐ̃j̃,,boi homem,bull,Bandeira2017[366-412],
Principense,uˈbweɔmi,ˈboj ˈomɐ̃j̃,u.ˈbwe.ɔ.mi,ˈboj ˈo.mɐ̃j̃,mi,mɐ̃j̃,4,2,4,3,Final,Medial,ɔ,4,ˈo,3,,boi homem,bull,Bandeira2017[366-412],
Principense,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,ˈka,ˈka,2,2,1,1,Initial,Initial,0,bɐ,0,bɾɐ,,cabra,goat,Bandeira2017[366-412],
Principense,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,bɐ,bɾɐ,2,2,2,2,Final,Final,ˈka,2,ˈka,2,,cabra,goat,Bandeira2017[366-412],
Principense,kaˈso,kɐˈʃoʀu,ka.ˈso,kɐ.ˈʃo.ʀu,ka,kɐ,2,3,1,1,Initial,Initial,0,ˈso,0,ˈʃo,methatesis,cachorro,dog,Bandeira2017[366-412],
Principense,kaˈso,kɐˈʃoʀu,ka.ˈso,kɐ.ˈʃo.ʀu,ˈso,ˈʃo,2,3,2,2,Final,Medial,ka,-,kɐ,ʀu,,cachorro,dog,Bandeira2017[366-412],
Principense,kaˈso,kɐˈʃoʀu,ka.ˈso,kɐ.ˈʃo.ʀu,-,ʀu,2,3,-,3,-,Final,ˈso,-,ˈʃo,3,,cachorro,dog,Bandeira2017[366-412],
Principense,ˈkɔbɔ,ˈkɔbɾɐ,ˈkɔ.bɔ,ˈkɔ.bɾɐ,ˈkɔ,ˈkɔ,2,2,1,1,Initial,Initial,0,bɔ,0,bɾɐ,,cobra,snake,Bandeira2017[366-412],
Principense,ˈkɔbɔ,ˈkɔbɾɐ,ˈkɔ.bɔ,ˈkɔ.bɾɐ,bɔ,bɾɐ,2,2,2,2,Final,Final,ˈkɔ,2,ˈkɔ,2,,cobra,snake,Bandeira2017[366-412],
Principense,maˈkaku,mɐˈkaku,ma.ˈka.ku,mɐ.ˈka.ku,ma,mɐ,3,3,1,1,Initial,Initial,0,ˈka,0,ˈka,,macaco,monkey,Bandeira2017[366-412],
Principense,maˈkaku,mɐˈkaku,ma.ˈka.ku,mɐ.ˈka.ku,ˈka,ˈka,3,3,2,2,Medial,Medial,ma,ku,mɐ,ku,,macaco,monkey,Bandeira2017[366-412],
Principense,maˈkaku,mɐˈkaku,ma.ˈka.ku,mɐ.ˈka.ku,ku,ku,3,3,3,3,Final,Final,ˈka,3,ˈka,3,,macaco,monkey,Bandeira2017[366-412],
Principense,muˈsɛgu,muɾˈsegu,mu.ˈsɛ.gu,muɾ.ˈse.gu,mu,muɾ,3,3,1,1,Initial,Initial,0,ˈsɛ,0,ˈse,,morcego,bat,Bandeira2017[366-412],
Principense,muˈsɛgu,muɾˈsegu,mu.ˈsɛ.gu,muɾ.ˈse.gu,ˈsɛ,ˈse,3,3,2,2,Medial,Medial,mu,gu,muɾ,gu,,morcego,bat,Bandeira2017[366-412],
Principense,muˈsɛgu,muɾˈsegu,mu.ˈsɛ.gu,muɾ.ˈse.gu,gu,gu,3,3,3,3,Final,Final,ˈsɛ,3,ˈse,3,,morcego,bat,Bandeira2017[366-412],
Principense,giˈɲɐ̃,gɐˈliɲɐ,gi.ˈɲɐ̃,gɐ.ˈli.ɲɐ,gi,gɐ,2,3,1,1,Initial,Initial,0,-,0,ˈli,methatesis,galinha,hen,Bandeira2017[366-412],
Principense,giˈɲɐ̃,gɐˈliɲɐ,gi.ˈɲɐ̃,gɐ.ˈli.ɲɐ,-,ˈli,2,3,2,2,Final,Medial,gi,ˈɲɐ̃,gɐ,ɲɐ,,galinha,hen,Bandeira2017[366-412],
Principense,giˈɲɐ̃,gɐˈliɲɐ,gi.ˈɲɐ̃,gɐ.ˈli.ɲɐ,ˈɲɐ̃,ɲɐ,2,3,3,3,Medial,Final,-,3,ˈli,3,,galinha,hen,Bandeira2017[366-412],
Principense,ˈgasɐ,ˈgaɾsɐ,ˈga.sɐ,ˈgaɾ.sɐ,ˈga,ˈgaɾ,2,2,1,1,Initial,Initial,0,sɐ,0,sɐ,,garça,heron,Bandeira2017[366-412],
Principense,ˈgasɐ,ˈgaɾsɐ,ˈga.sɐ,ˈgaɾ.sɐ,sɐ,sɐ,2,2,2,2,Final,Final,ˈga,2,ˈgaɾ,2,,garça,heron,Bandeira2017[366-412],
Principense,bẽˈku,taɾtɐˈɾugɐ ɐfɾiˈkɐnɐ,bẽ.ˈku,taɾ.tɐ.ˈɾu.gɐ ɐ.fɾi.ˈkɐ.nɐ,,,2,7,,,#N/A,#N/A,0,,0,,,tartaruga africana,African turtle,Bandeira2017[366-412],Not of portuguese origin
Principense,ˈpo:ko,ˈpoɾku,ˈpo:.ko,ˈpoɾ.ku,ˈpo:,ˈpoɾ,2,2,1,1,Initial,Initial,0,ko,0,ku,,porco,pig,Bandeira2017[366-412],
Principense,ˈpo:ko,ˈpoɾku,ˈpo:.ko,ˈpoɾ.ku,ko,ku,2,2,2,2,Final,Final,ˈpo:,2,ˈpoɾ,2,,porco,pig,Bandeira2017[366-412],
Principense,teˈtu:gɐ,taɾtɐˈɾugɐ,te.ˈtu:.gɐ,taɾ.tɐ.ˈɾu.gɐ,,,3,4,,,#N/A,#N/A,0,ˈtu:,0,tɐ,,tartaruga,turtle,Bandeira2017[366-412],
Principense,teˈtu:gɐ,taɾtɐˈɾugɐ,te.ˈtu:.gɐ,taɾ.tɐ.ˈɾu.gɐ,ˈtu:,tɐ,3,4,2,2,Medial,Medial,,-,,ˈɾu,,tartaruga,turtle,Bandeira2017[366-412],
Principense,teˈtu:gɐ,taɾtɐˈɾugɐ,te.ˈtu:.gɐ,taɾ.tɐ.ˈɾu.gɐ,-,ˈɾu,3,4,3,3,Final,Medial,ˈtu:,gɐ,tɐ,gɐ,,tartaruga,turtle,Bandeira2017[366-412],
Principense,teˈtu:gɐ,taɾtɐˈɾugɐ,te.ˈtu:.gɐ,taɾ.tɐ.ˈɾu.gɐ,gɐ,gɐ,3,4,4,4,Medial,Final,-,4,ˈɾu,4,,tartaruga,turtle,Bandeira2017[366-412],
Principense,aˈmwe,ɐˈmoɾ,a.ˈmwe,ɐ.ˈmoɾ,a,ɐ,2,2,1,1,Initial,Initial,0,ˈmwe,0,ˈmoɾ,,amor,love,Bandeira2017[366-412],
Principense,aˈmwe,ɐˈmoɾ,a.ˈmwe,ɐ.ˈmoɾ,ˈmwe,ˈmoɾ,2,2,2,2,Final,Final,a,2,ɐ,2,,amor,love,Bandeira2017[366-412],
Principense,ˈgɛ,ˈgɛʀɐ,ˈgɛ,ˈgɛ.ʀɐ,ˈgɛ,ˈgɛ,1,2,1,1,Final,Initial,0,-,0,ʀɐ,,guerra,war,Bandeira2017[366-412],
Principense,ˈgɛ,ˈgɛʀɐ,ˈgɛ,ˈgɛ.ʀɐ,-,ʀɐ,1,2,-,2,-,Final,ˈgɛ,-,ˈgɛ,2,,guerra,war,Bandeira2017[366-412],
Principense,ˈkalimɐ,ˈkalmɐ,ˈka.li.mɐ,ˈkal.mɐ,ˈka,ˈkal,3,2,1,1,Initial,Initial,0,li,0,-,,calma,calm,Bandeira2017[366-412],
Principense,ˈkalimɐ,ˈkalmɐ,ˈka.li.mɐ,ˈkal.mɐ,li,-,3,2,2,-,Medial,-,ˈka,mɐ,ˈkal,mɐ,,calma,calm,Bandeira2017[366-412],
Principense,ˈkalimɐ,ˈkalmɐ,ˈka.li.mɐ,ˈkal.mɐ,mɐ,mɐ,3,2,3,2,Final,Final,li,3,-,2,,calma,calm,Bandeira2017[366-412],
Principense,kɔˈraʒi,kuˈɾaʒɐ̃j̃,kɔ.ˈra.ʒi,ku.ˈɾa.ʒɐ̃j̃,kɔ,ku,3,3,1,1,Initial,Initial,0,ˈra,0,ˈɾa,,coragem,courage,Bandeira2017[366-412],
Principense,kɔˈraʒi,kuˈɾaʒɐ̃j̃,kɔ.ˈra.ʒi,ku.ˈɾa.ʒɐ̃j̃,ˈra,ˈɾa,3,3,2,2,Medial,Medial,kɔ,ʒi,ku,ʒɐ̃j̃,,coragem,courage,Bandeira2017[366-412],
Principense,kɔˈraʒi,kuˈɾaʒɐ̃j̃,kɔ.ˈra.ʒi,ku.ˈɾa.ʒɐ̃j̃,ʒi,ʒɐ̃j̃,3,3,3,3,Final,Final,ˈra,3,ˈɾa,3,,coragem,courage,Bandeira2017[366-412],
Principense,uˈrĩ,ʀuˈĩ,u.ˈrĩ,ʀu.ˈĩ,u,ʀu,2,2,1,1,Initial,Initial,0,ˈrĩ,0,ˈĩ,,ruim,evil,Bandeira2017[366-412],
Principense,uˈrĩ,ʀuˈĩ,u.ˈrĩ,ʀu.ˈĩ,ˈrĩ,ˈĩ,2,2,2,2,Final,Final,u,2,ʀu,2,,ruim,evil,Bandeira2017[366-412],
Principense,madiˈsɐ̃,maldiˈsɐ̃w̃,ma.di.ˈsɐ̃,mal.di.ˈsɐ̃w̃,ma,mal,3,3,1,1,Initial,Initial,0,di,0,di,,maldição,curse,Bandeira2017[366-412],
Principense,madiˈsɐ̃,maldiˈsɐ̃w̃,ma.di.ˈsɐ̃,mal.di.ˈsɐ̃w̃,di,di,3,3,2,2,Medial,Medial,ma,ˈsɐ̃,mal,ˈsɐ̃w̃,,maldição,curse,Bandeira2017[366-412],
Principense,madiˈsɐ̃,maldiˈsɐ̃w̃,ma.di.ˈsɐ̃,mal.di.ˈsɐ̃w̃,ˈsɐ̃,ˈsɐ̃w̃,3,3,3,3,Final,Final,di,3,di,3,,maldição,curse,Bandeira2017[366-412],
Principense,pɛˈdɐ̃,pɨɾˈdɐ̃w̃,pɛ.ˈdɐ̃,pɨɾ.ˈdɐ̃w̃,pɛ,pɨɾ,2,2,1,1,Initial,Initial,0,ˈdɐ̃,0,ˈdɐ̃w̃,,perdão,forgiveness,Bandeira2017[366-412],
Principense,pɛˈdɐ̃,pɨɾˈdɐ̃w̃,pɛ.ˈdɐ̃,pɨɾ.ˈdɐ̃w̃,ˈdɐ̃,ˈdɐ̃w̃,2,2,2,2,Final,Final,pɛ,2,pɨɾ,2,,perdão,forgiveness,Bandeira2017[366-412],
Principense,piˈgisɐ,pɾɨˈgisɐ,pi.ˈgi.sɐ,pɾɨ.ˈgi.sɐ,pi,pɾɨ,3,3,1,1,Initial,Initial,0,ˈgi,0,ˈgi,,preguiça,laziness,Bandeira2017[366-412],
Principense,piˈgisɐ,pɾɨˈgisɐ,pi.ˈgi.sɐ,pɾɨ.ˈgi.sɐ,ˈgi,ˈgi,3,3,2,2,Medial,Medial,pi,sɐ,pɾɨ,sɐ,,preguiça,laziness,Bandeira2017[366-412],
Principense,piˈgisɐ,pɾɨˈgisɐ,pi.ˈgi.sɐ,pɾɨ.ˈgi.sɐ,sɐ,sɐ,3,3,3,3,Final,Final,ˈgi,3,ˈgi,3,,preguiça,laziness,Bandeira2017[366-412],
Principense,ˈrɛvɐ,ˈʀajvɐ,ˈrɛ.vɐ,ˈʀaj.vɐ,ˈrɛ,ˈʀaj,2,2,1,1,Initial,Initial,0,vɐ,0,vɐ,,raiva,rage,Bandeira2017[366-412],
Principense,ˈrɛvɐ,ˈʀajvɐ,ˈrɛ.vɐ,ˈʀaj.vɐ,vɐ,vɐ,2,2,2,2,Final,Final,ˈrɛ,2,ˈʀaj,2,,raiva,rage,Bandeira2017[366-412],
